br.com.objectos.args	parent	0.1.0		N/A
ch.ethz.acl	scala-unsigned_2.11	0.1		63821c1e9f07e430c3521f470c3e76a6b8361ee4
cn.fossc.polaris.toolkit	polaris-all	3.2.0		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.1		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.10		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.11		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.12		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.13		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.14		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.15		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.16		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.17		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.18		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.19		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.2		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.20		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.21		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.22		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.23		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.24		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.25		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.26		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.27		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.28		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.29		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.3		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.30		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.31		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.32		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.33		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.34		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.35		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.36		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.37		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.38		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.39		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.4		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.40		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.41		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.42		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.43		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.44		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.45		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.46		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.47		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.48		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.49		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.5		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.50		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.51		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.52		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.53		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.54		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.55		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.56		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.57		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.58		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.6		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.7		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.8		N/A
cn.fossc.polaris.toolkit	polaris-all	3.2.9		N/A
cn.fossc.polaris.toolkit	polaris-all	3.3.1		N/A
cn.fossc.polaris.toolkit	polaris-all	3.3.2		N/A
cn.fossc.polaris.toolkit	polaris-all	3.3.3		N/A
cn.fossc.polaris.toolkit	polaris-all	3.3.4		N/A
