app.cash.paging	paging-compose-common-linuxarm64	3.3.0-alpha02-0.5.1		N/A
br.com.objectos.way	way-core	0.2.0		cda5e710952761420402e051bb4cdda9d47ece0a
br.com.objectos.way	way-core	0.2.1		b57e2800544c5926414d6b9cbfa2e666947ca96d
br.com.objectos.way	way-core	0.2.2		54159d0195ed3f36cf3fa9de570bbd791eddca5d
br.com.objectos.way	way-core	0.3.0		8f8e0b80b1844e3dbd580768e8ebdcfe39e1f425
br.com.objectos.way	way-core	0.3.1		1462901c470c77e2683ca3626ce1b1f97350ae4f
br.com.objectos.way	way-core	0.4.0		3896162f7f925779489419ff6cad39879e45b3c7
br.com.objectos.way	way-core	0.4.1		0c2ff5204bec5058f1c0766224dbb4cb7f140e5a
com.47deg	iota-core_sjs0.6_2.12	0.0.1		24b8999b1c599dfcc0353141cd9fb18f914302e7
com.47deg	iota-core_sjs0.6_2.12	0.0.2		cd7c4935f921724fb05e614d7dde9ceda5ed291b
com.47deg	iota-core_sjs0.6_2.12	0.1.0		71768e909de29338408e7c9f75702eb59cbd82a0
com.47deg	iota-core_sjs0.6_2.12	0.2.0		d5235021e1300afb48f3833c2e7f3039d1e32c3e
com.apollographql.apollo3	apollo-annotations-linux	3.0.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.0.0-beta04		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.0.0-beta05		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.0.0-rc01		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.0.0-rc02		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.0.0-rc03		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.1.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.2.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.2.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.2.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.3.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.3.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.3.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.4.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.5.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.6.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.6.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.6.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.7.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.7.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.7.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.7.3		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.7.4		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.7.5		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.8.0		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.8.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.8.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.8.3		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.8.4		N/A
com.apollographql.apollo3	apollo-annotations-linux	3.8.5		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-alpha.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-alpha.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-alpha.3		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.1		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.2		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.3		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.4		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.5		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.6		N/A
com.apollographql.apollo3	apollo-annotations-linux	4.0.0-beta.7		N/A
com.bumble.appyx	routing-source-addons	1.0-alpha01		N/A
com.bumble.appyx	routing-source-addons	1.0-alpha02		N/A
com.bumble.appyx	routing-source-addons	1.0-alpha03		N/A
com.bumble.appyx	routing-source-addons	1.0-alpha04		N/A
com.cmcim.upush.android	upush-honor	2.0.0		N/A
com.codestepfish	vline-sql-server-2000	0.0.2		7082b0cefa71833e42f933467b80931f774993dd
com.codestepfish	vline-sql-server-2000	0.0.3		12f178c08ec7b9bd3092c16278d0de8d4fa388e4
com.codestepfish	vline-sql-server-2000	0.0.4		c79ef9bf31eff4f6256c016a2c23c9fcd3f3001d
com.composum.pages.options	composum-pages-options-microsite-package	1.2.1		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.3.0		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.4.0		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.4.1		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.5.0		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.5.1		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.5.2		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.5.3		N/A
com.composum.pages.options	composum-pages-options-microsite-package	1.5.4		N/A
com.dmitrymalkovich.android	material-design-dimens	1.0		N/A
com.dmitrymalkovich.android	material-design-dimens	1.2		N/A
com.dshatz.kmp	ecdsa-mingwx64	1.0.1		N/A
com.dshatz.kmp	ecdsa-mingwx64	e2e3322		N/A
com.github.alexarchambault	case-app_sjs1_2.12	2.0.0		d91713705337283a783f413ccb39837c24af09ff
com.github.alexarchambault	case-app_sjs1_2.12	2.0.0-M14		31ff727f917730e728de5719a4d0e6137b372790
com.github.alexarchambault	case-app_sjs1_2.12	2.0.0-M15		c2ca8dceb5c457b501c84726f7a8007d9a1b80ae
com.github.alexarchambault	case-app_sjs1_2.12	2.0.0-M16		d65d192322a14ece31dd661e2a36057ef03eede2
com.github.alexarchambault	case-app_sjs1_2.12	2.0.1		4eebbb31433c7867649a30dd60fe5cbb874955a0
com.github.alexarchambault	case-app_sjs1_2.12	2.0.2		ef9e31e3399ebb4eca4c02e93c424b9b14313d15
com.github.alexarchambault	case-app_sjs1_2.12	2.0.3		b742e76a184f4d24996404cef6dbe042fc1869a6
com.github.alexarchambault	case-app_sjs1_2.12	2.0.4		241bf9882eb7ba5789f4b69dce8c5b674a8e78e7
com.github.alexarchambault	case-app_sjs1_2.12	2.0.5		5c8d9368cd298ac74971945502ce86f2e2505522
com.github.alexarchambault	case-app_sjs1_2.12	2.0.6		2f08f69181a53cb5c3fa1102707b734cc044b2ef
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M1		fd5e1b25362181352931715103634ef90e7e9737
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M10		1aa2e92c916bbde8cfccdf40da4ddf61be85f5de
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M11		7f9c93e589b545a243bf7b848e41e29823170e34
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M12		3b555c6c54e1d648c03667178cc6c52fdcb4d4c2
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M13		1cf074b48b583be96d9c391781d82ff55937a756
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M14		715dcee0b667139d078337ea92dcfee2a79074bc
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M15		b2ce9370fdb74c92f3c46d0db7b1473c1826c258
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M16		3f5e8f5a90e4d9c782e82b995884893555bd949c
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M17		929c2edab1a3b0562d538ea88fc8c84e7c40d1c0
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M18		011b356cf67eac334041ec738544c47e3157e95c
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M19		7fe6e9cb6341956a5123e4c0c42b379944be8e83
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M2		f1c2557b6ef001cdf1debe23af1660b43894b23c
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M20		e0300d3beed8a4aa1db9b1c270249c5b70d1d71a
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M21		dfb06cc53128325d77364bbbdeb996cd3d932dd6
com.github.alexarchambault	case-app_sjs1_2.12	2.1.0-M22		e47e2e993abbf03fe7bff5fe76716f395d30a461
