com.axzae	swipelayout	1.3.0		N/A
com.bandwidth.sdk	messaging	0.1		9c7c99c8e45c1a10145e9fa106d51d7f602a851e
com.bandwidth.sdk	messaging	0.2.0		3a723e2361f7e48c22d3bbbf44ec8e1f5dbef9c3
com.bandwidth.sdk	messaging	0.3.0		878e4c1ab3474315ee460f456770729f624487fb
com.bandwidth.sdk	messaging	0.4.0		95e015285930b4901770908dcb1b8ab59b80f3aa
com.bandwidth.sdk	messaging	0.5.0		6cfd5db5478bacf77777cc2072edcc0727ca918b
com.bandwidth.sdk	messaging	0.6.0		f541937ca7c92c1dce7905ef1c4877fcea489c04
com.bandwidth.sdk	messaging	0.7.0		8d169f6e51f4c5f390c3f9053399ac83826dda11
com.bandwidth.sdk	messaging	0.7.1		3fa4f14df8deea103bce9f4bbc3f19b9a3183759
com.bandwidth.sdk	messaging	0.8.0		5ef0dbedc7f13fc4815a55d5159f90464cf37feb
com.bandwidth.sdk	messaging	0.9.0		9f95f6e938bb3fa0fbc6cd8767516df967a83217
com.beachape	enumeratum-argonaut_sjs1_2.11	1.6.1		379f4ba356a64eda9f30fc99795532ed0d357ed4
com.beachape	enumeratum-argonaut_sjs1_2.11	1.7.0		b6a31bdf23d8cee71f54ee74c3257d9fdb5c46be
com.beachape	enumeratum-argonaut_sjs1_2.11	1.7.1		37cba7734bab021b75ffe549cb5b4b10cdca6681
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.10.0		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.10.0-rc2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.11.1		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.12.1		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.12.1-rc2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.7.0		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.7.0-rc2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.7.0-rc3		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.7.0-rc4		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.8.0		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.8.0-rc6		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.8.0-rc8		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.8.1		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.8.1-rc2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.8.2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.9.0-rc1		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.9.0-rc2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.9.1		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.9.2		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.9.3		N/A
com.boozallen.aissemble	aissemble-test-data-delivery-pyspark-model-basic	1.9.4		N/A
com.digitalreef.phoenix	app-services	5.4.1		N/A
com.digitalreef.phoenix	app-services	5.4.1-rc1		N/A
com.digitalreef.phoenix	app-services	5.5.0		N/A
com.github.ajozwik	akka-smtp-server_2.12	0.2.1.1		b5a910727f6e85f24145e41233fddbd3a35f2878
com.github.cycladessoa.nyxlets	r	1.0.0.1		N/A
com.github.cycladessoa.nyxlets	r	1.0.0.2		N/A
com.github.cycladessoa.nyxlets	r	1.0.0.3		N/A
com.github.cycladessoa.nyxlets	r	1.0.0.4		N/A
com.github.cycladessoa.nyxlets	r	1.0.0.5		N/A
com.github.cycladessoa.nyxlets	r	1.0.0.6		N/A
com.github.cycladessoa.nyxlets	r	1.0.0.7		N/A
com.github.fracpete	dataset-weights-weka-package	2015.6.16		1ca01b414d013bd75fe124c6068863e360811f70
com.github.fracpete	dataset-weights-weka-package	2019.9.11		d5d80ec819920c64c26461320ace2d259a2ea9ce
com.github.fracpete	dataset-weights-weka-package	2019.9.13		605d56b8ac1a405f41b98bddcd79d26a9cf65097
com.github.nfalco79	junit4osgi-runner	1.0.0		56ccec3f31e914032e2683766f85fd645980290e
com.github.nfalco79	junit4osgi-runner	1.1.0		f0cb25201037c1a5eb72f3dbe02aca2de3a5d058
com.github.nfalco79	junit4osgi-runner	1.1.1		d75fda66bfdb64495e1b3507be283e470793fd0e
com.github.nfalco79	junit4osgi-runner	1.1.2		3d82c7e02e9b3ffd9c3a793c4c48cd8afe4c7666
com.github.nfalco79	junit4osgi-runner	1.1.3		c525e2aac74965cd48afe9c8380807c57f36daa2
com.github.nfalco79	junit4osgi-runner	1.2.0		702d3961331db7ab508a475bff06186bca38439b
com.github.nfalco79	junit4osgi-runner	1.2.1		7cae2c5ff876191a400ac05caed630f6ee55082c
com.github.nfalco79	junit4osgi-runner	1.2.10		853964bb34a6bd189c5cea36138684f09ddcce8e
