avalon-http	avalon-http-api	1.3		f8155bec84a17db16c253ba33bc4a5075efc90d9
cn.com.antcloud.api	antcloud-api-provider-ak_764ae225a5a74b26a5a0c1c56b0630e7	1.0.0		5e1b0045f83a80098a170b157c819377b2d31618
cn.hiboot.mcn	mcn-boot-core	2.2.11		cf593c4d8976327dc1249674d34e4d35ae3f1b41
cn.hiboot.mcn	mcn-boot-core	2.3.0		dd90b8ed14ec93446ef3e9960f79cbd4062c57bc
cn.hiboot.mcn	mcn-boot-core	2.3.1		902720f5497e6743317334a222fd20b151976853
cn.hiboot.mcn	mcn-boot-core	2.3.10		969191f807035cd9b114c0457908d646041b5a73
cn.hiboot.mcn	mcn-boot-core	2.3.11		4b22dcd0f3074cf02da226b37ac8b0ef74358b65
cn.hiboot.mcn	mcn-boot-core	2.3.12		bd6a90bb340b02ecc96d9b52568ee55311bf90a0
cn.hiboot.mcn	mcn-boot-core	2.3.2		fff673bed112d98e1c7f22feb497c2a056bb8089
cn.hiboot.mcn	mcn-boot-core	2.3.3		2f129781829e513a3033b80e5dd67c71a1037298
cn.hiboot.mcn	mcn-boot-core	2.3.4		6bce066ba31c64cf76c7b79e838603f7779a065f
cn.hiboot.mcn	mcn-boot-core	2.3.5		ec5bc07c777561041e305d153f01cb8b19e7b064
cn.hiboot.mcn	mcn-boot-core	2.3.6		2675d547ffe1bdf8365807f331356f113fb23b50
cn.hiboot.mcn	mcn-boot-core	2.3.7		04d6d86116be7b3b6d50fdade736f5394d7674aa
cn.hiboot.mcn	mcn-boot-core	2.3.8		ac1bf1445d317b6df94d174b7ed9b7652b41a1bc
cn.hiboot.mcn	mcn-boot-core	2.3.9		618a7d81b95ccab7275e95a260023369518e882e
cn.hiboot.mcn	mcn-boot-core	2.4.1		9f018c0f5a3f4928c9105b5ada5b60c40709a761
cn.hiboot.mcn	mcn-boot-core	2.4.2		ebbb7894f92cc14c684f27d0df5d464dbfb2ab39
cn.hiboot.mcn	mcn-boot-core	2.4.3		f4b68cfbcd8ac6fb8e6cf667edfc05da574c0a71
cn.hiboot.mcn	mcn-boot-core	2.4.4		c89ee3b9a8b0d46e8c4d994d20c81015208a3591
cn.hiboot.mcn	mcn-boot-core	2.4.5		6b42df300821851ad74692844c57dec960befbdd
cn.hiboot.mcn	mcn-boot-core	2.4.6		7af528c30343c42dfbe374290ce40b1c01588925
cn.hiboot.mcn	mcn-boot-core	2.5.0		a29f22baaa89077f7cfc692bcfeab283c0e07166
cn.hiboot.mcn	mcn-boot-core	2.5.1		8d5918de303748ea8ea97902d87aa3949305fb9f
cn.hiboot.mcn	mcn-boot-core	2.5.10		b6f3994a9fb56c9e90a66a7c5404953af267b725
cn.hiboot.mcn	mcn-boot-core	2.5.11		44501530df447c92d4a6aa2a3c32df786b3fed95
cn.hiboot.mcn	mcn-boot-core	2.5.12		da681ded0c583fe94db1a418cfa865ea1be86a57
cn.hiboot.mcn	mcn-boot-core	2.5.13		4cbad750c2be773a19591b937f2bcb4eea54c9b5
cn.hiboot.mcn	mcn-boot-core	2.5.14		58b56b1a7fae68c3ad5affe5c0572ab7b55c8e8e
cn.hiboot.mcn	mcn-boot-core	2.5.15		4d8ae6cb1e804b8b58fe7eee69025573a201fbc0
cn.hiboot.mcn	mcn-boot-core	2.5.16		f80a7e7ffba4ea1140d6827d19dc41779c18a504
cn.hiboot.mcn	mcn-boot-core	2.5.17		e2ee9fb2894eaaf4bad6d9df4fa88c917afb9dd8
cn.hiboot.mcn	mcn-boot-core	2.5.2		3ef214a5b117ea51ef77b7a9b60d67b9343a7395
cn.hiboot.mcn	mcn-boot-core	2.5.3		ad8e81c9f77d72fd24d32ca654eb1c6f5fece4d1
cn.hiboot.mcn	mcn-boot-core	2.5.4		0042aafacdd37ed880f7a0c9e803327af0ec9ad7
cn.hiboot.mcn	mcn-boot-core	2.5.5		59a80c2b26113039d779775069d9e4c2d9aeecdf
cn.hiboot.mcn	mcn-boot-core	2.5.6		076b7ea8c1dac4f698d52f707917097f3e179bbf
cn.hiboot.mcn	mcn-boot-core	2.5.7		c36429fab609e9b742905db347a3b2a01b53c93d
cn.hiboot.mcn	mcn-boot-core	2.5.8		ad7497d01fced4714aca9521ff0bb34338dff764
cn.hiboot.mcn	mcn-boot-core	2.5.9		3a8e2db745f1cb48520d057164eaea05572c285f
cn.hiboot.mcn	mcn-boot-core	2.7.0		06ca08cd6ef21707db006965b8c74db62ccd884f
cn.hiboot.mcn	mcn-boot-core	2.7.0.1		00d66b8c4a481fadc5b475b90eb6b5a8a39275d3
cn.hiboot.mcn	mcn-boot-core	2.7.0.2		08407bbf57d83757fd3c2a0d4186c2338fb7ae36
cn.hiboot.mcn	mcn-boot-core	2.7.1		2e65dd9d95990b8e5d0453adcf296650c8904e58
cn.hiboot.mcn	mcn-boot-core	2.7.10		78a693418caf470801ae8034a69ff90c3a2a71cd
cn.hiboot.mcn	mcn-boot-core	2.7.11		b3f5a478268d80d9f3dbbcb74a360e382221c44f
cn.hiboot.mcn	mcn-boot-core	2.7.12		b0d8eb3fc9ff6408df61d071c2b6f6d31c4e9765
cn.hiboot.mcn	mcn-boot-core	2.7.13		64aac670d98e9d7b688a51c4760980eec33baabf
cn.hiboot.mcn	mcn-boot-core	2.7.14		4164a853350bd463aa18088b702167a45150a431
cn.hiboot.mcn	mcn-boot-core	2.7.15		a46780f2636b8a927ceccd9fa35efe07645b4770
cn.hiboot.mcn	mcn-boot-core	2.7.16		540004f2a948765353cba1023a27ab08d78621d3
cn.hiboot.mcn	mcn-boot-core	2.7.17		16db2efe0c18372a947ec6253c9034352cc7704f
cn.hiboot.mcn	mcn-boot-core	2.7.18		7c5e3945c8f8aa5fd38ee552f79f48c1897c8bf3
cn.hiboot.mcn	mcn-boot-core	2.7.2		6e23d2c1c5337c4541e63e5ec1d83bba0d72a630
cn.hiboot.mcn	mcn-boot-core	2.7.3		5c8bdb8b221950461b788209c2c8d93fee8fd906
cn.hiboot.mcn	mcn-boot-core	2.7.4		52af5a8c5fc36b0ce39d44e512f1c00040e669e1
cn.hiboot.mcn	mcn-boot-core	2.7.5		71ffe004b1d28ea03e446cb3ed1020596b679464
cn.hiboot.mcn	mcn-boot-core	2.7.6		d42beae79d7767e75c37d0663b94e166774a2ef6
cn.hiboot.mcn	mcn-boot-core	2.7.7		1ce222bdf166494d6648f5b2c6323121a3acccfb
cn.hiboot.mcn	mcn-boot-core	2.7.8		2e332e055ca640640b449221db6bd40fa7c758b1
cn.hiboot.mcn	mcn-boot-core	2.7.9		d7d919505a021d34546f50876e589213dfc15509
cn.hiboot.mcn	mcn-boot-core	3.1.3		f09fb4cea51acd3add9d837a86704ad6446bb489
cn.hiboot.mcn	mcn-boot-core	3.1.4		b6c01c16584956dc7fca5f60441eb9aa50c73482
cn.hiboot.mcn	mcn-boot-core	3.1.5		682b35e475f90f48de80befb62b2ed8785d49c9a
cn.hiboot.mcn	mcn-boot-core	3.2.1		a1aaa67e3b8ba04017574cb05d1c247f04366b46
cn.hiboot.mcn	mcn-boot-core	3.3.1		700d171fe8d02a7a0823df315d65f0a34fd90ac4
cn.ucloud	ucloud-sdk-java-pathx	0.8.0-release		b844da4ab41f4220849a6c4236faddb3d274c673
cn.ucloud	ucloud-sdk-java-pathx	0.8.1-release		cb26d452636d35536f6a151ba5e86d4b24bb172c
cn.ucloud	ucloud-sdk-java-pathx	0.8.1.1-release		c24aab37e231def31e32ab0d5a22d7c6ccf67835
cn.ucloud	ucloud-sdk-java-pathx	0.8.2-release		35375c3fd6cc94fad5bf5d1cbfcf6469f0b5f3fc
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.1-release		b7422f09f0967e25f3b3fe35a9a9bcefe7cb1bd8
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.2-release		fe0073a3de6bf848212c64e844346ab35703c2c6
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.3-release		ce0a6934f8b5dc92728765945f5888cfc6b3d1cf
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.4-release		9638de4e323d66da709b7eb6a2a86a299ed82b8f
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.5-release		dba4144c318ba9638781f3ba590ea633147209ab
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.6-release		12de4553b580c2f9c212d4c3d969f3123b04415e
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.7-release		7ba7d9d7f2e5e4e798b9ff0187596c6aded1eb30
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.8-release		e3e53951a621d3f6f722d2b0e23a037c994ff8d2
cn.ucloud	ucloud-sdk-java-pathx	0.8.2.9-release		60be966cc52f63eaa225056464518596a43d8c1d
cn.ucloud	ucloud-sdk-java-pathx	0.8.3.0-release		e1c70a994d404a0763b4232214a9fb606c94efb1
cn.ucloud	ucloud-sdk-java-pathx	0.8.4.0-release		69155d337bbe5e0baa191c9a976d47e21d4bd33f
cn.ucloud	ucloud-sdk-java-pathx	0.8.4.1-release		4bc1d2b7fbe376f5d06e11e51d206366420e422e
cn.ucloud	ucloud-sdk-java-pathx	0.8.4.2-release		6540ec11df583faf7036dda91bbc5cf22348870e
cn.ucloud	ucloud-sdk-java-pathx	0.8.4.3-release		fa01aad8cff7253e5d38df2f1532733ece4ba188
cn.ucloud	ucloud-sdk-java-pathx	0.8.4.4-release		c605a0916f71cbb571edd653fd294f6046e5aca6
cn.ucloud	ucloud-sdk-java-pathx	1.0.0-release		5ee998a22c623e0b1786c7fe370c4c58ea203523
cn.ucloud	ucloud-sdk-java-pathx	1.0.2-release		32efa28b62f11340050fd0e6d78fac19e88decab
cn.ucloud	ucloud-sdk-java-pathx	1.0.4-release		4a179e983791e42605316022f4d1c432addc30c2
cn.ucloud	ucloud-sdk-java-pathx	1.0.5-release		3f2bafddf570a5de6adafae8e6e7250e17f21ab2
cn.ucloud	ucloud-sdk-java-pathx	1.0.6-release		3b9a15d16e2469333ef312ebf6034cf15a3dcce4
cn.ucloud	ucloud-sdk-java-pathx	1.0.7-release		be7d2de6b2b0e9a9654d8651a6e8f6d556d95c4d
cn.ucloud	ucloud-sdk-java-pathx	1.0.8-release		a23e00af39fc767a9b79edb1b355d4f390e54faf
cn.ucloud	ucloud-sdk-java-pathx	1.0.9-release		b8ab04f8dc614c740fdc94d5f2da33b5147092f3
cn.ucloud	ucloud-sdk-java-pathx	1.1.0-release		ad60244a93ab9bb1971d98d1c7d875a421ac9153
cn.ucloud	ucloud-sdk-java-pathx	1.1.1-release		1581338066838b2a515eb1d2c147895159cb292f
cn.ucloud	ucloud-sdk-java-pathx	1.1.2-release		93c795d2b1009909f36dd0f2369d00c3e98aff8f
cn.ucloud	ucloud-sdk-java-pathx	1.2.0-release		b28c0c0baca5cbc07004101ef0df7df65ed34522
cn.ucloud	ucloud-sdk-java-pathx	1.2.1-release		09053a148f149554aae45b0a968b0afdddae32d5
cn.ucloud	ucloud-sdk-java-pathx	1.2.10-release		7d8909aa63b74d92697f7a65e71e860375123e23
cn.ucloud	ucloud-sdk-java-pathx	1.2.11-release		8c71695b5d45095af3bf0d12a2f91b81ddb73351
cn.ucloud	ucloud-sdk-java-pathx	1.2.12-release		17127da5b8fdf535dfa4636ed97286de3b719038
cn.ucloud	ucloud-sdk-java-pathx	1.2.14-release		5679e409602f940022f905cccbc1dfe49a589d11
cn.ucloud	ucloud-sdk-java-pathx	1.2.15-release		b326f029f4aacf3f2ad18e35bb66fdbb0dfdfea8
cn.ucloud	ucloud-sdk-java-pathx	1.2.16-release		06db7af90158d1ae137d59adb435c991dea5793c
cn.ucloud	ucloud-sdk-java-pathx	1.2.17-release		9a51c86c51a129bf39d9f260f29e1662bd8c9666
cn.ucloud	ucloud-sdk-java-pathx	1.2.18-release		4306b86204f94715794b9839cf86640bbea87890
cn.ucloud	ucloud-sdk-java-pathx	1.2.19-release		941751c63bd7f180988a1e2ba0026622ead89366
cn.ucloud	ucloud-sdk-java-pathx	1.2.2-release		6628d1fd1b57138fcc15ddb79412f9c08320595a
