at.asitplus	kmmresult-android	1.9.1		N/A
biz.aQute	biz.aQute.osgi.diverse.util	1.10.0		F60D274F68954797E641A6948CEA305DE34D6E64
br.com.youse.forms	formatters-jdk	0.0.1		a0dbb73ccebff3dbe9df876837467930c4c17d42
br.com.youse.forms	formatters-jdk	0.2.0		d3543ff8faadbb4e4606d6c89107aafd74a0e496
br.com.youse.forms	formatters-jdk	0.3.0		19cf063fd84b94eb31c675a3825c0dab329902dc
br.com.youse.forms	formatters-jdk	0.5.0		03bc80349abd76a021c5df7d00c6be2c95f921a3
br.com.youse.forms	formatters-jdk	0.6.0		0977491bbdced19e3ed8714216fc9adbc327a5e8
br.com.youse.forms	formatters-jdk	0.7.0		9a252190bd0a72ccf3b4648484e83fef88bbfa7c
co.adcel.android	adcel-audio	1.12.0		N/A
co.adcel.android	adcel-audio	1.12.1		N/A
co.adcel.android	adcel-audio	1.13.0		N/A
co.adcel.android	adcel-audio	1.13.2		N/A
co.adcel.android	adcel-audio	1.13.3		N/A
com.ably.tracking	core-sdk	1.0.0		N/A
com.ably.tracking	core-sdk	1.0.0-beta.15		N/A
com.ably.tracking	core-sdk	1.1.0		N/A
com.ably.tracking	core-sdk	1.1.0-rc.1		N/A
com.ably.tracking	core-sdk	1.1.0-rc.2		N/A
com.ably.tracking	core-sdk	1.1.0-rc.3		N/A
com.ably.tracking	core-sdk	1.1.0-rc.4		N/A
com.ably.tracking	core-sdk	1.1.0-rc.5		N/A
com.ably.tracking	core-sdk	1.1.0-rc.6		N/A
com.ably.tracking	core-sdk	1.1.0-rc.7		N/A
com.ably.tracking	core-sdk	1.1.1		N/A
com.ably.tracking	core-sdk	1.2.0		N/A
com.ably.tracking	core-sdk	1.3.0		N/A
com.ably.tracking	core-sdk	1.4.0		N/A
com.ably.tracking	core-sdk	1.4.0-rc.1		N/A
com.ably.tracking	core-sdk	1.4.0-rc.2		N/A
com.ably.tracking	core-sdk	1.4.1		N/A
com.ably.tracking	core-sdk	1.5.0		N/A
com.ably.tracking	core-sdk	1.5.1		N/A
com.ably.tracking	core-sdk	1.6.0		N/A
com.ably.tracking	core-sdk	1.6.0-beta.1		N/A
com.ably.tracking	core-sdk	1.6.1		N/A
com.ably.tracking	core-sdk	1.6.2		N/A
com.ably.tracking	core-sdk	1.6.3		N/A
com.ably.tracking	core-sdk	1.6.4		N/A
com.ably.tracking	core-sdk	1.7.0		N/A
com.alexitc	playsonify_2.13	2.3.0		e4002dc1fe5d70f71e24b2d8745772b821677c3d
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0	metadata	ad4ee7d0ffaaeedfdddfc43ea715f3eef945c7b6
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha01		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha01	metadata	064a6a81e16186ff948787e9621de0e571351a63
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha02		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha02	metadata	8b46f976f6fd47fd6500cdcaa90dc0b7b863d6bb
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha03		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha03	metadata	a0d9074163a775f2686cab879ede2d1ae9583cf8
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha04		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha04	metadata	0e4413a1ddd6c6180e706f63b0f35c56cf329f05
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha05		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha05	metadata	3a08083478fd678341704ae87d4dd334f81bcc8e
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha06		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha06	metadata	e09b224a02f496e279feaa899d10831255990996
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha07		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha07	metadata	2753de7e8edac5215435c10a7f156a0ba3ff91bf
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha08		N/A
com.arkivanov.decompose	extensions-compose-iosarm64	3.0.0-alpha08	metadata	ee0a6c78ca0a681560662ddfabe00d1a9839016f
