app.softwork	routing-compose-wasm-js	0.4.0		N/A
ar.com.siripo	arcache-backend-jedis	0.0.2		f8ec25db73d5fe494963d014d5f17a759204b133
ar.com.siripo	arcache-backend-jedis	0.0.3		07671772ae4039795205b0d272e611de810bc578
ar.com.siripo	arcache-backend-jedis	0.0.4		5567a7a802c67cacf590a83784534916e2f659e4
ar.com.siripo	arcache-backend-jedis	1.0.0		a273f0e7bb510cbb46d0280f1b8f8280ebedc2e8
ar.com.siripo	arcache-backend-jedis	1.1.0		85170fcc52e5b322d9422134e8165164cd40b587
ar.com.siripo	arcache-backend-jedis	1.2.0		eae9a91745df73be513f7debb9686cb9b825ffe7
beer.devs	fastnbt_nms_v1_21_3_mojangmap	1.4.1		29ff850c1c384d34075ed1349d80ff65882bcd46
beer.devs	fastnbt_nms_v1_21_3_mojangmap	1.4.2		9c846be7a6fcbd9bbe760ead90307dd9be66a40b
beer.devs	fastnbt_nms_v1_21_3_mojangmap	1.4.3		d77cd8dd128288f2d5ade205dafb986578fc2a7c
beer.devs	fastnbt_nms_v1_21_3_mojangmap	1.4.5		a2713b6ad3d4dec71383dba03e10d607969cd7e1
beer.devs	fastnbt_nms_v1_21_3_mojangmap	1.4.6		57dfc89ce606c6e30221647e4a9d1b22bd50aa0a
beer.devs	fastnbt_nms_v1_21_3_mojangmap	1.4.7		630ec2ea9d217dae8c45b7ac897448c3df85d54d
com.agical.rmock	documentation	2.0.0		e5731e2e2955a516446d5439a8a8b13b47f002bf
com.aliyun	alibabacloud-gdb20190903	1.0.0		abc2489dc8530a52bdbe73bbcabd0c788413e32e
com.bytehappy	Boson	1.0.0		ffe723b2eb050dd5b05bb10f9d6ad70a83580dc3
com.bytehappy	Boson	1.0.1		ffe723b2eb050dd5b05bb10f9d6ad70a83580dc3
com.compstak	kafka-streams4s-circe_2.13	0.1.0		d803ad681d0c12864ae2dce70e8c7379b43580e4
com.compstak	kafka-streams4s-circe_2.13	0.10.0		f0ddcd295fec1960aff3ea145d2e0c81069393ad
com.compstak	kafka-streams4s-circe_2.13	0.10.1		020dfe5256f4f6e5a2e6ad9a7d69f9a6c1fc10be
com.compstak	kafka-streams4s-circe_2.13	0.10.2		177d6eea391bbd4be2ae9f0b1d85701934e1a471
com.compstak	kafka-streams4s-circe_2.13	0.10.3		b4d03158f95011cbf624d374fabe9eb28b61c3ba
com.compstak	kafka-streams4s-circe_2.13	0.10.4		9561c7463eca63a8514c49dbc8185f5fc2c188cd
com.compstak	kafka-streams4s-circe_2.13	0.11.0		35d154f549426e4b179a9f214817a8cbcc66d37f
com.compstak	kafka-streams4s-circe_2.13	0.14.0		96b74fbc5a8b0cdf7fa1a8f780250c55cb0ca8a2
com.compstak	kafka-streams4s-circe_2.13	0.15.0		de30d4c2de4f7c0288d71a6c5b889f533c1fa9a4
com.compstak	kafka-streams4s-circe_2.13	0.16.0		3fb2f6637cc377187ea6677946c2747b399b6246
com.compstak	kafka-streams4s-circe_2.13	0.2.0		872fb2797a814461e23b7c0714097248f8fa81b9
com.compstak	kafka-streams4s-circe_2.13	0.3.0		a10bb1ff420c1acfdc0730d06ffe2c1346317217
com.compstak	kafka-streams4s-circe_2.13	0.4.0		f72ba87a4444365e8a94d4391229c93f1fc93c12
com.compstak	kafka-streams4s-circe_2.13	0.4.1		3ca0b286d64b4ba8fbd03dd116c7159555f44f3b
com.compstak	kafka-streams4s-circe_2.13	0.5.0		d0083982843edc45a8e79d273d6025323d0dd978
com.compstak	kafka-streams4s-circe_2.13	0.6.0		2e355717f25d8bf3e8ddca1751020c22fd98a59c
com.compstak	kafka-streams4s-circe_2.13	0.7.0		3437d1f231187386c1c631fda0b05b958cb7f66e
com.compstak	kafka-streams4s-circe_2.13	0.8.0		55fa678beb14c66d34b93385b7f49bc87ba226c4
com.compstak	kafka-streams4s-circe_2.13	0.8.1		df0757a04fdbe2868b4c70a6e4b46587fb02946a
com.compstak	kafka-streams4s-circe_2.13	0.8.2		ddb1e86d2dd703fc6d65727e5e25ba2e57c6d3e8
com.compstak	kafka-streams4s-circe_2.13	0.9.0		bcb9710aa4b23a2feb5758a7afddb53ca2974af9
com.documents4j	documents4j-transformer-msoffice-base	0.2		77cddda93559cb48859f783591aad778c50f8255
com.documents4j	documents4j-transformer-msoffice-base	0.2.1		7e2cc58a8caaab2bc1622d794bef3102b17ab32c
com.documents4j	documents4j-transformer-msoffice-base	1.0.0		15fe62a82d226900aaadcd3a490bfe7f308a409d
com.documents4j	documents4j-transformer-msoffice-base	1.0.1		9b9e491648a7d121a4cf978232ed63960933b1b1
com.documents4j	documents4j-transformer-msoffice-base	1.0.2		75ee24b314a4e6c3dd0ba0fa9f3986b9ab9c4bd3
com.documents4j	documents4j-transformer-msoffice-base	1.0.3		c5f4067c985a6858ec9c344e9c0eac8afdc75c2d
com.documents4j	documents4j-transformer-msoffice-base	1.1.0		1107003cfa0cff57794635a8b1769dbf610a87b7
com.documents4j	documents4j-transformer-msoffice-base	1.1.1		f4b5532e1ec699b361b173511aad134bde0e70a5
com.documents4j	documents4j-transformer-msoffice-base	1.1.10		809ace2f1985f9275f5e00f7e9ebdb69bbfa867c
com.documents4j	documents4j-transformer-msoffice-base	1.1.11		6dea656ff371a3d53e55505886286762ed2cff67
com.documents4j	documents4j-transformer-msoffice-base	1.1.12		9ddcded5e949a167e8046c3404c1f8f395115842
com.documents4j	documents4j-transformer-msoffice-base	1.1.13		54b2926d7490e5ceb42d3bea99a9850c0df4212d
com.documents4j	documents4j-transformer-msoffice-base	1.1.2		00144dd1fbc0ab0a51ee893b71b8a4bd7808bd16
com.documents4j	documents4j-transformer-msoffice-base	1.1.3		886b60f93c0b8d9e96c464e6885fba1b94413c24
com.documents4j	documents4j-transformer-msoffice-base	1.1.4		7d59d7cae03daa134df0a0533af9dc0fa2c69699
com.documents4j	documents4j-transformer-msoffice-base	1.1.5		bf197cc41907df43b41f1132c8eecc51dfd98a9b
