cn.herodotus.stirrup	stirrup-facility	3.3.0.0-M1		N/A
co.paralleluniverse	comsat-tomcat-loader	0.1.0		ebd333acba3ff307926a081b454fa8fafe7118af
co.paralleluniverse	comsat-tomcat-loader	0.1.1		8bcbe8e1b55c01b791efdcd3a360890e0e969c3a
co.paralleluniverse	comsat-tomcat-loader	0.1.1	jdk8	5b836e7273486a45a43bf11170fec7d1549ce679
co.paralleluniverse	comsat-tomcat-loader	0.2.0		16791aed162454cd160226d7dfd92697f2a1856a
co.paralleluniverse	comsat-tomcat-loader	0.2.0	jdk8	0cdd8273a2cc61d758240623293d2b3106261b5c
co.paralleluniverse	comsat-tomcat-loader	0.3.0		5a270b907d7fbffe7874247e072decd46cb5b555
co.paralleluniverse	comsat-tomcat-loader	0.3.0	jdk8	bc4be7e398c5e2f18fc3ab22fc5d25241781598e
co.paralleluniverse	comsat-tomcat-loader	0.4.0		e890a23822ace782515eb58e3ad4459d4ba5703e
co.paralleluniverse	comsat-tomcat-loader	0.4.0	jdk8	6274db080a466e4dfb34bde0540df1906ab1591a
co.paralleluniverse	comsat-tomcat-loader	0.5.0		ea08c71616962b53049639bdb079af830f935238
co.paralleluniverse	comsat-tomcat-loader	0.5.0	jdk8	db74b724c747bf661df5c90e6645f4811ac3a6a1
co.paralleluniverse	comsat-tomcat-loader	0.6.0		4103959a769837857de12f2cffa4a991bf3687bc
co.paralleluniverse	comsat-tomcat-loader	0.6.0	jdk8	035906171b9f154c03d144c49f787c21e4fd5078
co.paralleluniverse	comsat-tomcat-loader	0.7.0		89e7fac3b521536c3c099227d7c983ce77abd285
co.paralleluniverse	comsat-tomcat-loader	0.7.0	jdk8	002c51832b9320e49815a84e6e3ef96b407488e4
com.alibaba.cloud	spring-cloud-alibaba-nacos-config-server	2.0.0.RELEASE		d4e57f6a7747c33e07be43133808d453b1068df0
com.alibaba.cloud	spring-cloud-alibaba-nacos-config-server	2.0.1.RELEASE		faf7e3303a47164cd73b39f989e757938f3cc340
com.alibaba.cloud	spring-cloud-alibaba-nacos-config-server	2.1.0.RELEASE		167b42d48af5a0a37bdc9a7eebc9f1771487ba32
com.alibaba.cloud	spring-cloud-alibaba-nacos-config-server	2.1.1.RELEASE		694305cb239ce5114c6e1cd558c760ee45545b67
com.alibaba.cloud	spring-cloud-alibaba-nacos-config-server	2.2.0.RELEASE		3e305eff1b3de1a3219a0b1b9ddd21907f3225f6
com.alibaba.lindorm	lucene-memory	8.10.0		5c8d07a9190f54312f484c8776adc580e5d291b8
com.alibaba.lindorm	lucene-memory	8.10.1.3		766dddf6015af494ec99bf494b3211a1fb2e096f
com.alibaba.lindorm	lucene-memory	8.10.2		c5426fc881952c9a0fea4643ba28e020d8fd5e33
com.alibaba.lindorm	lucene-memory	8.9.0		9e56e05d429bdbccbcbbded7cf0b3823820f473b
com.alibaba.lindorm	lucene-memory	8.9.0.1		81f4f09cc1e6cfedc993f9ec585f4e0dc79232ce
com.alibaba.lindorm	lucene-memory	8.9.1		ac40d73008583f28cc1d3215d22db444d2d18e5a
com.aliyun	dt_oc_info20220829	1.0.0		ebaf1c8954837f94044ba1d2c4c68f110135ce22
com.aliyun	dt_oc_info20220829	1.0.0	shaded	8f89babcc5ad4251bebe7b7334feb8974351d72e
com.aoapps	ao-javadoc-resources	1.0.2		bfad8b7128c17ab24a525ff580f5ea290e0d00bc
com.aoapps	ao-javadoc-resources	1.1.0		bd67a3aa9da898f315521a9bcaa8910fe370ef68
com.aoapps	ao-javadoc-resources	1.1.1		a01c03b40dda0c245c206b828a638656255af919
com.cedarsoft.commons.old	app	1.5.1		33b303ee039705052900fab17f7df8bade19d8f4
com.cedarsoft.commons.old	app	1.5.2		d6376ff20a4637a94ba43303d81011aadfa73fd8
com.cedarsoft.commons.old	app	1.6.0		f639ee0d472c8e619e499c27ca1b735fb4c27691
com.cedarsoft.commons.old	app	1.6.1		2f331b42a3cd70d0ea2a44c9ff7c5e34e6b85610
com.cedarsoft.commons.old	app	1.6.2		1ed963269c9922d3766c761f4b1f529853c5e058
com.cedarsoft.commons.old	app	1.6.3		62b255b7c67f505bd23bd748f09080dfa584dec2
com.cedarsoft.commons.old	app	2.0.0		ab0aed0f2f4ac75a1af051d9f172cdf96fbab8c9
com.cedarsoft.commons.old	app	2.0.1		a77c3c25d3f1d0e2f89b1363b61c5fa38fe78c2b
com.cedarsoft.commons.old	app	2.0.2		b34c622d10dd9a2274eec029f2dd7906af5f3dfd
com.cedarsoft.commons.old	app	2.0.3		77cdd9951daad9978364676fceba4b42fb37c836
com.cedarsoft.commons.old	app	2.0.4		36276e9aa9f1854ef8d16f2d06d4990bfbc5c77b
com.cedarsoft.commons.old	app	2.0.5		2adfb4745acbcb23100f1cb17a112a5a87b56a49
com.cedarsoft.commons.old	app	2.0.6		6565d2a4117be84def2a267706c59ad0f9e42ec2
com.cedarsoft.commons.old	app	3.0.0		170ba6f5438f8e3bba322dbf0ace65497fbc0faa
com.cedarsoft.commons.old	app	3.0.1		b687e8d2594039a064116e5affbbfa45d7aefd12
com.cedarsoft.commons.old	app	3.0.2		e4b51ed3e5ca53eb624c9b9d265ab8270824d4e1
com.cedarsoft.commons.old	app	4.0.0		47ce739a3ab493a29a9931134b3df241185d7d59
com.cedarsoft.commons.old	app	4.0.1		60146616a644c4211aa5ca46de97dd344e95bb30
com.cedarsoft.commons.old	app	5.0.0		05668b66fd00bb454f0e49dca3d467950680d492
com.crimsonhexagon	redis-session-manager	2.2.0		ade40bef9468276d28add4f6db37ac1757bea70c
com.crimsonhexagon	redis-session-manager	2.2.1		bb4f7982c0ff639884478fa7d02e861d0cd329fc
com.github.beingcoder	openapi-generator	3.3.4		f9170c68ee71999ebb60cd3fb5af53b7f1812ad7
com.github.beingcoder	openapi-generator	3.3.4.1		327d109bc3a894975b6599f6c726416037aa8b6d
com.github.beingcoder	openapi-generator	3.3.4.2		0e4e4125a9d23f3c5cb37b782ebd5fcd29c9a20b
com.github.lxr1827991	appsession	1.0		ba5b2bc8e9e6f3c9e271d7affc7ead5743223d97
com.github.oncizl	recycler-adapter	1.0.0		N/A
com.github.oncizl	recycler-adapter	1.0.1		N/A
com.github.oncizl	recycler-adapter	1.0.2		N/A
