app.cash.treehouse	treehouse-compose-android-debug	0.1.0		N/A
cn.huangxulin	git-hook-spring-boot-starter	1.0.0		90f4202f8b367c8a8dc85f1c1d9053ebfb250790
cn.huangxulin	git-hook-spring-boot-starter	1.0.1		3cea6972a3bb41c18a2b1cd3faf37d6fe684c6d9
cn.huangxulin	git-hook-spring-boot-starter	1.0.2		09d27098c03c77479162db5ccdf2315052196157
cn.nkpro.elcube	parent	2.0		N/A
cn.nkpro.elcube	parent	2.0.1		N/A
cn.nkpro.elcube	parent	2.2.2		N/A
cn.nkpro.elcube	parent	2.2.4		N/A
cn.nkpro.elcube	parent	2.2.5		N/A
cn.nkpro.elcube	parent	2.2.7		N/A
cn.nkpro.elcube	parent	2.2.8		N/A
cn.praysoul.ybutil	yb-networkutil	1.3.7.13-low-rc04		N/A
cn.praysoul.ybutil	yb-networkutil	1.3.7.13-low-rc04a		N/A
co.bittub.prime	prime-cache-redis	1.0.0		1ffb16c4a62d42696a9acbda66bba6d95666aaca
com.baremetalcloud	multiplatform-systemcall-jvm	0.3		2bb64d18dd153dccaa36173080135e9072b4f5b6
com.baremetalcloud	multiplatform-systemcall-jvm	0.5		fe669ecacc2e301b7c359be76e6aab0382444dbf
com.baremetalcloud	multiplatform-systemcall-jvm	0.6		2ab01ac45913d8bbbd0c8eda6aeaf8abe8def550
com.baremetalcloud	multiplatform-systemcall-jvm	0.7		cdbd7dd5a325bf3691d8866e026d620cbbd9c095
com.beachape	ltsv-logger_2.13	0.1.0		98efd24c644ff3b14133136d0e8acb549a5e4524
com.beachape	ltsv-logger_2.13	0.1.1		da8e928fcda3f5987223312d202a8a250bde3616
com.brandwatch	robots-integration-tests	1.1.1		N/A
com.brandwatch	robots-integration-tests	1.1.2		N/A
com.brandwatch	robots-integration-tests	1.1.3		N/A
com.brandwatch	robots-integration-tests	1.1.4		N/A
com.brandwatch	robots-integration-tests	1.2.0		N/A
com.brandwatch	robots-integration-tests	1.2.1		N/A
com.dell.isg.smi	commons-elm	1.0.69		c7d280b17ae308fed64e441983c6fb7087766264
com.dell.isg.smi	commons-elm	1.0.73		ceec4cdeb4a5b9a6552017a0bbcf32ca5277cbd5
com.dell.isg.smi	commons-elm	1.0.76		3899a7d6ea1099e543d8186ffece5f3b985ffc79
com.dell.isg.smi	commons-elm	1.0.82		68520ba6def39e2ac34247d09a92da643c7449e3
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.02.09		58ddb81d578f953834b7f81e5ed458813b7316db
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.02.10		155005aba6ffc6c7434bf4726a38be05f0892fbb
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.09.22		0b48db926bfa7cc46583bfda20f4fe2d9a1b432b
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.14.24		5f92b97d5e65644c500f29a3abc70930cc064e57
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.22.04		adac5a475a95137e16cfe3c1e7c65a1b3b5037fb
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.22.13		7074e0a9459bd3a3a811d6579855d9d591ce8ac4
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.23.06		fa684c9f052f2f7de29794e88c9016c5e2084c9a
com.disneystreaming.smithy	aws-iottwinmaker-spec	2023.23.30		c7d3ac1a46ca804ab22a7ea1945ff5b783765a1d
com.disneystreaming.smithy	aws-iottwinmaker-spec	2025.03.31		949f0680aff4d1461499bd2ce0f38e8c39285a9c
com.disneystreaming.smithy	aws-iottwinmaker-spec	2025.04.08		87414ff36ffb36dea30c5ba1bb8cad3c76a536c2
com.enioka.jqm	jqm-test-defcon	1.1.6		bf18ad944863278a001302926751bd5cb9eb86a2
com.enioka.jqm	jqm-test-defcon	1.2.1		95200b37ec27fd60f7be5d786c2c6f52aa6ac653
com.enterprisedb	edb-jdbc	42.5.4.2		547027d3bb3e6a1626851ef4186a778337d1395f
com.enterprisedb	edb-jdbc	42.5.4.2	all	547027d3bb3e6a1626851ef4186a778337d1395f
com.enterprisedb	edb-jdbc	42.7.3.1		c91f27febcb813878ff8efc899d021f3d622db22
com.enterprisedb	edb-jdbc	42.7.3.1	all	c91f27febcb813878ff8efc899d021f3d622db22
com.enterprisedb	edb-jdbc	42.7.3.2		4bc37a8227ddb0e09d96dbf3731978eb36a3eecc
com.enterprisedb	edb-jdbc	42.7.3.2	all	4bc37a8227ddb0e09d96dbf3731978eb36a3eecc
com.fsryan.tools	logging-test-iossimulatorarm64	0.4.2		N/A
com.fsryan.tools	logging-test-iossimulatorarm64	0.4.2	metadata	dc4762d7e55049480b75df7b84bd4891cfaf91a9
com.github.adedayo.eclipse.sdk	org.eclipse.swt.win32.win32.x86	3.104.0		7de339ed7c18c75eb4ca3bd8f6161ea2891c0958
com.github.ajalt.colormath	colormath-linuxarm64	3.3.2		N/A
com.github.ajalt.colormath	colormath-linuxarm64	3.3.3		N/A
com.github.ajalt.colormath	colormath-linuxarm64	3.4.0		N/A
com.github.ajalt.colormath	colormath-linuxarm64	3.5.0		N/A
com.github.ajalt.colormath	colormath-linuxarm64	3.6.0		N/A
com.github.ajalt.colormath	colormath-linuxarm64	3.6.1		N/A
com.github.eikek	mpc4s-protocol_2.12	0.1.0		bd8630b860c91c0359c06b66cefdf734ad733bb8
com.github.eikek	mpc4s-protocol_2.12	0.2.0		ea4a1d16503adc6ede1ad8750768f82f467a4c0b
com.github.eikek	mpc4s-protocol_2.12	0.3.0		5cd8af75af7c4141624e838665c74a1de96568a5
com.github.eikek	mpc4s-protocol_2.12	0.3.1		e22bf12b23fa28bc6a8136adc50f6fc0c3e94f1e
com.github.eikek	mpc4s-protocol_2.12	0.3.2		92bae18cb0f717f109538f509f027d3914b5bbe9
com.github.mengzuozhu	db-exchange-mongodb	1.0.1		08bdaa8314dca7dabd013ae3847ca91702b1e750
