at.released.weh	bindings-chicory-jvm	0.1-alpha01		4bbd1536c2c6961fcbcdf85a831789598b7c8fb5
br.com.objectos	io-legacy	0.1.0		c1dbca7dc3a10c5ef60d7934c13410025c1237d1
br.com.objectos	io-legacy	0.2.0		ca3a84035fdded90160ba910a7e729950892d21a
br.com.objectos	io-legacy	0.2.1		71edc57ab16d10931110ab7686ce1b07051ec527
br.com.objectos	io-legacy	0.2.2		3de7b8f7f89f6c3bf238c29a4d01acb5e47edafb
br.com.objectos	io-legacy	0.2.3		4a9406ab9964696a7b25879230bc4c9613e2aa5d
br.com.objectos	io-legacy	0.3.0		dd3fa359bed56525a190caf85c7b241d7f0a395d
br.com.objectos	io-legacy	0.4.0		706588bbd20dd0403834e6e587fde615c46742bf
br.com.objectos	io-legacy	0.5.0		a2d540b6b431007e2bde63d336d958a08e1dfb68
br.com.objectos	io-legacy	0.5.1		97378ce71b579bb5df817409ad0a2c3fade91529
br.com.objectos	io-legacy	0.5.2		84a26771d05fb8f25bbda2390167f4452871e164
br.com.objectos	io-legacy	0.5.3		72d9fb2421df175343cebf2ddfb02161f6129d47
ch.exense.step	step-api-javax-json	1.0.0		c8f4aad72098598fd9462e3fe279fb484207d86f
chat.sdk	firebase-push	5.4.19		N/A
chat.sdk	firebase-push	5.4.20		N/A
chat.sdk	firebase-push	5.4.21		N/A
chat.sdk	firebase-push	5.4.30		N/A
chat.sdk	firebase-push	5.4.32		N/A
chat.sdk	firebase-push	5.4.33		N/A
chat.sdk	firebase-push	5.4.34		N/A
chat.sdk	firebase-push	5.4.36		N/A
chat.sdk	firebase-push	5.4.37		N/A
chat.sdk	firebase-push	5.4.38		N/A
chat.sdk	firebase-push	5.4.39		N/A
chat.sdk	firebase-push	5.4.41		N/A
chat.sdk	firebase-push	5.4.42		N/A
chat.sdk	firebase-push	5.4.43		N/A
chat.sdk	firebase-push	5.5.0		N/A
chat.sdk	firebase-push	5.5.0s		N/A
chat.sdk	firebase-push	5.5.6		N/A
chat.sdk	firebase-push	5.5.9		N/A
chat.sdk	firebase-push	5.6.1		N/A
chat.sdk	firebase-push	5.6.5		N/A
chat.sdk	firebase-push	5.6.6		N/A
chat.sdk	firebase-push	5.6.7		N/A
com.aoapps	ao-dao-book	3.0.0		2e4b1bccd84634030f4bf7b5b528b10bb4e04654
com.aoapps	ao-dao-book	3.0.1		ebb9ce3929b4fcc44da8bea41f8aa0c4a9cd0dd2
com.aoapps	ao-dao-book	3.0.2		e77a4375dd53a107fb2baad8cf3dfb8beca7738f
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha01		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha02		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha03		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha04		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha05		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha06		N/A
com.apollographql.apollo3	apollo-normalized-cache-sqlite-android-debug	3.0.0-alpha07		N/A
