be.vlaanderen.informatievlaanderen.ldes.ldi	ldi-common	2.12.0		a02bc437545900478e925fa9c5ae7eea50cc7376
com.addhen.kanalytics	kanalytics-iossimulatorarm64	1.0.0		N/A
com.addhen.kanalytics	kanalytics-iossimulatorarm64	1.0.0	metadata	2af35bec402ad1fd46d48aab4a0aa625056a407a
com.addhen.kanalytics	kanalytics-iossimulatorarm64	1.1.0		N/A
com.addhen.kanalytics	kanalytics-iossimulatorarm64	1.1.0	metadata	0ba6dac8e181b8c36fbb664a6a222e4f7469b332
com.addhen.kanalytics	kanalytics-iossimulatorarm64	1.2.0		N/A
com.addhen.kanalytics	kanalytics-iossimulatorarm64	1.2.0	metadata	d966bbfed829b6d86e1870c72f9b351a57a23bd4
com.adtsw	jdatalayer	1.0.0		814d06fc3be943ce4be67ab5ded079eb4040669f
com.adtsw	jdatalayer	1.0.0	bin	b52430896f568051b009cec6b89794ea0a5f057f
com.aliyun	xgippop20220520	1.0.0		97fd2b074dbd482a556f710ea0722872763dde03
com.aliyun	xgippop20220520	1.0.0	shaded	51832962501f737368d532fb659c8ce2e260c173
com.aliyun	xgippop20220520	1.0.2		b2e5aee0532f48670c27cbfb404795af72728901
com.aliyun	xgippop20220520	1.0.2	shaded	c46fbb3997d374afb574a3ac6a104c8ef9d7a25b
com.aliyun	xgippop20220520	1.0.3		25b179b48457531bb3c01f7f2a892fef3a7fa83a
com.aliyun	xgippop20220520	1.0.3	shaded	079bfab09b0b35f4e2c639d87471a6a548ae74d1
com.aliyun	xgippop20220520	1.0.5		89dc25e648b32a3f75dc50a8167aeddcfe6a8b80
com.aliyun	xgippop20220520	1.0.5	shaded	fbc3fbd49c7670dd18b52798ec145087fe7fa174
com.aliyun	xgippop20220520	1.0.6		f501184b15cd13fc259019e1c2d17d235e60adff
com.aliyun	xgippop20220520	1.0.6	shaded	1e52c591cab7d16e16a368d93d952e28fe3dc35b
com.aliyun	xgippop20220520	1.0.61		c9d436b3e69529b7371e4075960e303d14b747c8
com.aliyun	xgippop20220520	1.0.61	shaded	5b2156ebed8f7d0717bd84b969bddca566e1bf98
com.aliyun	xgippop20220520	1.0.64		3ca5ca120a1dbb515cec38c29f28a1fdf3fc2f23
com.aliyun	xgippop20220520	1.0.64	shaded	a5827effca1aad5ad3d0484784ac01d853624892
com.aliyun	xgippop20220520	1.0.65		e3716cd2643f96d7d9ab5e47981eec75c5da252f
com.aliyun	xgippop20220520	1.0.65	shaded	7a57f0c382a815445080677f865eefd857445aca
com.aliyun	xgippop20220520	1.0.66		e4cc41af8d4992f54b776c7e6f565bf299c1b076
com.aliyun	xgippop20220520	1.0.66	shaded	5fa2b9462a13c6610a466d384440b5b8c50c2c0d
com.aliyun	xgippop20220520	1.0.67		10ccdf5a270fcf38116e8b849e76be5cd5b277fa
com.aliyun	xgippop20220520	1.0.67	shaded	d04a104f1f251fd52c228094253189010b673d47
com.aliyun	xgippop20220520	1.0.68		5b1ef6d159345105be9758226f437ed621d2a80e
com.aliyun	xgippop20220520	1.0.68	shaded	828b7d8c21208d88f54c63ce8d6f8942bfbae726
com.aliyun	xgippop20220520	1.0.70		2e1f65400d4e1a829f41366ed47d9987f9156419
com.aliyun	xgippop20220520	1.0.70	shaded	7a9ab319feb9404fefa178549fe8a49acbae57fb
com.aliyun	xgippop20220520	1.0.72		5d7d01bda2a5da8e4357a67e2d9e613b267db74d
com.aliyun	xgippop20220520	1.0.72	shaded	2de3ad1240c1a7ab8dad1b6050c4f4cdd6a59e99
com.amilesend	tvmaze-java-client	1.0.0		42e888d14f752b0586efa86f89083d3a6a215507
com.amilesend	tvmaze-java-client	1.0.1		fc423e8de9a3aeee937a8ad4598dbc93c90b27ec
com.amilesend	tvmaze-java-client	1.1.0		803f3bef82c72e001f03b515626e176511d4687f
com.amilesend	tvmaze-java-client	1.1.1		51613ce63f61513d02703d8104677723715458c8
com.amilesend	tvmaze-java-client	1.1.2		cd55912038324a2b161f4a7a6d817704d90da95d
com.amilesend	tvmaze-java-client	1.1.3		ff3b1751452a248c59d04c1a7c9bc513b9124d4e
com.amilesend	tvmaze-java-client	1.1.4		ac2587e94b6177729828f72814be4088cf45c9ab
com.amilesend	tvmaze-java-client	1.1.5		d0f4c8be22077f54c031b7c60ada21d5d6dc1ab3
com.amilesend	tvmaze-java-client	1.1.6		37bc3043a94903694f96d31512b3df5c8de822c1
com.amilesend	tvmaze-java-client	1.1.7		3a425be709d0b9b1b29bd1bdf5a3f043c394796c
com.bingzer.android.driven	driven	1.0.0		N/A
