ai.redpen.capture.sdk	android-debug	1.0.15		N/A
ai.tock	tock-nlp-model-shared	19.9.0		87316045418d898a963d3bc0de1551daedea54b4
ai.tock	tock-nlp-model-shared	19.9.1		7c22f85b62ff81c46e3a4d8aede2b26c88e49e18
ai.tock	tock-nlp-model-shared	19.9.2		0576210c03998c30575ae08aef6cdc669e47d7c7
ai.tock	tock-nlp-model-shared	19.9.3		93e85f08a20520ad47d193b44efa8e4d801b6e82
ai.tock	tock-nlp-model-shared	19.9.4		aef4024b843e1376cce3f5b5e360f7de480ab3ee
ai.tock	tock-nlp-model-shared	20.3.0		90c23418ef134d924827a7262b99325fbb50de81
ai.tock	tock-nlp-model-shared	20.3.1		08f30de84e61623d79d69e9958010f87620f7cf7
ai.tock	tock-nlp-model-shared	20.3.2		a22d91247db486638bc192382d02d4a529949802
ai.tock	tock-nlp-model-shared	20.3.2-1		9c1a8d06250a1c345cf9d5bbbb0ea1321174355c
ai.tock	tock-nlp-model-shared	20.3.2-2		2d1847ff73c587994feb8d8498b67b6a2babf19d
ai.tock	tock-nlp-model-shared	20.3.3		b6bf3295f1d5c36f19dafdd264ce43055fca913a
ai.tock	tock-nlp-model-shared	20.3.4		c8fd4eb11f4c1b238c9ff09528083627b80b0d81
ai.tock	tock-nlp-model-shared	20.9.0		069b1d5a040c00a00c235216f496a3b13bc77a11
ai.tock	tock-nlp-model-shared	20.9.1		12dfe03a0f5ae0d578e9fc2c168422005fb41478
ai.tock	tock-nlp-model-shared	20.9.2		f2576c919b29e959ee250d936ff44facf2a04978
ai.tock	tock-nlp-model-shared	20.9.2-1		b4b8b19d19f361b53e092a0571828c9bab067825
ai.tock	tock-nlp-model-shared	20.9.3		7f6b6b91f095d99406ac78d0ebf71e8d7d0b0f30
ai.tock	tock-nlp-model-shared	21.3.0		5247d9ceb14db29f832b6d0a2f9ad7c5e2f0cd4d
ai.tock	tock-nlp-model-shared	21.3.1		2cb2775f695e773f3d092f1187fb1f82917a7d1d
ai.tock	tock-nlp-model-shared	21.3.2		777c9881e1105ac497026f28afe002735153c9df
ai.tock	tock-nlp-model-shared	21.3.3		f5eeed260804dd63a1f7dad42b64f1e0f5581ebc
ai.tock	tock-nlp-model-shared	21.3.4		263704999c4f3f7243bfc373b9ff8a659815b30e
ai.tock	tock-nlp-model-shared	21.3.5		3a4e9c8fabc3417116e07f00d7d7f3751a53096e
ai.tock	tock-nlp-model-shared	21.9.0		110b315fc0a1ad776b1f84cda89c318008756410
ai.tock	tock-nlp-model-shared	21.9.1		bdbfff7906293a6782194643e8574fe0ca056b53
ai.tock	tock-nlp-model-shared	21.9.2		1bb8efb4d7319836f606ec3d34be3d20036a9e8b
ai.tock	tock-nlp-model-shared	21.9.3		79b1c2b321ffc0d090f84fa8f1e7aa7aeda8b5c8
ai.tock	tock-nlp-model-shared	21.9.4		7ce534e7921b1c34f87ff620e16ae09402fcbe92
