au.id.tmm.probability	probability-shared_2.13	0.1.0		88db83a7cc4a1379609dad298f255713b555f08e
br.com.logiquesistemas	easy-spark	1.0.0		b26f178237386fd4f0ce7cbc71e1cc77ec1932a4
cc.duduhuo	search-view	1.1.6		N/A
ch.puzzle	libpuzzle-spring-boot-rest	0.1.0-RC1		0cc267debb34be757ecacac58d0afb486b915e72
ch.puzzle	libpuzzle-spring-boot-rest	0.1.0-RC3		1bf8f0a1aae628857cd0ff851097db31a7d2ba98
cn.sliew	carp-redisson-example	0.0.12		5cca174ed0bd33af99baa485665d207e72518f2f
cn.sliew	carp-redisson-example	0.0.13		8d4fb6c0419564c7bcdca399558d6b6486ce1468
cn.sliew	carp-redisson-example	0.0.14		b121f20c79679744c72e89854d044a8ef630db69
com.admc	xcsde-rngval	0.1.0		628f7285d79c0cb1dcbb93ce32d657524722d21b
com.amysta.jclouds.provider	rackspace-cloudfiles-us	2.0.0		79a7b89e266ec3937cf7a83598e694be96bd9340
com.amysta.jclouds.provider	rackspace-cloudfiles-us	2.0.1		6ba8a1f337570ff4f33c007dc0f978ebc2439e25
com.antgroup.antchain.openapi	openapi-antverse	1.0.0		b9288771fe92d2f21461025eee6d858637036af5
com.antgroup.antchain.openapi	openapi-antverse	1.0.3		c8287a52667631051dcbf623cc53835c38ef75d9
com.antgroup.antchain.openapi	openapi-antverse	1.0.5		e008607432e64641444d71e3b35acd9682053fc2
com.antgroup.antchain.openapi	openapi-antverse	1.0.6		519657065fab804b8e62dabb749fc31e8ddc7a59
com.antgroup.antchain.openapi	openapi-antverse	1.0.7		62480996923f9d307e603cbdf07b4acb49c60a43
com.antgroup.antchain.openapi	openapi-antverse	1.0.9		f141077b5ae8ee3adb6eafe0fac855ecd8cf9f05
com.anymindgroup	sbt-skunk-codegen_2.12_1.0	0.0.1-test		5aad7cd0c6fec6d290ccf23f08a008865b6e0981
com.anymindgroup	sbt-skunk-codegen_2.12_1.0	0.1.11		9372e77be924fa8619a28f9a698dd10c9f2ff485
com.anymindgroup	sbt-skunk-codegen_2.12_1.0	0.1.12		4247c993f78268921889729b31ddf51f42637bd6
com.anymindgroup	sbt-skunk-codegen_2.12_1.0	0.1.13		3157236b7bd4abfcbc8a159e4e5ff79eda52601e
com.backendless	android-client-sdk	7.0.0		N/A
com.backendless	android-client-sdk	7.0.0-RC1		N/A
com.backendless	android-client-sdk	7.0.0-RC2		N/A
com.backendless	android-client-sdk	7.0.0-RC3		N/A
com.backendless	android-client-sdk	7.0.1		N/A
com.backendless	android-client-sdk	7.0.2		N/A
com.backendless	android-client-sdk	7.0.3		N/A
com.backendless	android-client-sdk	7.0.4		N/A
com.backendless	android-client-sdk	7.0.5		N/A
com.backendless	android-client-sdk	7.0.6		N/A
com.backendless	android-client-sdk	7.0.7		N/A
com.backendless	android-client-sdk	7.0.8		N/A
com.backendless	android-client-sdk	7.0.9		N/A
com.backendless	android-client-sdk	8.0.0-RC1		N/A
com.brienwheeler.lib	lib-security	1.0-RELEASE		a8d679c4202ce4e05433dee299aedfd1cc904d29
com.brienwheeler.lib	lib-security	1.01-RELEASE		af114e7e105a7448f330a8a115bc3f63917f1181
com.brienwheeler.lib	lib-security	1.02-RELEASE		6a4398ec5e548f673dbf905928aa451410fa8682
com.brienwheeler.lib	lib-security	1.03-RELEASE		610d36f58b1be6cabf5e6827ba8209ddac47ed88
com.brienwheeler.lib	lib-security	1.05-RELEASE		32069ef7eae49bd7817e82eab22eec82d7b66f31
com.brienwheeler.lib	lib-security	1.06-RELEASE		c0f0da28421f45806bceae13e7def2bce12f2476
com.brienwheeler.lib	lib-security	1.07		fafbd6e538e71b8d31f88066ea159dcfbb24b4ae
com.brienwheeler.lib	lib-security	1.07-RELEASE		452b861281c079c30516dbca639a6fdbf4979269
com.brienwheeler.lib	lib-security	1.08		424e0c75363b0ccfec103387b65bd3e5a5d8b2f7
com.brienwheeler.lib	lib-security	1.09		58ccb183a6821c27fb8bf3d3a43d44d9da50b4e0
com.brienwheeler.lib	lib-security	1.10		13095e69711680b01734d9240df1a61e32c203fa
com.brienwheeler.lib	lib-security	1.11		2d7ae68692a1e5a84b81cbf93470167e20a78916
com.confirmit.mobilesdk	mobilesdk	3.0.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.0.0-alpha.2		N/A
com.confirmit.mobilesdk	mobilesdk	3.0.0-alpha.3		N/A
com.confirmit.mobilesdk	mobilesdk	3.1.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.1.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.1.2		N/A
com.confirmit.mobilesdk	mobilesdk	3.10.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.10.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.11.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.12.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.13.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.2.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.3.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.3.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.4.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.4.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.4.2		N/A
com.confirmit.mobilesdk	mobilesdk	3.5.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.6.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.6.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.7.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.7.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.8.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.8.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.9.0		N/A
com.confirmit.mobilesdk	mobilesdk	3.9.1		N/A
com.confirmit.mobilesdk	mobilesdk	3.9.2		N/A
com.facebook.fresco	imagepipeline-base	0.10.0		N/A
com.facebook.fresco	imagepipeline-base	0.11.0		N/A
com.facebook.fresco	imagepipeline-base	0.12.0		N/A
com.facebook.fresco	imagepipeline-base	0.13.0		N/A
com.facebook.fresco	imagepipeline-base	0.14.0		N/A
com.facebook.fresco	imagepipeline-base	0.14.1		N/A
com.facebook.fresco	imagepipeline-base	0.9.0		N/A
com.facebook.fresco	imagepipeline-base	1.0		N/A
com.facebook.fresco	imagepipeline-base	1.0.0		N/A
com.facebook.fresco	imagepipeline-base	1.0.1		N/A
com.facebook.fresco	imagepipeline-base	1.1.0		N/A
com.facebook.fresco	imagepipeline-base	1.10.0		N/A
com.facebook.fresco	imagepipeline-base	1.11.0		N/A
com.facebook.fresco	imagepipeline-base	1.12.0		N/A
com.facebook.fresco	imagepipeline-base	1.12.1		N/A
com.facebook.fresco	imagepipeline-base	1.13.0		N/A
com.facebook.fresco	imagepipeline-base	1.14.0		N/A
com.facebook.fresco	imagepipeline-base	1.14.1		N/A
com.facebook.fresco	imagepipeline-base	1.14.2		N/A
com.facebook.fresco	imagepipeline-base	1.2.0		N/A
com.facebook.fresco	imagepipeline-base	1.3.0		N/A
com.facebook.fresco	imagepipeline-base	1.4.0		N/A
com.facebook.fresco	imagepipeline-base	1.5.0		N/A
com.facebook.fresco	imagepipeline-base	1.7.0		N/A
com.facebook.fresco	imagepipeline-base	1.7.1		N/A
com.facebook.fresco	imagepipeline-base	1.8.0		N/A
com.facebook.fresco	imagepipeline-base	1.8.1		N/A
com.facebook.fresco	imagepipeline-base	1.9.0		N/A
com.facebook.fresco	imagepipeline-base	2.0.0		N/A
com.facebook.fresco	imagepipeline-base	2.1.0		N/A
com.facebook.fresco	imagepipeline-base	2.2.0		N/A
com.facebook.fresco	imagepipeline-base	2.3.0		N/A
com.facebook.fresco	imagepipeline-base	2.5.0		N/A
com.facebook.fresco	imagepipeline-base	2.6.0		N/A
com.facebook.fresco	imagepipeline-base	3.0.0		N/A
com.facebook.fresco	imagepipeline-base	3.1.0		N/A
com.facebook.fresco	imagepipeline-base	3.1.1		N/A
com.facebook.fresco	imagepipeline-base	3.1.2		N/A
com.facebook.fresco	imagepipeline-base	3.1.3		N/A
com.facebook.fresco	imagepipeline-base	3.2.0		N/A
com.facebook.fresco	imagepipeline-base	3.3.0		N/A
com.facebook.fresco	imagepipeline-base	3.4.0		N/A
com.facebook.fresco	imagepipeline-base	3.5.0		N/A
com.facebook.fresco	imagepipeline-base	3.6.0		N/A
com.feingto.cloud	iot-hub-common	2020.0.3		00e837445c3765ed37a08b99bb1cf0f528f522e2
com.feingto.cloud	iot-hub-common	2020.0.3.1		75ac5342295aac97971c3aba54c880701c39d4ff
com.feingto.cloud	iot-hub-common	2020.0.3.2		cc5e678382115f0b76b2aea53dad2681c7c6ea3b
com.feingto.cloud	iot-hub-common	2022.0.1		a45fa2a440971376041763166ae9669bb01393bc
com.fizzed	tokyocabinet-linux-armel	0.0.14		36f10fbd87985bed44e771e430f9c0689503f993
