ch.admin.bit.jeap.messagetype.jeap	reactions-observed-event	1.0.0		d6c9c1106457ace37543332ee17afa65b20f1b84
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.0		4ba04352b37fc5428311fb5df893f0f56192a736
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.1		626eb289b02ad789990f97c64f0dc8588dad6d69
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.10		5ee0e03d73b22a28dee8fbed922a654b0c9b9cd3
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.11		4fd5e4baae48f95fd82b06c554a68ed382a61de6
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.12		9d4be6235eb7e18a2b03236f03b7daf80217969c
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.13		6d163a1a2a2b7654fac68d6490736618265dd729
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.2		db77827295ff978aceebd194324007d476be315c
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.3		b10a6092f945e8e8b02209d32c536e7979c908e7
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.4		2c0a2ac31c84ff1409d0218291079fd28b2f6f1c
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.5		2bb97a54ac09b7708ed9f76610f15d0cd9db03fd
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.6		b6ea9f213ade6f63bda527c1c3bbdd1fcf565b27
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.7		0692ab4930c29a0a6922d442e16de8da551f4762
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.8		abd891285c1b3a4289bb00d603a93806f405d654
com.arcadeanalytics	arcade-connectors-orientdb2	1.0.9		845ab3cc9a860d1e6eca97e96685f2f4ebcbce5a
com.blue-veery	spring-rest2ts-spring	1.2.0		b9136d1a3d0b44e6e65be7504e24e859ccae772a
com.blue-veery	spring-rest2ts-spring	1.2.1		f287f1f599b48fc98a889f67d6023c02ea4fc0b8
com.blue-veery	spring-rest2ts-spring	1.2.2		2e3c59fa4652906cacf04f115f5540d2a59f9c0e
com.blue-veery	spring-rest2ts-spring	1.2.4		5866556846477246697f74f1667c7406bc6cb619
com.blue-veery	spring-rest2ts-spring	1.2.5		cf19dd1bc5651056059649b35188657a4c2ba1c5
com.blue-veery	spring-rest2ts-spring	1.2.6		7f32d204fe8061fef006324591c6883b9e8ebf6a
com.blue-veery	spring-rest2ts-spring	1.2.7		99eb13322db93fdd967539e508758684157832cd
com.blue-veery	spring-rest2ts-spring	1.3.0		bc95072404527d9899cc43bcbe5463b2ceb9fcb2
com.blue-veery	spring-rest2ts-spring	1.4.0		434e54d6637dfaf52ab29cf736f83dbd097ab3e7
com.blue-veery	spring-rest2ts-spring	1.5.0		5e6a58b0c2d7368c563acfbbc7f0f56a1acd945f
com.blue-veery	spring-rest2ts-spring	1.5.1		5aefa77c00b8806ff860ed55dc7cf2cfeebaa3eb
com.bytedanceapi	ttsdk-live_lite	1.11.0.17		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.0.18		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.0.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.0.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.1.1		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.3.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.5.0		N/A
com.bytedanceapi	ttsdk-live_lite	1.11.5.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.12.0.10		N/A
com.bytedanceapi	ttsdk-live_lite	1.12.0.11		N/A
com.bytedanceapi	ttsdk-live_lite	1.12.0.16		N/A
com.bytedanceapi	ttsdk-live_lite	1.12.0.9		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.0.15		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.0.18		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.1.1		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.1.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.1.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.3.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.13.3.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.14.0.6		N/A
com.bytedanceapi	ttsdk-live_lite	1.15.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.16.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.16.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.16.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.17.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.17.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.17.2.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.17.5.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.18.1.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.18.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.18.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.1.100		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.1.1005		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.1.1101		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.1.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.2.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.19.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.20.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.20.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.1101		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.1103		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2502		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2503		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2505		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2506		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2507		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2508		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2509		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.2510		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.21.2.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.22.1.24		N/A
com.bytedanceapi	ttsdk-live_lite	1.22.1.25		N/A
com.bytedanceapi	ttsdk-live_lite	1.22.1.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.22.1.30		N/A
com.bytedanceapi	ttsdk-live_lite	1.23.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.23.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.23.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.24.1.102		N/A
com.bytedanceapi	ttsdk-live_lite	1.24.1.6		N/A
com.bytedanceapi	ttsdk-live_lite	1.24.2.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.25.1.9		N/A
com.bytedanceapi	ttsdk-live_lite	1.25.100.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.25.2.101		N/A
com.bytedanceapi	ttsdk-live_lite	1.25.2.106		N/A
com.bytedanceapi	ttsdk-live_lite	1.25.2.2602		N/A
com.bytedanceapi	ttsdk-live_lite	1.25.2.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.26.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.26.100.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.26.100.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.26.2.2701		N/A
com.bytedanceapi	ttsdk-live_lite	1.26.2.7		N/A
com.bytedanceapi	ttsdk-live_lite	1.27.1.12		N/A
com.bytedanceapi	ttsdk-live_lite	1.27.1.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.27.1.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.27.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.27.2.105.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.28.1.12		N/A
com.bytedanceapi	ttsdk-live_lite	1.28.1.8		N/A
com.bytedanceapi	ttsdk-live_lite	1.29.1.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.29.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.29.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.29.1.7		N/A
com.bytedanceapi	ttsdk-live_lite	1.29.100.1		N/A
com.bytedanceapi	ttsdk-live_lite	1.29.2.3		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.1.100		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.1.102		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.1.6		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.2.7		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.2.8		N/A
com.bytedanceapi	ttsdk-live_lite	1.30.2.9		N/A
com.bytedanceapi	ttsdk-live_lite	1.31.1.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.31.2.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.31.2.20		N/A
com.bytedanceapi	ttsdk-live_lite	1.31.2.35.uploadv2		N/A
com.bytedanceapi	ttsdk-live_lite	1.31.2.7		N/A
com.bytedanceapi	ttsdk-live_lite	1.32.1.5		N/A
com.bytedanceapi	ttsdk-live_lite	1.32.100.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.32.2.101.onekit		N/A
com.bytedanceapi	ttsdk-live_lite	1.32.2.2		N/A
com.bytedanceapi	ttsdk-live_lite	1.33.1.4		N/A
com.bytedanceapi	ttsdk-live_lite	1.33.2.101.onekit		N/A
