br.com.devsrsouza.compose.icons	erikflowers-weather-icons-wasm-js	1.1.1		N/A
cn.iosd	simple-starter-freemarker	2022.1.0.0		68734b0711a268f0f4bf42334279d08a3111d857
cn.iosd	simple-starter-freemarker	2022.1.1.0		5f3523ef5e0be4dccc523c27dd169d722334e3e5
cn.iosd	simple-starter-freemarker	2022.1.2.0		27075d4899e0293badcf0604a34a66cdc1ed15d1
cn.iosd	simple-starter-freemarker	2022.2.0.0		8fe57a00b804171c637d993a5ef29d573beef663
cn.iosd	simple-starter-freemarker	2022.3.2.0		757dc188d971d80cdaca6ea40891b0c6c5f9884d
cn.iosd	simple-starter-freemarker	2022.3.3.0		9e71b9aa691815a8c89799a825613e6f4fda7e10
cn.iosd	simple-starter-freemarker	2022.3.4.0		b50d6130158ef3f256742c8b9fc54b9a2a876b44
cn.iosd	simple-starter-freemarker	2022.3.5.0		7dc6bf41d6c99d6862a6530dcb3be0d1a4728a1c
cn.iosd	simple-starter-freemarker	2022.3.5.1		d2d312d61a53e611419ea901774a2f4c35da0f2f
cn.iosd	simple-starter-freemarker	2022.3.5.2		815fc68f86b68f7753a56127a558a24dd0e711f6
cn.iosd	simple-starter-freemarker	2022.4.0.0		5e7342fc6a2ad05cc558e5ce8fcb3cd7fb2fd432
cn.iosd	simple-starter-freemarker	2022.4.1.0		9a556e960e10197f1918a71e217f103c2d199515
cn.iosd	simple-starter-freemarker	2022.5.0.0		016cde8da589a12a836215a1bd100904a1eca005
cn.iosd	simple-starter-freemarker	2023.1.0.0		2e819274d4a917d237fd0f286a59027ae038a33e
cn.iosd	simple-starter-freemarker	2023.2.0.0		4ee69aa79689e01140b7d67b45b3c799a47110f0
cn.iosd	simple-starter-freemarker	2023.2.1.0		64ada999203734f361f9f819ed0dd6e25ce14ab5
cn.iosd	simple-starter-freemarker	2023.2.2.0		f949bc1903cceba003232867faeb062d7dd22e0e
cn.iosd	simple-starter-freemarker	2023.2.2.1		a1d7bc9519c955495c89c7f5e242736bae464bbd
cn.iosd	simple-starter-freemarker	2023.2.3.0		0e8c26ea7fefd08ee8986845013e4b70fa0d09aa
cn.iosd	simple-starter-freemarker	2023.2.3.1		69bea5adc67e60b2a479a4c18cb1be98120a0cdf
cn.iosd	simple-starter-freemarker	2023.3.0.0		99132f6fefe14f8112440b9adb0585ce96eab07f
cn.iosd	simple-starter-freemarker	2023.3.1.0		e7a8a0e93bf2fa2e9eeffa98a0c9f83b20b6bb52
cn.iosd	simple-starter-freemarker	2023.3.2.1		411f692903d7afa1c6aa8670a25cc6353080f357
cn.iosd	simple-starter-freemarker	2023.3.3.0		40a2f4206cfde7322a50f66c144cf01bd00fd611
cn.iosd	simple-starter-freemarker	2023.3.4.0		7026c88194ace029d9c78a8a3d85807e040e9c6a
cn.iosd	simple-starter-freemarker	2023.3.5.0		f7f5919eda16ed2d1851c3bc65c97653e1b90f4d
cn.iosd	simple-starter-freemarker	2023.3.5.1		9bbe06936d0090609059b91c6b1cfe117f765fc7
cn.iosd	simple-starter-freemarker	2023.3.5.2		959a7d725796afef725c972903a9b6b263c4b719
cn.iosd	simple-starter-freemarker	2023.4.0.0		ee3c01847c6712cb7b9c6cf855c08c4538daf559
cn.iosd	simple-starter-freemarker	2023.4.1.0		627b82e18f66e9842d50d0b3c085600eebd0ac5e
cn.iosd	simple-starter-freemarker	2023.5.0.0		aaf3dbf99122376944ed5f4b63cc52c0d5db10df
cn.iosd	simple-starter-freemarker	2023.5.1.0		dbbc4a804417560b053242767dcc47bd9e3b67c8
cn.iosd	simple-starter-freemarker	2023.5.2.0		8de8327c9dd99cf00b0233611ec99a8ff0260dc1
cn.iosd	simple-starter-freemarker	2024.1.0.0		5d8a9809e8a0060014efb8960ebe686a53e88bc9
cn.iosd	simple-starter-freemarker	2024.1.1.0		cc84d2d7a4ebdfb4f2c68f1a2725eafdf6881ab9
cn.iosd	simple-starter-freemarker	2024.1.1.1		62ac37244a9744c4e624f29c462cbdb6e52f57ef
cn.iosd	simple-starter-freemarker	2024.1.2.0		4b04d3f5f9980684354156bf1a2dacaf4e0602c8
cn.iosd	simple-starter-freemarker	2024.1.3.0		5628859c4afbdf04c32c14b48433c94700bb3ca0
cn.iosd	simple-starter-freemarker	2024.2.0.0		e25b5ef46bd4694b0ca7a908f50817e2fdbe6988
com.a9ski.brooklyn	apache-brooklyn-ldap-provider	1.0.0		711394a09602b514365f5c411553869c29f688e9
com.anthonycr.mockingbird	core	0.0.1		b2a841d3c90c27367500edb049658f3ca6268c7b
com.anthonycr.mockingbird	core	0.0.2		c170debed4a0f16d00178c14b54334f8b7e887e1
com.anthonycr.mockingbird	core	0.0.3		ecaf060a916828e08f812b8ce9324ef7e1bbd2e2
com.anthonycr.mockingbird	core	0.0.4		a32afc70f3922e4115c77d0a52c4b6192430711f
com.anthonycr.mockingbird	core	0.0.5		e2da63aa6ecd518a47f0353a7de6ce369f3bee79
com.anthonycr.mockingbird	core	0.0.6		67c43e4dab28d4ae50b69e37fdf035935e057e00
com.anthonycr.mockingbird	core	1.0.0		205d046e28d4e409e95a16ca3ce708e90a4265fe
com.anthonycr.mockingbird	core	1.1.0		3f66cebcffdee68b287a9a049efadb5d18b83cca
com.anthonycr.mockingbird	core	1.2.0		704a3b4366b30f5930b157e451973a3c6c40ce40
com.anthonycr.mockingbird	core	1.3.0		b94fe605ea8ff0f68f3feab065ae0b7d67860964
com.anthonycr.mockingbird	core	1.3.1		b94fe605ea8ff0f68f3feab065ae0b7d67860964
com.anthonycr.mockingbird	core	1.4.0		b94fe605ea8ff0f68f3feab065ae0b7d67860964
