app.tulz	tuplez-full-light_3.0.0-RC3	0.3.6		e7c2528170335c8586ecf1cadcf8c41be682b2bc
aws.sdk.kotlin	supplychain	1.0.34		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.35		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.36		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.37		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.38		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.39		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.40		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.41		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.42		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.43		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.44		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.45		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.46		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.47		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.48		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.49		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.50		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.51		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.52		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.53		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.54		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.55		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.56		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.57		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.58		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.59		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.60		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.61		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.62		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.63		a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	supplychain	1.0.64		a4f3606ab94d4513ab9375bc390cd84d5c65af32
