be.yildiz-games	feature-mission-server	1.0.0		1d2a4eb679f462248d56b371bf59cfc7b9647438
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-performance-jdbc-archetype	3.0.0.RELEASE		21562d3ce410b31ffce7738bccede726bcbc900d
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-performance-jdbc-archetype	3.0.1.RELEASE		87523ec85072c6e4039d96f95e33bbea51d5d7e1
cloud.altemista.fwk.archetype	cloud-altemistafwk-app-performance-jdbc-archetype	3.1.0.RELEASE		5027a947c6dc149cd5f57da4756d17aa59d136e6
cn.brk2outside	json	0.0.1		f831982caf9737bbcbcaa9c89aa8bd2940ed73c2
cn.brk2outside	json	0.1.4-release		1b6111857fdf2240af3b9c99d3d816c451b70b6b
cn.brk2outside	json	0.1.5-release		442816ef36a3e1abc14ab6a8d59d8452ee2f0a39
cn.brk2outside	json	1.0.2-jdk17-release		8e1f20b83592f7173ecea9d2cd3225d49253bada
cn.brk2outside	json	1.0.3-jdk17-prerelease		f902c86c72b57d2e74750a6e46e4851a9d4932ec
cn.brk2outside	json	1.0.3.1-jdk17-release		ce5b68d190fe8f4da806aaa90cb30dc261d8ba77
cn.brk2outside	json	1.0.3.5-jdk17-release		7503409a9141b64955e62451ba02d813142a6b50
com.acxiom	metalus	1.5.0		N/A
com.acxiom	metalus	1.6.0		N/A
com.acxiom	metalus	1.6.1		N/A
com.acxiom	metalus	1.6.2		N/A
com.acxiom	metalus	1.6.3		N/A
com.acxiom	metalus	1.6.4		N/A
com.acxiom	metalus	1.6.5		N/A
com.acxiom	metalus	1.6.6		N/A
com.acxiom	metalus	1.7.0		N/A
com.acxiom	metalus	1.7.1		N/A
com.acxiom	metalus	1.7.2		N/A
com.acxiom	metalus	1.8.0		N/A
com.acxiom	metalus	1.8.1		N/A
com.acxiom	metalus	1.8.2		N/A
com.acxiom	metalus	1.8.3		N/A
com.acxiom	metalus	1.8.4		N/A
com.acxiom	metalus	1.8.5		N/A
com.acxiom	metalus	1.8.6		N/A
com.acxiom	metalus	1.8.7		N/A
com.acxiom	metalus	1.9.0		N/A
com.acxiom	metalus	1.9.1		N/A
com.acxiom	metalus	1.9.10		N/A
com.acxiom	metalus	1.9.12		N/A
com.acxiom	metalus	1.9.2		N/A
com.acxiom	metalus	1.9.3		N/A
com.acxiom	metalus	1.9.4		N/A
com.acxiom	metalus	1.9.5		N/A
com.acxiom	metalus	1.9.6		N/A
com.acxiom	metalus	1.9.7		N/A
com.acxiom	metalus	1.9.8		N/A
com.acxiom	metalus	1.9.9		N/A
com.applitools	eyes-connectivity-java-jersey1_17-sf2_53_1	2.52		9cc674567076f2c40273f87b5f966a7b27c81e60
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.1.0		bb14da1ef9adb8814badfb3247a616ae7e2d14fb
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.1.0	library	ba38708f08c2287f8522755bde1d445a109ea3a2
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.0		ab5cfddf4030a9a60522327552252aaf586b320d
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.0	library	55bb06a37b04113185e60c64110bb4798ae9a7ee
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.1		b543296f0413dfa716e272054a773f2063a11ddd
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.1	library	97677e7a4d8a159358e7fa831d9fe16cc3620d17
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.2		d97bbb303c50f3fb2307308ee67fdb9c3de895a5
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.2	library	32ec10020d7014eee1f645e2c647c993378b1f0a
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.3		c2e03f66bee648afdde30e70c31b1fccc496efd2
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.10.3	library	68e9287f78899bb4ab676de43dad014f4437be4d
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.11.0		ced0a0d962edfe738e84d394a72fd41cbfff59e4
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.11.0	library	4548907c5f29d89ee8312beed647724918c6eb71
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.11.1		d62794621d8a86f176403d7077081fab901cc6ae
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.11.1	library	d9d466b84c8c6aeede6f008fb6c3558751d53366
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.11.2		18a9ca43e8a2396599b5cd09ffa624fe0ca72ad5
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.11.2	library	86c79240b68b6059945d1b194757482089595969
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.2.0		e252f79e337eacb2d1da5257f2141970500510db
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.2.0	library	0ac21966239ec6449ae0caa928256d30da1a1e11
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.3.0		30712ba0bec44b67050d97f8a27fc964c3b33b2e
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.3.0	library	bf91b1056531e9b586b665bea8399e0e6a21aac0
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.4.0		ba0d53d5c2d7c0c722f18035d2744cdae23f268e
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.4.0	library	de5742758bece005bcb6d78cec66412713e2bfba
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.5.0		1940dc711a8cf66ceca61ff0dbd1cc44915c2216
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.5.0	library	232ba60b6919ea1f6dd42a1fc1b096a7ed65dd19
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.6.0		ddd82e60e0e7560c4278777d15d5d44425610111
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.6.0	library	b9f9a875f9dbe4bdd153833db9abcc3166519284
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.7.0		696d8e619f3d63aa9faa17d63bfd1d2f938718ed
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.7.0	library	51e91fc552bf980abb30fb8206284ffbe711cf7c
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.8.0		9cd66fe1bda88e208ec298138cd6e68e4d85881a
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.8.0	library	f066a015b14715e5bfafd98c6e55df3de924f818
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.9.0		40e1a753e33e81176b3fd4c5d757c9ae8960743d
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.9.0	library	6cfea18782c92f9161c1187618980dcd356107bb
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.9.1		833db512a5a5ef79e97a5810c0cc6b6bf255e580
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.9.1	library	a3f64f305413207daed2a931a468e6047407bc74
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.9.2		5fc45e31dc7ebb2ac05d1b8dd221c5bed62aefb7
com.badlogicgames.gdxpay	gdx-pay-android-openiab	0.9.2	library	1746ededddc07853dd1dd9fba2a6a2dac8d810a0
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-alpha04		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-beta01		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2017		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2030		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2036		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2037		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2047		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2072		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2087		N/A
com.composevisualeditor.apoloapps	squircle-shape-android	1.8.0-dev2096		N/A
