ai.suppa	suppa-android	0.0.1		N/A
cn.javabird	framework-core	1.0.0.MIN		e8da03749b9ee8eedace24c46c664d043cb17ad8
cn.javabird	framework-core	1.0.1.MIN		2817f9103e63018630406e33ec02583cda6f0a32
cn.minsin	mutils-wechat-app	0.0.1.RELEASE		3a09ac0a1db8cbfc8d5236d8e957d520a69f3daf
cn.minsin	mutils-wechat-app	0.0.2.RELEASE		ad02173bd452e38811b2252fb14f438055e58ec3
cn.minsin	mutils-wechat-app	0.0.3.RELEASE		31b7bef740cbe82c7b0e4b96772714d97e3db442
cn.minsin	mutils-wechat-app	0.0.4.RELEASE		4cdc98e9b0dfa46196883dcb27ec0e5c463f9b38
cn.minsin	mutils-wechat-app	0.0.5.RELEASE		89d9c4d1a97df17c9d16f2e24eed1bd43e90b822
cn.minsin	mutils-wechat-app	0.0.6.RELEASE		640f818bca1f9b33c2bf08759e155924234aa35d
cn.minsin	mutils-wechat-app	0.0.7.RELEASE		aa5666852201643416b84cb7311121db4f27b9b9
cn.minsin	mutils-wechat-app	0.0.8.RELEASE		c2de8e78d1b3f2be7153be8972a82159b08c9002
cn.minsin	mutils-wechat-app	0.0.9.RELEASE		ee8adbbffc41753fa21ee12a70752aa429073dd3
cn.minsin	mutils-wechat-app	0.1.0.RELEASE		1276df614a7afcb855d0ce4f1fb41a5e07fe524d
cn.minsin	mutils-wechat-app	0.1.2.RELEASE		82c7c90fc90d54e5af7edf4864618c62aa571650
cn.minsin	mutils-wechat-app	0.1.4.RELEASE		12e56e873f38456a67b77ca2825b5a049592e108
cn.minsin	mutils-wechat-app	0.1.5.RELEASE		061e94cf9ed3a59e52b94000b08c8cd5e2ae5595
cn.minsin	mutils-wechat-app	0.2.0		d923338d18599ca631719ef76d3284ee113135a9
cn.minsin	mutils-wechat-app	0.2.1		c16d7810b880958b7a13350a12ee415a8e0fceeb
cn.minsin	mutils-wechat-app	0.2.2		005cb74b8ad4c3fa2b960166c85f6a461e996111
cn.minsin	mutils-wechat-app	0.2.3		1875a5ff01604dd2872101c11825e488866b5e72
cn.minsin	mutils-wechat-app	0.2.4		47a9385b8d5f47b36aca07bbbcfb86dbc162ad1e
cn.minsin	mutils-wechat-app	0.2.5		f02f0fe78411bb7b845c815e6a8a4493ed542de7
cn.minsin	mutils-wechat-app	0.2.6		ebc18ae80a8dd951119ea4b41261db44f8f937c5
cn.minsin	mutils-wechat-app	0.2.7		b31300fca19746e7f1f2a0a199286aefb2e6e25c
cn.minsin	mutils-wechat-app	0.2.8		f71b3c12a2e324e41fd5ec3752ae67afb246e064
cn.minsin	mutils-wechat-app	0.2.9		67d3a440083f0eb1f83453c2f8f314df738d1435
cn.minsin	mutils-wechat-app	0.3.0		07101ce594f888081c9ff0b4eef3e10a3698134e
cn.minsin	mutils-wechat-app	0.3.1		9e090a2d5d7b42f6e53a1e8bda4771421fe89085
cn.minsin	mutils-wechat-app	0.3.2		7a0d0c13a8946ca3ca182008d0e7cfc2e972097a
cn.minsin	mutils-wechat-app	0.3.3		40df93ceeea7f5ad9275d3329dbdd0b12ee9e773
cn.minsin	mutils-wechat-app	0.3.4		35f52c5a8945d852fc7b9024a9db3f15bd90c0f5
cn.minsin	mutils-wechat-app	0.3.5		b6bc8188168752485a1d48d3aab8161fe6aa3c91
cn.minsin	mutils-wechat-app	0.3.6		01ffc8812a94866ac6f716a303631e3991a6ccc2
cn.minsin	mutils-wechat-app	0.3.7		6d4e5724a5750a8134dc6eea22a39fd3c271e45c
cn.minsin	mutils-wechat-app	0.4.0.RELEASE		f3835198fb4bffd9c96accc9c2aeee451085cba0
co.macrometa.c8streams.handlers	kop	2.6.2.0		N/A
co.macrometa.c8streams.handlers	kop	2.7.0.1		26716db26f41fa3760a88a47c4633006d26b8d08
co.macrometa.c8streams.handlers	kop	2.7.0.7		5388f8488dc7fc4bd3dfd5df42050c7631f244af
co.macrometa.c8streams.handlers	kop	2.7.0.8		75c8fba9034bb44cf6b7f6bdb05dd1cad928b2db
co.macrometa.c8streams.handlers	kop	2.7.0.9		828442306aebd34abae8e8fca81fe8729391f072
co.macrometa.c8streams.handlers	kop	2.7.1.0		37df2eb4edca1635f8d7a43a4715781275a6e471
co.macrometa.c8streams.handlers	kop	2.7.1.1		2298b1c5048af73041e37e0788c2e6414fa7e923
co.macrometa.c8streams.handlers	kop	2.7.1.2		65878e5af006776b4882f21a0058f45aa9f548e7
co.macrometa.c8streams.handlers	kop	2.7.1.3		6f6cba22103acd7338112b8fe612fbba375b3a99
co.macrometa.c8streams.handlers	kop	2.7.1.5		224cdebf01febc587b3e4e722893a8243ae5cd00
co.macrometa.c8streams.handlers	kop	2.7.1.6		5452681439aa02e264d4fd451b151e0da9e3d124
co.macrometa.c8streams.handlers	kop	2.8.1.0		bcf9be3fa12e627e884ad268a29e1a0756323299
co.macrometa.c8streams.handlers	kop	2.8.1.1		N/A
co.macrometa.c8streams.handlers	kop	2.8.1.2		N/A
co.macrometa.c8streams.handlers	kop	2.8.1.3		N/A
co.macrometa.c8streams.handlers	kop	2.8.1.4		N/A
co.macrometa.c8streams.handlers	kop	2.8.1.5		N/A
co.macrometa.c8streams.handlers	kop	2.8.1.6		N/A
com.adscore	java-common	1.0.0		b2133b54a07db319bd4b299ee9dc83a843953348
com.amazonaws	aws-android-sdk-ses	2.1.10		27caaa03452fa547fe0edffee6358cd03e1ae578
com.amazonaws	aws-android-sdk-ses	2.1.3		e2233ddd4b5c0bd96a629a4699d8f0f0a19c92c7
com.amazonaws	aws-android-sdk-ses	2.1.4		6c594f18db2da8f702899c925c07970bd860fc77
com.amazonaws	aws-android-sdk-ses	2.1.5		be70f1b61aa94429abdb24b093ea682cc7448915
com.amazonaws	aws-android-sdk-ses	2.1.7		7113693e37b6fed083982f6e8ae701cbeb372841
