cc.unitmesh	code	0.2.3		ef6ecf0cc15f4f109b45bb7c1738295181be82d3
ch.epfl.scala	scalafix-testkit_2.12.13	0.9.25		fd40b4e1ea8a73257815dcc26da280e9f289adb4
ch.epfl.scala	scalafix-testkit_2.12.13	0.9.26		76b40327182ff1b6674d37d6aaf34698420c3345
ch.epfl.scala	scalafix-testkit_2.12.13	0.9.27		0ca3fc1fd5a49d3c6f6faa2aae9f1cf75c47dd9a
ch.epfl.scala	scalafix-testkit_2.12.13	0.9.28		44f3bd66a49c6657be81f77a019168342b58c144
cn.com.antcloud.api	antcloud-api-ak_516173036fc4456ea7efe19f06fd349b	1.0.1		9c4af0704cf6528eaa7377e1b894c84ff66d9b90
cn.com.antcloud.api	antcloud-api-trade	3.11.0		5463bc91a279577e2f53ea17925c0cb81c109a98
cn.com.antcloud.api	antcloud-api-trade	3.11.1		99a7a42d2e259c0d7a6bf499ba7c797ec32db8dc
cn.com.antcloud.api	antcloud-api-trade	3.13.2		9efb6b2be5413036d46c230002d53d122d959286
cn.com.antcloud.api	antcloud-api-trade	3.6.3		ad7fc4977761357ebc11f433d8e194684ac1848d
cn.gomro	utils	0.0.1		ef138ed2bb848b86d28217870385fd2babdf5687
cn.gomro	utils	0.0.2		24e35ff65231f0e77b2171829f96bd85cdd905ec
cn.gomro	utils	deprecated		b8f2642551fd70273ab85f026206930c2ad73f97
cn.infrabase	infrabase-starters	0.0.1		N/A
com.adobe.aem	aem-sdk-api	2020.10.4329.20201007T024940Z-200924		70fc2f45bddb6687f3b7f7d18e79b25224770284
com.adobe.aem	aem-sdk-api	2020.10.4334.20201008T010734Z-200924		f4ffc9e71361027608bce393dbf19ab723d54518
com.adobe.aem	aem-sdk-api	2020.10.4362.20201013T230740Z-200924		a7a568a3917edfd2cfa1f692a4576a267149386a
com.adobe.aem	aem-sdk-api	2020.10.4381.20201019T030741Z-200924		5c9ef61d8aaf220074d061d090ff99abca10138b
com.adobe.aem	aem-sdk-api	2020.10.4383.20201019T135818Z-200924		e0ebd61141cd6f0c5e889ce9f4765ab0f668c449
