ai.platon	distributed-lock	1.4.2		N/A
br.com.objectos	xls-compiler	0.1.0		823d9f3027c5f0bcca438dd2ea281d4663e01c6b
cn.fox-tech	fox-edge-server-common-utils-json	1.0.1		097ce780b4d60a15bbc266fafc783a74fa3bf226
cn.fox-tech	fox-edge-server-common-utils-json	1.0.2		f56f8249c78c435f2ccc2ce496dda3591f8706b4
cn.fox-tech	fox-edge-server-common-utils-json	1.0.3		0655f2791fea8c243b442f46be8bd5e8414ea9cd
cn.fox-tech	fox-edge-server-common-utils-json	1.0.4		4846d89aa02cdfe8a5a9aa4674783bd911094803
cn.fox-tech	fox-edge-server-common-utils-json	1.0.7		865bb8463dceb707abc593a0b48dab7d1da7c272
cn.fox-tech	fox-edge-server-common-utils-json	1.0.8		708c776686212f9dc05385ee8c642c26260790d6
cn.fox-tech	fox-edge-server-common-utils-json	1.0.9		1400922e13c2e472ea35077218508dbc58f746fd
cn.fox-tech	fox-edge-server-common-utils-json	1.1.0		727649e87da2e4ee1a233bdf4d845cdb263457fb
cn.fox-tech	fox-edge-server-common-utils-json	1.1.1		eeb54424b58a1bd18848e5243f27b9342ec2cbbd
cn.fox-tech	fox-edge-server-common-utils-json	1.1.2		56b28f80de1c4ac0be3414c983880377b5f1f53b
cn.fox-tech	fox-edge-server-common-utils-json	1.1.3		8f1ac36ace99399280c5850cbf434ce8f3b3ac6f
cn.fox-tech	fox-edge-server-common-utils-json	1.1.4		c2d79a6d01e0f17e9cc369dcc49198f08c985b5d
cn.fox-tech	fox-edge-server-common-utils-json	1.1.5		53105fa1972327235b1d7384712adf3a2fbd52db
cn.fox-tech	fox-edge-server-common-utils-json	1.1.6		51ece9535100d758d1cdc287add6f11ac3fb614f
cn.fox-tech	fox-edge-server-common-utils-json	1.1.7		2913fdfb35eacf8d8f2309a0f15d28b37079dbcb
cn.fox-tech	fox-edge-server-common-utils-json	1.1.8		c50ad7752dc39a6c11599b0fcd08f1fc364a4499
cn.fox-tech	fox-edge-server-common-utils-json	1.1.9		5b1440fd4c444e841c3884f2c4aba0073925995f
cn.fox-tech	fox-edge-server-common-utils-json	1.2.0		939a25b15d1bcf597a07f3c9f8820d351a8d4f26
cn.fox-tech	fox-edge-server-common-utils-json	1.2.1		53192875e4a66dc2e6dfaa445826299f11514bd3
cn.fox-tech	fox-edge-server-common-utils-json	1.2.3		2091fb398d5347c2e8933098ce37782dd06cb973
cn.sliew	carp-framework-log-realtime	0.0.55		ed1ec982725a3a7d9c2d23ff114ee08ad8e2e806
cn.sliew	carp-framework-log-realtime	0.0.56		f6cc4af9173efa52db67830ed10527e417ad2d2f
cn.sliew	carp-framework-log-realtime	0.0.57		a68297676b41b3b32c38ee05494df995544089ba
cn.sliew	carp-framework-log-realtime	0.0.58		09e15965554e15ffd76349bd96f6ea43b72a3d04
cn.sliew	carp-framework-log-realtime	0.0.59		6c8fce1105964b521216be69941d68b8ae67bff3
cn.sliew	carp-framework-log-realtime	0.0.60		192f2735fba2934e372458e401c1fb1cd737e44d
cn.sliew	carp-framework-log-realtime	0.0.61		a3ec7d342a1e5aa9aadcf612ded51d5d7b9074ab
cn.sliew	carp-framework-log-realtime	0.0.62		57de1d0779eba067427fdab940627e4904832dd6
cn.sliew	carp-framework-log-realtime	0.0.63		7a16905d2127469351acb00f034888e6f197e433
cn.sliew	carp-framework-log-realtime	0.0.64		748371182e738b44dc928fb694354fa0023d06bd
cn.sliew	carp-framework-log-realtime	0.0.65		39038e7a78789136b121370e6f81b16217fc2ea5
cn.sliew	carp-framework-log-realtime	0.0.66		5bd8f48b47c8447fbda2554525fbfd7e9f5711e5
