br.com.acolita	mqpooler	1.0		335fb92c85ee3b54ee26c5a5040fd6c2b7b1c9d7
cn.jiaminzhu.commons	result	1.0		fd3919713c2a7b7fcb4382c8a26a956c17bbe745
cn.jiaminzhu.commons	result	1.1		ceedeeb06656f2908d873cc47e22ef2fa50a164f
cn.jiaminzhu.commons	result	1.3		0c6c302bfed01bfc242b73699c1df0d830a7de1c
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.10-micronaut-1.0		e3c96fb2d73b27a8048b0ef17e5b3a9b3db02c6b
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.10-micronaut-2.0		51838d9d6b4095bc4e13272bcbe569fed4e53f2b
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.10-micronaut-3.0		f2e142cfdd27eb5aed8ca58cf64b2ba738e4e693
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.3-micronaut-1.0		bacdd9e16add87d6ebed237779fbc86242761977
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.3-micronaut-2.0		5ee84f1f4f3a8866a6f10926ae93943ad2c1072c
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.3-micronaut-3.0		bf60b15772b394f28bac2821ec12f6a81a635b4b
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.4-micronaut-1.0		efa9dccfc22cec4111d658c79e91bf44b97cd627
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.4-micronaut-2.0		a54196c7911719ee87acac6938e36d7b38170602
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.4-micronaut-3.0		4b79ce0ccd6f9bef472fe9e6fecf0584dd316eb6
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.5-micronaut-1.0		cc4baca30c919e2f4639b34d4b1710d8c7097925
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.5-micronaut-2.0		17eef7cbe34a36ee04a0219bea76d58de7de80b9
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.5-micronaut-3.0		607d15d513a1d6fccde207782b5f4d4f63e4ab9d
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.6-micronaut-1.0		6214f20c10018d10a3c5942ce68609a38035ee77
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.6-micronaut-2.0		9ad852c3c07922274278a6f03eb09623d6b1108b
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.6-micronaut-3.0		500577adee155accb8780a1e13f25183142be633
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.7-micronaut-1.0		dfa45878e53e0564ebc7c699a462c3074c9a953b
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.7-micronaut-2.0		0e67f60be843536f0ffeea5dc14613274196f2c0
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.7-micronaut-3.0		17a0564a21d6315a2739a2dd26aab9732ffdea3e
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.8-micronaut-1.0		ac64d82f3e5c7fcb880c1cbcb20e5d89d511e964
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.8-micronaut-2.0		47c20f7946ac0cce45e9b3cca62e93804fec9940
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.8-micronaut-3.0		cae41f4c48fa246039ef6ec6957bd0b5b54931dd
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.9-micronaut-1.0		deb83137b21771b417996fa1b664f535af216f8f
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.9-micronaut-2.0		1816185e9f1e53eb60ca8cd3e6550417f55f2904
com.agorapulse	micronaut-amazon-awssdk-lambda	2.0.9-micronaut-3.0		9c201a0365df7405e54da01d7d8f9abc1581ff95
