app.softwork	icons	0.1.0		N/A
at.released.tempfolder	tempfolder-sync	0.1		b6a7cba1d5698860e21d693a74f78dfc612a0d13
cn.dynamictp	dynamic-tp-example-adapter-rabbitmq	1.1.1		db18ef9ffcf4037e3ef3364189819e89d812277b
cn.dynamictp	dynamic-tp-example-adapter-rabbitmq	1.1.1-beta		189287c2171e0e88489fb6f3e66ca484352de33f
cn.dynamictp	dynamic-tp-example-adapter-rabbitmq	1.1.2		7d2d55daff00d30648c7145f3c152c0931131664
cn.tripnx	open-api-sdk	1.0		e1c6aca3de0b8371318b4d9b9e5c2b28a64bf8a4
cn.tripnx	open-api-sdk	1.1		40b80cc69050f2bdd20e78a9252f98b03a13750b
cn.tripnx	open-api-sdk	1.2		2b4c8a1f58dabbf2ddc93cb3b21f49e4ec6b730d
cn.tripnx	open-api-sdk	1.3		3c55a73a7163e9d57cdb8488158980ee08f17c6a
cn.tripnx	open-api-sdk	1.4		d7830f7524005f3fb0a30a34b7ab5172ee3b42bb
com.1gravity	bloc-core-iossimulatorarm64	0.10.0		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.10.0	metadata	8d5a54c1c9e47fd9661af866fc4600bec3fb21b4
com.1gravity	bloc-core-iossimulatorarm64	0.11.0		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.11.0	metadata	1c072e10c3ccaf9eef3f6a3ea9e7a4aa1277657a
com.1gravity	bloc-core-iossimulatorarm64	0.5.0		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.5.0	metadata	82d9403ecd98acfc38f227c1232952e2775df201
com.1gravity	bloc-core-iossimulatorarm64	0.5.1		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.5.1	metadata	f515edc55a8479e6b618f46ac78e7aa2de188d0d
com.1gravity	bloc-core-iossimulatorarm64	0.5.2		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.5.2	metadata	ed23ed6a39bead5ebaf9026b744ad8e1b3b3a0cb
com.1gravity	bloc-core-iossimulatorarm64	0.6.0		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.6.0	metadata	dc6d7c3bdf7e8d54846f86fc5320de730660ed0d
com.1gravity	bloc-core-iossimulatorarm64	0.6.1		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.6.1	metadata	77cbcf4fe534df7e8d041a6adb0e19ef6a22b9fe
com.1gravity	bloc-core-iossimulatorarm64	0.6.2		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.6.2	metadata	558882a9ac5e7aa3e607395fbf73154499336afa
com.1gravity	bloc-core-iossimulatorarm64	0.7.0		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.7.0	metadata	b4a597112174fc01b49c97e9d35caf5e47386c4c
com.1gravity	bloc-core-iossimulatorarm64	0.8.0		N/A
com.1gravity	bloc-core-iossimulatorarm64	0.8.0	metadata	bf8c32b5ac6f3744612ef1924c0f7fa3d18f4ada
com.1gravity	bloc-core-iossimulatorarm64	0.8.1		N/A
