com.bizo	args4j-helpers_2.10	1.0.0		46c40f6ebc30294aa74b8fce44de2893e0b3f5fd
com.cognitect.aws	sagemaker-geospatial	825.2.1266.0		4ff724211d0a921f28d77fdb371d47983a265c66
com.cognitect.aws	sagemaker-geospatial	845.2.1359.0		e64aae6a2c01e663d2058d697afc2b26512ff77f
com.cognitect.aws	sagemaker-geospatial	847.2.1365.0		5514d11b08b22588e369f254a22822195bee4026
com.cognitect.aws	sagemaker-geospatial	847.2.1387.0		0b2c36aef6e78eb3f0838ee245cc7cc5ac832547
com.cognitect.aws	sagemaker-geospatial	871.2.29.35		d7ac033ef329ba54f705b865026bdc0cc090f988
com.daml	canton-community-lib-wartremover_2.13	3.0.0-snapshot.20240126.12648.0.va9dc2d63		86ba60cd92b025e73f01a9ca05db20809d4c74b7
com.daml	canton-community-lib-wartremover_2.13	3.0.0-snapshot.20240129.12655.0.v90d90ea7		86ba60cd92b025e73f01a9ca05db20809d4c74b7
com.daml	canton-community-lib-wartremover_2.13	3.0.0-snapshot.20240130.12664.0.va195d0f6		86ba60cd92b025e73f01a9ca05db20809d4c74b7
com.daml.ledger	participant-state-kvutils_2.12	100.13.37		748168416f3bcf13753fcb9ac9170fd2dae18c9c
com.daml.ledger	participant-state-kvutils_2.12	100.13.38		e05db656354ace572db094de3abd9c817a2459be
com.daml.ledger	participant-state-kvutils_2.12	100.13.39		32aed72cacd5e9cf02d9a774d7272811ba342a1f
com.daml.ledger	participant-state-kvutils_2.12	100.13.40		32aed72cacd5e9cf02d9a774d7272811ba342a1f
com.daml.ledger	participant-state-kvutils_2.12	100.13.41		425ab5ab6e841639070cedcad1d1c69955bfa920
com.daml.ledger	participant-state-kvutils_2.12	100.13.42		6d4d46404124fdd89c7c0ff86c784353edbe4ba0
com.daml.ledger	participant-state-kvutils_2.12	100.13.43		993d08f294ce3c380f44fb42d3a94f95e2fa6d9d
com.daml.ledger	participant-state-kvutils_2.12	100.13.44		993d08f294ce3c380f44fb42d3a94f95e2fa6d9d
com.daml.ledger	participant-state-kvutils_2.12	100.13.45		4c62abff817d5708e54263c5dc2a141aa837bd99
com.daml.ledger	participant-state-kvutils_2.12	100.13.46		ae772894e18e8a667e5f82239fc1350350d3eca7
