acegisecurity	acegi-security-parent	1.0.0-RC1		N/A
ai.nextbillion	nb-maps-client	0.6.0a		1a97b94f053658bb01acc0056ea64557dc30bfb1
ai.nextbillion	nb-maps-client	1.2		a138a18840e3bb106a47be3453395f0fc008e28a
ai.nextbillion	nb-maps-client	1.3.3		500518aa0fd19e80cb1ad4199464ee814723c7e0
ai.nextbillion	nb-maps-client	1.4.0		82068356ca76b3786a77f10ca2648787567de1dc
ai.nextbillion	nb-maps-client	1.5.0		1e11192f08a7aed14cae6afd70466fd7451abf39
ai.nextbillion	nb-maps-client	1.6.1		203c0cab57850dcba5685a374cf0333fd184568e
ai.nextbillion	nb-maps-client	1.7.0		a41e722e3204178d9eda609bdab1b94647757b5e
ai.nextbillion	nb-maps-client	1.7.1		9ae88fefb647c9a0a60f218326dc823782308478
cn.charlab.os	os-spring-boot-parent	1.0.0		N/A
co.prado.sdk	prado-android-applovin-adapter	2.0.0		N/A
co.prado.sdk	prado-android-applovin-adapter	2.0.1		N/A
com.digitalpetri.modbus	modbus-master-tcp	1.0.1		5c461a45fb3893f570ea8293291b17a92bd45b76
com.digitalpetri.modbus	modbus-master-tcp	1.0.2		32971d4807314ed7d9de70a9a027c0ebcaa87746
com.digitalpetri.modbus	modbus-master-tcp	1.1.0		20d9d3d7426b0e383ac027e6fa2f0c8c94ef2a50
com.digitalpetri.modbus	modbus-master-tcp	1.1.1		6a593a9707258b071389d555e52eb52eeee202f8
com.digitalpetri.modbus	modbus-master-tcp	1.2.0		709e303fcff0983b4e78aac2dba5b763f529b626
com.digitalpetri.modbus	modbus-master-tcp	1.2.1		b4b9958a1818d5c5dd17de27053b110083b6578f
com.digitalpetri.modbus	modbus-master-tcp	1.2.2		f3e9ba458af2402ea4eda46a3fda4f57be27f171
com.eduworks	ec.base	1.0.0		7fb3ba12dc4b79ea6b72c7f2842fc033b5e69fd8
com.eduworks	ec.base	1.1.0		e90e5b0e06ff9ae3993e2b35a53bf17bb525ed59
com.eduworks	ec.base	1.1.1		6d106222d273c8a07e924649199a01c4a2862343
com.eduworks	ec.base	1.2.0		ea5713f2612a25244e752148a899613321ad5911
com.eduworks	ec.base	1.3.0		366950264da40b0ba7a7a7b26cb921032196ec18
com.eduworks	ec.base	1.4.0		bf03030c67b233653934cfaae8dbe79e2fcd7165
com.eduworks	ec.base	1.5.0		61e7b130408b1b8967d7f2410ac4ef39ee8cebe9
com.eduworks	ec.base	1.6.0		28d9c3b2655047ff5baeb574445ef52d66d5b99c
com.eduworks	ec.base	2.0.0		e71e519fc54734f04f92ade0709a065370bcc8dd
com.eduworks	ec.base	2.1.0		cdebdcc8278099e790d846580f9f1e7f48df8c6f
com.eduworks	ec.base	2.10.0		47e3d8d960e04b7c8dd7f9c32a10bffa3ec555e7
com.eduworks	ec.base	2.10.1		4d098215699f9924952777e6eeb534edcc0bc25b
com.eduworks	ec.base	2.10.2		07b93106f357af08e6d36f4f571e5966610d9153
com.eduworks	ec.base	2.10.3		ad7dc9d6b590ca581f64e780fbfa44a7856c9076
com.eduworks	ec.base	2.10.4		87d737f8b730eef2a8195fcc03970fcc79d6798f
com.eduworks	ec.base	2.10.6		69bfc317c5e535e7c18101cd810335e451c027f4
com.eduworks	ec.base	2.10.7		9130e39e95fadbc3f5c84ad9b5ab8335c4522753
com.eduworks	ec.base	2.11.0		420f33d7e98f306bd2462e676f50043a4de02a23
com.eduworks	ec.base	2.11.1		ffb5389e5c57fe61539f6d7980d5e15e332c4135
com.eduworks	ec.base	2.11.2		bb2cb75cd155dc1ded1383e2785e016a646d46c9
com.eduworks	ec.base	2.11.3		117c6e975c71fa21e946439fee048d53af3cc3d9
com.eduworks	ec.base	2.11.4		72b4cf3833e11110d05262c7d34429321b723461
com.eduworks	ec.base	2.11.5		a62105ebe122cc021bd64a5f074cac3b6f47c622
com.eduworks	ec.base	2.11.6		b0889b9d954e7fd31a088ffe739de1b3dcbaf99e
com.eduworks	ec.base	2.11.7		f26851e07bfb4ec29d3df7dbc4cdf6fb48022952
com.eduworks	ec.base	2.11.8		89e793af73e4ba9d6f28fc69a1144b4a39e71110
com.eduworks	ec.base	2.2.0		ffa615a6285f05a7d2893447493385fd88b3c96e
com.eduworks	ec.base	2.2.1		7bea36ef79ee52f112c0cfe00fa3f8a12147f63e
com.eduworks	ec.base	2.2.2		d468562f1ca341cfe86046f9d6e3fa1e6aacbb46
com.eduworks	ec.base	2.2.2.0		5a9f8c75b005345e7ae66ec7265f16f21a324763
com.eduworks	ec.base	2.2.3		f1b319497a2764e94e157bd6a969c8aa99d24cd3
com.eduworks	ec.base	2.2.5		68f0d2c9e320e7c30fdb68ec8291aca94cc60ded
com.eduworks	ec.base	2.2.6		73afc676c07e0dee0751bacc2785ebdaa6970e34
com.eduworks	ec.base	2.2.7		e2defa5ee232ae8919dccbd382248ff6096eef4d
com.eduworks	ec.base	2.3.0		eac7e39fce4f938ef54146f070ca52ea9059067b
com.eduworks	ec.base	2.3.1		85e70a701a05c909fc24cba55e5166fdca55bf7e
com.eduworks	ec.base	2.3.2		a0df83311490ff9d1a521eb2d9510d2346e80c03
com.eduworks	ec.base	2.3.3		f34b93f9296a57959ea38b33f89377e38b0152c7
com.eduworks	ec.base	2.4.0		f46d346a6bf57b638588731451e507b78eabebd6
com.eduworks	ec.base	2.5.0		f50e24ce7043b547fc331bfd005908c4b3a1fcbd
com.eduworks	ec.base	2.5.1		b69b6069d2e795e165c1b936817069395c3c5d0f
com.eduworks	ec.base	2.5.2		a6ee90d1f6cc1ada5a421ee11eb9571a9cccba32
com.eduworks	ec.base	2.5.3		9b7c465506e1cdc6089bbd02e78d11c9b3d50ab6
com.eduworks	ec.base	2.5.4		eb712d9dcbfa6cd62841421270569605aa02f52a
com.eduworks	ec.base	2.6.0		435971c25dc195c708c7ebc59c1961cc089eb99e
com.eduworks	ec.base	2.6.1		f5443aac619e086f0bd299f014eed6a22db5f9ad
com.eduworks	ec.base	2.6.2		f4e04304680c9b39262a1a97937b439643e1b2bd
com.eduworks	ec.base	2.6.3		23a20c1ecedc7afaa77016346f4a6ff9efffe504
com.eduworks	ec.base	2.6.4		510affb66548dac4cb6e3b64c3223dfd5ccee65d
com.eduworks	ec.base	2.6.5		d5721c5472d6f45c47a41469d58fe99cff3af77e
com.eduworks	ec.base	2.6.6		5b63a106810c4822cbcbb344c477a44d99704d96
com.eduworks	ec.base	2.7.0		a76a79c29ed4303037c3358228ecbcc037fa5995
com.eduworks	ec.base	2.7.1		ea9e6eaca702ce53cfc4f02ec005c65031327fb9
com.eduworks	ec.base	2.7.2		90f2f1ca943044a721f5af49fac3c075e76a08c6
com.eduworks	ec.base	2.7.3		9ab39ed80377ed682e42e5ab91245e36f5a70a1c
com.eduworks	ec.base	2.8.0		04a0620534efb09de62ebee88df43f8c3863147c
com.eduworks	ec.base	2.8.1		9077f8d8d3f99884265a64f8cb13c870e759a324
com.eduworks	ec.base	2.8.2		45985a3f94cd0fea01290d99f26e2ed132275be9
com.eduworks	ec.base	2.8.3		3ce2af64c8daed1be383289ad9f2abf06a1d146e
com.eduworks	ec.base	2.9.0		dfacadc55a2ec1b825fd3f68beca0c208fb6c2c3
com.eduworks	ec.base	2.9.1		ca733c222b3a99a25321081a36bc6a8b1c736c9c
com.eduworks	ec.base	2.9.10		f777cda0ca2a2ea5aab3903846bd78b482702b0c
com.eduworks	ec.base	2.9.11		20f7f57fc1dd2e21c7c438ae9c0ffc460d8acb31
com.eduworks	ec.base	2.9.12		b9ddfe98db7580b4c897d2dba2f30b85900e4164
com.eduworks	ec.base	2.9.2		b4187e0e8e41677e779edfaaf27438f270c60a7c
com.eduworks	ec.base	2.9.3		58a340524f6771a0506597db04feec73c5e81665
com.eduworks	ec.base	2.9.4		34a5793e690b0eff7fd550ea46ec4198c168c53a
com.eduworks	ec.base	2.9.5		5557346742dcc8a22ac9b2c2330d57b8357c0fd6
com.eduworks	ec.base	2.9.6		22bfadec7ab8bc9d3bd570eadfd3b804d402fecb
com.eduworks	ec.base	2.9.7		3415cda6b01a35a114adae58d16130ff4936477b
com.eduworks	ec.base	2.9.8		4070596054314f1f3b93758c20975b8a9ebfaf56
com.eduworks	ec.base	2.9.9		6d70763a190de26656101effd6b918fa3b3c9e0c
com.eduworks	ec.base	3.0.1		08f7b033fe06b04492fcb63e35f0074ba2453cc5
com.eduworks	ec.base	3.0.10		1a94d86a9e92a3490cabffd54c08736baee0bb68
com.eduworks	ec.base	3.0.11		f42745458ea3fe1a2b36ea3907baa2a69a506eb4
com.eduworks	ec.base	3.0.12		74c8d1a63c4a92933d0d40cf8733e912ea051a1e
com.eduworks	ec.base	3.0.13		4f28b9499ff0053837b1ea32bf2788f84052b506
