app.softwork	kotlinx-serialization-flf-wasm-wasi	0.0.20		N/A
biz.kasual	recyclerfragment	1.0.4		N/A
cc.renken	keylock	1.0.0		8c2607030a4bfa70b2eb3b47a03a43408b771ebb
cc.renken	keylock	1.0.1		055219381cdcd437cca0c0a9107cd066f5a1001c
cloud.piranha.http	piranha-http-webapp-test	21.1.0		45455460484933ac9fae8296702e0493be33e882
cloud.piranha.http	piranha-http-webapp-test	21.2.0		51395838703eb1a29489cbfa1abd944f59882841
com.alexstyl	addcoilmultiplatform-jvm	0.0.2		64485080eeafd7cd622b84879ddfdcd54c042673
com.alexstyl	addcoilmultiplatform-jvm	1.0.0		64485080eeafd7cd622b84879ddfdcd54c042673
com.alexstyl	addcoilmultiplatform-jvm	1.1.0		64485080eeafd7cd622b84879ddfdcd54c042673
com.alexstyl	addcoilmultiplatform-jvm	3.0.0-rc01		64485080eeafd7cd622b84879ddfdcd54c042673
com.alipay.sofa.lookout	metrics-server-interfaces	1.6.0		8d425a3c1122da98495295b5009c812f1333b7d3
com.alipay.sofa.lookout	metrics-server-interfaces	1.6.1		2fd38650b2b0582dd8d9c74067b71997c7f41bd1
com.aliyun	aliyun-java-sdk-partnerintl	1.0.0		72d38bafc4ecc00c5fd3469dec24fcacf7b5dec1
com.aliyun	aliyun-java-sdk-partnerintl	1.0.1		c32dc4c9efc01162924877a9019cd3ab81f9a56d
com.aliyun	aliyun-java-sdk-partnerintl	1.0.2		3bb82cff7d2a17ad7f9a9fae5094c7c33f890248
com.davidbracewell	hermes-opennlp	0.1		0f204a9a229aa3c11db9894c8a9ae95a40d070d3
com.davidbracewell	hermes-opennlp	0.2		ed886a11ec2bc3e93b21e33646bf86e71a37b19e
com.davidbracewell	hermes-opennlp	0.3		7a7849dd512f91e29e1c89e72bdcd16d432ece7d
com.davidbracewell	hermes-opennlp	0.4		94c37319706d9e353d26e99977b28e32e1fdb78c
com.davidbracewell	hermes-opennlp	0.5		a1ad0b4731f938ad480c1003dab8850c0b183d51
com.disney.groovity	groovity-servlet-admin	2.0.0		52bb9024419f8f3b5e21242a24a2d938c68e6e44
com.disney.groovity	groovity-servlet-admin	2.0.0-rc.16		ba51f454c66e622d8ddf0832b99c04d4ef91b84e
com.disney.groovity	groovity-servlet-admin	2.0.0-rc.17		c1d9584541571c6701836e2fcc7db20cf85a1b55
com.disney.groovity	groovity-servlet-admin	2.0.0-rc.18		f5d3dac7ff753f9916e77919595e18509efee51b
com.disney.groovity	groovity-servlet-admin	2.0.0-rc.19		3b75da18515ba6f3ad7a164186940c7e81964416
com.disney.groovity	groovity-servlet-admin	2.0.0-rc.20		dbce7f871b2617fe39da54793693ddbc3e27f306
com.disney.groovity	groovity-servlet-admin	2.0.0-rc.21		2b4320f34a38a47d090efcbbd678966a3d120312
com.disney.groovity	groovity-servlet-admin	2.0.1		7c67ebf9764bb99c5c7b5b406bdf04aa8baf0796
com.disney.groovity	groovity-servlet-admin	2.0.2		4407af856aa8a63c017774250629c021c733ca24
com.disney.groovity	groovity-servlet-admin	2.0.3		1be44f6fc3b6ad49b0f35a8becce4b80836c36e6
com.disney.groovity	groovity-servlet-admin	2.0.4		43b45e6e0dde5d5680f8a2105d686df72e8fe1cc
com.disney.groovity	groovity-servlet-admin	2.0.5		e7f89ff9d64182eb452eaa825a2a3fb6b98b7416
com.disney.groovity	groovity-servlet-admin	2.0.6		9f833fc713c0511ac087b0dd9959ed2c11c5fc9d
com.disney.groovity	groovity-servlet-admin	2.1.0-beta.1		2851282c74985c6a91e43bcb313289b40ef03a85
com.disneystreaming.smithy	aws-osis-spec	2023.09.22		f5753dc818d3e810368d16ae22efbb2523356cd0
com.disneystreaming.smithy	aws-osis-spec	2023.14.24		ee016ee3431241363da4a109af80e5f95548a841
com.disneystreaming.smithy	aws-osis-spec	2023.22.04		7d8c0d142812845fb7979c378560d11e7058699a
com.disneystreaming.smithy	aws-osis-spec	2023.22.13		cd5f00e61f6c3574a7bb7d8cd0d5a229e4d73a55
