be.atbash.ee.security.octopus	opinionated	0.6		N/A
biz.aQute	osgi.enroute.github.angular-ui.webresource	0.13.3		F08982A29421C485248921F52A7C412BA135BCF3
cn.openapis	hy.common.berkeley	1.0.4		6ebc58025eca2df3895c0b46565befb1aae2c726
cn.openapis	hy.common.berkeley	1.0.5		9411ac34cb1cf537c7c22364e8743938422a840f
cn.openapis	hy.common.berkeley	1.0.6		8237ef47028fea2c275e9ce5debc2e9744d55ae5
cn.openapis	hy.common.berkeley	1.0.7		a897ac8527ff0d6cb932787d11eb5122830857e1
cn.openapis	hy.common.berkeley	1.0.8		19a0171620f060ffbdbb2b616c30583a15334876
cn.openapis	hy.common.berkeley	1.0.9		471578ef8c99eda90642b98f0142c6d7e66c6496
cn.tenmg	hibernate-sqltool	1.0.0		d9fc603fb7617f41ab942be5cf81cd33bd67bfe9
co.actioniq.thirdparty.com.twitter	scrooge-generator_2.10	3.17.0-4232bc888d6b09f0bf41930956b39dd8f398d96f		1a43cd5cd0bde11c74d7c524f6763f2356e01364
co.actioniq.thirdparty.com.twitter	scrooge-generator_2.10	3.17.0-8c5cbcb473dd73e8900604e172d0e8c1bf2c8a74		ed77bd0f008523217802452d930924c058daa3c7
co.actioniq.thirdparty.com.twitter	scrooge-generator_2.10	3.17.0-fda97c3c64755e87643b4700e3b9ac136f24e79d		10a737415b67801bb5948a04a8db0e396a7ad49e
com.adobe.cq	core.wcm.components.examples.ui.apps	2.10.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.11.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.11.1		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.12.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.12.1		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.12.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.13.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.13.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.13.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.14.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.15.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.15.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.16.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.16.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.16.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.10		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.12		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.14		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.6		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.17.8		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.18.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.18.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.18.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.18.6		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.18.8		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.19.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.19.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.20.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.20.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.20.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.20.6		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.20.8		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.21.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.21.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.21.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.10		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.12		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.6		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.22.8		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.23.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.23.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.23.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.24.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.24.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.24.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.24.6		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.25.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.25.2		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.25.4		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.26.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.27.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.28.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.29.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.8.1-SNAPSHOT-20200410121300		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.9.0		N/A
com.adobe.cq	core.wcm.components.examples.ui.apps	2.9.2		N/A
com.afollestad.material-dialogs	lifecycle	2.1.0		N/A
com.afollestad.material-dialogs	lifecycle	2.2.0		N/A
com.afollestad.material-dialogs	lifecycle	2.2.1		N/A
com.afollestad.material-dialogs	lifecycle	2.3.0		N/A
com.afollestad.material-dialogs	lifecycle	2.4.0		N/A
com.afollestad.material-dialogs	lifecycle	2.5.0		N/A
com.afollestad.material-dialogs	lifecycle	2.6.0		N/A
com.afollestad.material-dialogs	lifecycle	2.7.0		N/A
com.afollestad.material-dialogs	lifecycle	2.8.0		N/A
com.afollestad.material-dialogs	lifecycle	2.8.1		N/A
com.afollestad.material-dialogs	lifecycle	3.0.0		N/A
com.afollestad.material-dialogs	lifecycle	3.0.1		N/A
com.afollestad.material-dialogs	lifecycle	3.0.2		N/A
com.afollestad.material-dialogs	lifecycle	3.1.0		N/A
com.afollestad.material-dialogs	lifecycle	3.1.1		N/A
com.afollestad.material-dialogs	lifecycle	3.2.1		N/A
com.afollestad.material-dialogs	lifecycle	3.3.0		N/A
com.amazonaws	aws-java-sdk-glue	1.11.1000		4da1d2ff4648d599122ed6b71a249b1395bcfe74
com.amazonaws	aws-java-sdk-glue	1.11.1001		8fb1001bfc9f06925a5726751ca99f2045bd0f2a
com.amazonaws	aws-java-sdk-glue	1.11.1002		d488376e4e40a979d8293a0feb118a9cad3482be
com.amazonaws	aws-java-sdk-glue	1.11.1003		f4cd8679f677bbab9a64c2f352a02423c22fcf1f
com.amazonaws	aws-java-sdk-glue	1.11.1004		ed4352ef304629c768931ffa46ac30efc2589b8e
com.amazonaws	aws-java-sdk-glue	1.11.1005		b807e717e80a2ea9557b3b766c766416fd42b85d
com.amazonaws	aws-java-sdk-glue	1.11.1006		b13defc535e35697c336f2d526471af41b568eb6
com.amazonaws	aws-java-sdk-glue	1.11.1007		c2449ed0e4e7ec870d7e7fbdc0f063f8bb7d9e4d
com.amazonaws	aws-java-sdk-glue	1.11.1008		de6d11be06eb22da4898524e9367246066de4812
com.amazonaws	aws-java-sdk-glue	1.11.1009		f4de4b8983a8915dad570a8b4ee24ab6e34d9b53
com.amazonaws	aws-java-sdk-glue	1.11.1010		fbeed83c7c0b5b65bb68bff9d3f3a38cf5ce7499
com.amazonaws	aws-java-sdk-glue	1.11.1011		cbf2419b2f417abdff0a60f80ee0052dbd9fc0d8
com.amazonaws	aws-java-sdk-glue	1.11.1012		2891378101c1f68531c423291953b5201c2851f1
com.amazonaws	aws-java-sdk-glue	1.11.1013		45f0738fe58e9909f5fb33fab919203d5118def0
com.amazonaws	aws-java-sdk-glue	1.11.1014		38d148b7eebfab053830b2378edddfe68d36d61b
com.amazonaws	aws-java-sdk-glue	1.11.1015		418d4bbecd2cac9c9c621843600727278c460b49
com.amazonaws	aws-java-sdk-glue	1.11.1016		01f6e1cee99d05c7193563c5017e5a064213f4f2
com.amazonaws	aws-java-sdk-glue	1.11.1017		c0be3fe370137007d12f0d4241579bd62044a2eb
com.amazonaws	aws-java-sdk-glue	1.11.1018		7d120f1b7e4ceb5d174687ccc3358e266ebfe42d
com.amazonaws	aws-java-sdk-glue	1.11.1019		7853b2bb6c4e9236cbe30aad88210e3eeea6e928
com.amazonaws	aws-java-sdk-glue	1.11.1020		558c684ad2a5c4aaae5d3d7b07c2241a5bb7fa04
com.amazonaws	aws-java-sdk-glue	1.11.1021		ee6817ad61fab81a777eb7d341006022ec481fb9
com.amazonaws	aws-java-sdk-glue	1.11.1022		5aee23c4fc3f66e3bb82eb9a04e511cb557a1bbe
com.amazonaws	aws-java-sdk-glue	1.11.1023		7853ca20eeeeb3d239af7050196c25a149689a92
