ai.smartwall	android-sdk	0.0.1		N/A
cn.com.itez	jwinner-base	0.0.3		ac3818511ddbaf177d3ea56739d69ae788fb2815
cn.com.itez	jwinner-base	0.0.5		992807dafa0e703002ce891a803453f7323c3e0c
cn.com.itez	jwinner-base	0.0.6		5c9cb31f5a7c0fc874b388726c97da1f26953ebf
cn.com.itez	jwinner-base	0.0.7		4f463e29666c1fffd8cb238d7d8023e0d8949bc6
cn.com.itez	jwinner-base	0.0.8		477eee4e84703fc18b7c1dc4566b3729016898d1
cn.com.itez	jwinner-base	0.0.9		3d180351e36fd37d70bbad9189abbea7742f79e1
cn.com.itez	jwinner-base	0.1.0		5f5944496a7e58012aba96b4fb231ad9e5f2e784
cn.com.itez	jwinner-base	0.1.1		a0996fb32156ec7ff35f462f5786884898731fa3
cn.com.itez	jwinner-base	0.1.2		69325b2a8d81e522cb6816268b008bc2d7eeaa9b
cn.com.itez	jwinner-base	0.1.5		1c03700c3250ce4051e0cccb696c526a33d47ff0
cn.com.itez	jwinner-base	0.1.6		a54af8b65207d0e54e818f25862fc9e1d8dc2d97
cn.com.itez	jwinner-base	0.1.7		a215c47ae211b0ed326d69f6c365093c00b36988
cn.com.itez	jwinner-base	0.1.8		31777330d2efaeb7e78707e4dada895963738f40
cn.com.itez	jwinner-base	0.1.9		79b02c3c8fadc4cd9e10a14b4e13b64701365355
cn.fscode.common	common-mq-spring-boot-starter	0.0.1		N/A
cn.stylefeng.roses	mongodb-spring-boot-starter	7.0.3		cd0ce4dfcd996d60bad08f4eb5e9217bd0f5d138
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.0		81a9798257ee53f097bdbb48a3904f2c67035674
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.0.Final		6ab1d76be6ce43b353a6925f93c2e62fcafec797
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.1		5ad9d8c4865176029c7a2dc85bf9ebcf4fb50a7c
cn.stylefeng.roses	mongodb-spring-boot-starter	7.1.2		cf1a0185d8343d5aa24f6ff7232391836874b233
