ch.epfl.scala	library-example_2.13	1.0.1		51e14635b93745d65800ab9a6f35766f14511de1
com.alipay.sofa	sofa-boot-starters	3.10.0		N/A
com.alipay.sofa	sofa-boot-starters	3.11.0		N/A
com.alipay.sofa	sofa-boot-starters	3.11.1		N/A
com.alipay.sofa	sofa-boot-starters	3.12.0		N/A
com.alipay.sofa	sofa-boot-starters	3.12.1		N/A
com.alipay.sofa	sofa-boot-starters	3.13.0		N/A
com.alipay.sofa	sofa-boot-starters	3.14.0		N/A
com.alipay.sofa	sofa-boot-starters	3.14.1		N/A
com.alipay.sofa	sofa-boot-starters	3.15.0		N/A
com.alipay.sofa	sofa-boot-starters	3.16.0		N/A
com.alipay.sofa	sofa-boot-starters	3.16.1		N/A
com.alipay.sofa	sofa-boot-starters	3.16.2		N/A
com.alipay.sofa	sofa-boot-starters	3.16.3		N/A
com.alipay.sofa	sofa-boot-starters	3.17.0		N/A
com.alipay.sofa	sofa-boot-starters	3.18.0		N/A
com.alipay.sofa	sofa-boot-starters	3.18.1		N/A
com.alipay.sofa	sofa-boot-starters	3.19.0		N/A
com.alipay.sofa	sofa-boot-starters	3.19.1		N/A
com.alipay.sofa	sofa-boot-starters	3.2.0		N/A
com.alipay.sofa	sofa-boot-starters	3.2.1		N/A
com.alipay.sofa	sofa-boot-starters	3.2.2		N/A
com.alipay.sofa	sofa-boot-starters	3.20.0		N/A
com.alipay.sofa	sofa-boot-starters	3.21.0		N/A
com.alipay.sofa	sofa-boot-starters	3.22.0		N/A
com.alipay.sofa	sofa-boot-starters	3.23.0		N/A
com.alipay.sofa	sofa-boot-starters	3.24.0		N/A
com.alipay.sofa	sofa-boot-starters	3.3.0		N/A
com.alipay.sofa	sofa-boot-starters	3.3.1		N/A
com.alipay.sofa	sofa-boot-starters	3.3.2		N/A
com.alipay.sofa	sofa-boot-starters	3.4.0		N/A
com.alipay.sofa	sofa-boot-starters	3.4.1		N/A
com.alipay.sofa	sofa-boot-starters	3.4.2		N/A
com.alipay.sofa	sofa-boot-starters	3.4.3		N/A
com.alipay.sofa	sofa-boot-starters	3.4.4		N/A
com.alipay.sofa	sofa-boot-starters	3.4.5		N/A
com.alipay.sofa	sofa-boot-starters	3.4.6		N/A
com.alipay.sofa	sofa-boot-starters	3.4.7		N/A
com.alipay.sofa	sofa-boot-starters	3.4.8		N/A
com.alipay.sofa	sofa-boot-starters	3.6.0		N/A
com.alipay.sofa	sofa-boot-starters	3.7.0		N/A
com.alipay.sofa	sofa-boot-starters	3.8.0		N/A
com.alipay.sofa	sofa-boot-starters	3.9.0		N/A
com.alipay.sofa	sofa-boot-starters	3.9.1		N/A
com.alipay.sofa	sofa-boot-starters	4.0.0		N/A
com.alipay.sofa	sofa-boot-starters	4.0.0-M1		N/A
com.alipay.sofa	sofa-boot-starters	4.0.0-M2		N/A
com.alipay.sofa	sofa-boot-starters	4.0.1		N/A
com.alipay.sofa	sofa-boot-starters	4.0.2		N/A
com.alipay.sofa	sofa-boot-starters	4.1.0		N/A
com.alipay.sofa	sofa-boot-starters	4.2.0		N/A
com.alipay.sofa	sofa-boot-starters	4.3.0		N/A
com.alipay.sofa	sofa-boot-starters	4.4.0		N/A
com.alipay.sofa	sofa-boot-starters	4.4.1		N/A
com.armanbilge	http4s-okhttp-client_2.12	1.0-148-8da8898		764f0a944cd13d5878c23fbeaee8fc7e33956909
