co.adcel.android	ads-base	2.0.1		N/A
com.afrunt	jdbc-metadata	0.1		6e488ddbec2460c7725b0326c122e44c49e448f2
com.afrunt	jdbc-metadata	0.1.1		68809930279f8ba4667ba768d6e3e8b049afb09f
com.afrunt	jdbc-metadata	0.1.2		97e4864c2dd2fb3d03e70a461cc80fda58793ee1
com.afrunt	jdbc-metadata	0.1.2.1		882c03367c8ee1ccc75d53407a3d9107ab85d42d
com.afrunt	jdbc-metadata	0.1.2.2		26843bba09740d05cca9d576269c7b842a6ea5e3
com.afrunt	jdbc-metadata	0.1.2.7		f7e355644f217966b24b40a5af1c23275e946d39
com.afrunt	jdbc-metadata	0.1.2.8		330bbcefaf7f982811864e381d2ae94e69344983
com.afrunt	jdbc-metadata	0.1.2.9		99f0a98cf1b4bb2aa1d4e968eb23313dea2a8f49
com.afrunt	jdbc-metadata	0.1.3.0		f714c43079932786140f1bfc7126d01e38844c3c
com.afrunt	jdbc-metadata	0.1.4		c736152397e190600a3f4220099df0d6a518695b
com.afrunt	jdbc-metadata	0.1.6		f98c586dcc43a40e94a9da15cfe07355908ee8bb
com.afrunt	jdbc-metadata	0.1.7		4998a4919a8370eeecafb7e2e5a69126181832ad
com.afrunt	jdbc-metadata	0.1.8		516770be7145221c37d44fc8ba759d6449b4532f
com.bellotapps.webapps	webapps-commons-errors	0.0.1-RELEASE		4064ce274792eb55f678a3cb0a5f052d4dd3e3b7
com.bellotapps.webapps	webapps-commons-errors	0.1.0-RELEASE		926763b40dc7108bcb9d9ca91af00d568b1a9f54
com.bellotapps.webapps	webapps-commons-errors	0.1.1-RELEASE		292e3533e590207d086fcbe057bce73a1cd888e7
com.bellotapps.webapps	webapps-commons-errors	0.2.0-RELEASE		8b1cfb1a37901601f259c1997be88a241404199e
com.bellotapps.webapps	webapps-commons-errors	0.3.0-RELEASE		a22202bcd032e5aa6e3f9f94c4d8055e759d5eab
com.chinaxinyun.jsea	jsea-parent	1.0.0		N/A
com.chinaxinyun.jsea	jsea-parent	1.0.1		N/A
com.chinaxinyun.jsea	jsea-parent	1.0.2		N/A
com.chinaxinyun.jsea	jsea-parent	1.0.3		N/A
com.codepoetics	fluvius-test	1.10		aed05161cd53ef5ca829609f7b2c42a1a61514eb
com.codepoetics	fluvius-test	1.7		7c6878077f0d1150d4aeb80e2e83a1c58a330eef
com.codepoetics	fluvius-test	1.8		dfb0a35ab58cf2654a7bf4d663b49ac678ae832b
com.codepoetics	fluvius-test	1.9		31572c93e76f44551402e66f57685deba492dfe5
com.emarsys	rdb-connector-postgresql_2.12	0.1.0+1-fb3fecc4		f15a2318d57c9afb1ef11281f9bbd2b376acc113
com.emarsys	rdb-connector-postgresql_2.12	0.1.0+10-1e9be994		80cf233852bf9ce3235ee00d20d2a4d6f6bcffe4
