at.yawk.logging	logging-parent	1.0		N/A
bio.gamerplay.game	ui	2.0.0		N/A
bio.gamerplay.game	ui	2.0.0-alpha01		N/A
bio.gamerplay.game	ui	2.0.0-alpha02		N/A
bio.gamerplay.game	ui	2.0.0-alpha03		N/A
bio.gamerplay.game	ui	2.0.0-alpha04		N/A
bio.gamerplay.game	ui	2.0.0-alpha05		N/A
bio.gamerplay.game	ui	2.1.0		N/A
city.smartb.i2	i2-role-f2-update	0.11.0		20b334c45c0967daea0d95f82c30943201f31573
city.smartb.i2	i2-role-f2-update	0.7.0		e63f1f9ee37bc4ec515da0645736690593d54a05
city.smartb.i2	i2-role-f2-update	0.8.0		11513b96a01305374333fa1c6a2a4c705b1668c4
city.smartb.i2	i2-role-f2-update	0.8.1		4aa4ee481e22fe99e88193bde2a8f4323b99940f
city.smartb.i2	i2-role-f2-update	0.8.2		fb5c3207cd552a3fd4d0eed1f685e3d4d3adccba
city.smartb.im	im-user-client	0.15.0		9eedc6bbc241baa76d2203581d239ec367ec0c4e
city.smartb.im	im-user-client	0.15.0-RC1		f7e7e58d529edc2f1f1aca16603bd855cccef669
city.smartb.im	im-user-client	0.15.0-RC2		fe9837e1f7ca435d4a3d286216c27434f2dd1e15
co.touchlab	kermit-io-androidnativex64	2.0.5		N/A
com.antgroup.tugraph	geaflow-dsl-runtime	0.1		660d6b7dce8243ba5be9c8d2b577eae6ecbae289
com.antgroup.tugraph	geaflow-dsl-runtime	0.3.0		014b1881df1132f1efcb3e31e303daf24e13d89f
com.antgroup.tugraph	geaflow-dsl-runtime	0.5.0		69d8aa20446814847db2684d75c6a778ce0eeed5
com.antithesis	ffi	1.3.1		bda0608b58f836adb3f574c5234e8af7e6a63bba
com.antithesis	ffi	1.4.0		35bf22fd8d8a08a7d02ce19a3b0a766c27955c49
com.antithesis	ffi	1.4.1		3df58fd39e124120afd1118441249f12c171bfdd
com.antithesis	ffi	1.4.2		98399a184516c13b00478271a3ab031d4b62d3ad
com.babylonhealth.lit	ukcorejava	0.14.15		b9e1182be4e0833a046975c73e14fc043d01810c
com.babylonhealth.lit	ukcorejava	0.14.16		7f44cb28569de77a4f6b61417eaef58a69d27e54
com.babylonhealth.lit	ukcorejava	0.14.17		26a45670339fb1acf4e590e26a53194b2c52186f
com.charleskorn.kaml	kaml-linuxarm64	0.61.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.62.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.62.1		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.62.2		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.63.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.65.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.66.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.67.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.67.1		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.68.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.69.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.70.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.71.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.72.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.73.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.74.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.75.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.76.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.77.0		N/A
com.charleskorn.kaml	kaml-linuxarm64	0.77.1		N/A
com.dropbox.sign	dropbox-sign	1.0.0		a2f7b904758e2ea79ab14aaaf07ca35f84f4b32e
