at.released.cassettes	cassettes-base-androidnativearm64	0.1-alpha01		N/A
cn.benma666	sql-jfinal	3.30.11-RELEASE		2b707abf324b30b37bf5ea98b3ff9a7940dc7ef4
cn.benma666	sql-jfinal	3.30.7-RELEASE		09658824c2901cbd2cdf6eeb9cd632e4324bcc69
com.bagridb	bagri-core	1.1.0		c3f275eacee17376dc4b00a220ad142aef45d0af
com.bagridb	bagri-core	1.1.0-EA2		68f72ae35972e07578d0eba037c474182ef75daa
com.bagridb	bagri-core	1.1.1		e8a545462ee66bea85f10700cecb127ecfc3f943
com.bagridb	bagri-core	1.2.0		a6656fa0d7974efb84af2f8104424aabcb9a4322
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.10.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.10.0	metadata	f9372c51c506065f22d93abccca1495150094c08
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.11.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.11.0	metadata	7be7cd48f8e5ac31ce2442011ac59aeb468c0373
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.12.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.12.0	metadata	120cd59c48e51041f86debaaaca666be0a1659d1
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.9.0		N/A
com.bidyut.tech.seahorse	seahorse-ktor-watchosarm64	0.9.0	metadata	b2bf978442ff99d5f9f94067767de2ecf1fc3e9f
com.bigossp	max-mediation-spec	4.0.2.0		N/A
com.bigossp	max-mediation-spec	4.1.0.0		N/A
com.bigossp	max-mediation-spec	4.1.1.0		N/A
com.bigossp	max-mediation-spec	4.1.2.0		N/A
com.bigossp	max-mediation-spec	4.1.2.1		N/A
com.bigossp	max-mediation-spec	4.1.3.0		N/A
com.bigossp	max-mediation-spec	4.2.0.0		N/A
com.bigossp	max-mediation-spec	4.3.1.0		N/A
com.bigossp	max-mediation-spec	4.3.2.0		N/A
com.bigossp	max-mediation-spec	4.3.2.1		N/A
com.bigossp	max-mediation-spec	4.4.0.0		N/A
com.bigossp	max-mediation-spec	4.5.0.0		N/A
com.bigossp	max-mediation-spec	4.5.1.0		N/A
com.bigossp	max-mediation-spec	4.5.1.1		N/A
com.bigossp	max-mediation-spec	4.6.1.0		N/A
com.bigossp	max-mediation-spec	4.7.0.0		N/A
com.bigossp	max-mediation-spec	4.7.1.0		N/A
com.bigossp	max-mediation-spec	4.7.2.0		N/A
com.bigossp	max-mediation-spec	4.7.3.0		N/A
com.bigossp	max-mediation-spec	4.7.4.0		N/A
com.bigossp	max-mediation-spec	4.8.0.0		N/A
com.bigossp	max-mediation-spec	4.8.2.0		N/A
com.bigossp	max-mediation-spec	4.9.0.0		N/A
com.bigossp	max-mediation-spec	4.9.1.0		N/A
com.bigossp	max-mediation-spec	5.0.0.0		N/A
com.bigossp	max-mediation-spec	5.0.0.1		N/A
com.bigossp	max-mediation-spec	5.0.2.0		N/A
com.bigossp	max-mediation-spec	5.1.0.0		N/A
com.bigossp	max-mediation-spec	5.2.0.0		N/A
com.bigossp	max-mediation-spec	5.2.1.0		N/A
com.datamountaineer	kafka-connect-rethink	0.3.0		b259b5daea75adbfaa63a1274a887e857268ae89
com.datamountaineer	kafka-connect-rethink	0.3.0	scaladoc	bb0c1a19b38512099e713af105896e48f61c6633
com.datamountaineer	kafka-connect-rethink	0.4.0		21234521ae648df459207b719220eae3a94554f4
com.datamountaineer	kafka-connect-rethink	0.4.0	scaladoc	3dcd53c69199aa36a06c94ba29883fe75850a9ed
com.datamountaineer	kafka-connect-rethink	1.0.0		949b0ed61e2f492df47fa3daef050c729f8f23f9
com.datamountaineer	kafka-connect-rethink	1.0.0	scaladoc	669410606d06403928a6425bb81178d094079db7
com.datamountaineer	kafka-connect-rethink	1.1.0		648225db46e81ecb9d0a477ecd1c7f2ffaafbe59
com.datamountaineer	kafka-connect-rethink	1.1.0	scaladoc	7a12df2ba3106337ad841459ca8a8abd37628f1f
com.datamountaineer	kafka-connect-rethink	1.2.0		26740404a6340fdd681670b7ec850f432b4e8211
com.datamountaineer	kafka-connect-rethink	1.2.0	scaladoc	5c43ea655a39c067c21d36847c9a803c2cbf3ddb
com.dpforge	autoprefs-annotation	1.0.0		343e4f67b6ca6fe92c4408cee97c051c699541a4
com.dpforge	autoprefs-annotation	1.0.1		90def7d707f277e91d7fe3f22358b0916a53555a
com.dpforge	autoprefs-annotation	1.0.2		1155b9680962b7e50dcdd709106fd9c95f63afa4
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	0.0.3		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	0.0.3	metadata	1e70db0b4aa590e2077f1c44c27410d6d25d67d2
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.26.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.26.0	metadata	73f8c4f4a411ac2a40d536876e58399f8aa6b6ec
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.26.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.26.1	metadata	142e10e4a05b005210bda93d226a832c35ccfe7d
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.27.0		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.27.0	metadata	69ecbc65996e6b573d8c4ecd550c3ed9c42c6911
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.27.1		N/A
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.27.1	metadata	090a04c5e6d065639bf8cbd83db825f8cec7150f
com.fresco-kitchenos	kitchenos-client-sdk-configuration-api-iosarm64	1.27.2		N/A
