br.com.objectos	cvm-cia	0.1.0		39503a5ffc4d2a829f9538ba43701722411ac79b
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.12		1415253c458657ab9d530a7ef927dc9f4360463b
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.13		04a477a0577bb95fb9bab8d5f63b3fb3f9a3cc72
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.14		2eef2f44e7cf1510fda8ae02255b367b80cd83bc
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.15		d197e9db603d9fcf847045ed2cdd0ab8291887e6
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.16		50ee691fb0a232059b50c760e02fcedf4a7af27e
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.17		05433aef14c175dd3616c158afac0ab834596594
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.19		2eb76ae69da41c0e6950d3a5c4b356975e36002e
ch.codeblock.qrinvoice.documents	qrinvoice-documents	1.20		5ea84fed2dcf12b12f529963e255987e9b5206b8
cn.jiguang	jpush	2.1.8		N/A
com.baudoliver7	ool-survey	0.1		b7faceba12e05c0874774f979d076dcc49e83add
com.baudoliver7	ool-survey	0.1	jar-with-dependencies	5c65951134beb596d2dcc4325b18c65aea195689
com.codacy	foundation-json_2.12	10.0.0_play_2.6		ade64b6beeb41feb69d6be456a641b93af46cbe2
com.codacy	foundation-json_2.12	10.0.0_play_2.7		f2f89dbac413e7fb28158038454a0caa3cf0b86c
com.codacy	foundation-json_2.12	10.0.1_play_2.6		a4adc5b4fae38a45fc31fa8a7b789abd046d88e4
com.codacy	foundation-json_2.12	10.0.1_play_2.7		a1935ec61eae3d3d4f33707398b5aa1c310d125f
com.codacy	foundation-json_2.12	10.0.2_play_2.6		2ee6ba813ecb5cf182e026cde079b3f3bc45833e
com.codacy	foundation-json_2.12	10.0.2_play_2.7		03939b722b95b4b8268433026b5b89f398c9eaaf
com.codacy	foundation-json_2.12	10.1.0_play_2.6		2fdb82a842234f71fc77bcd2897159649a018327
com.codacy	foundation-json_2.12	10.1.0_play_2.7		752ce4ad92548bece947ade38bb2ace8bb586a25
com.codacy	foundation-json_2.12	10.2.0_play_2.6		51dbfaa527562f51326ef5d6e3f501b48e026973
com.codacy	foundation-json_2.12	10.2.0_play_2.7		bb391e850862a9a5c4a68b6a23e6877f33ac08e5
com.codacy	foundation-json_2.12	10.2.1_play_2.6		10769b3ee9c75fb676024348f1953c71dd701927
com.codacy	foundation-json_2.12	10.2.1_play_2.7		7f1dab37de2b15ba07a5fbfc90d9591b6520b995
com.codacy	foundation-json_2.12	10.3.0_play_2.6		ac4e66d9063fb370b2e18e13850aad70e16f0e6f
com.codacy	foundation-json_2.12	10.3.0_play_2.7		c67bf4473c233e159deb0380bcf4059ad53d86f2
com.codacy	foundation-json_2.12	10.4.0_play_2.6		3721f796cb6a4ec6e2035d61efed346914945579
com.codacy	foundation-json_2.12	10.4.0_play_2.7		8cab5137f3ce2db067f6b92af53608acdc8bcf6e
com.codacy	foundation-json_2.12	10.5.0_play_2.6		03a0f4265f6e33da0e38aff8c323f210c75ec9ea
com.codacy	foundation-json_2.12	10.5.0_play_2.7		079c8cf2f8cf2fd1e5806100fb54f312ac9bc64e
com.codacy	foundation-json_2.12	10.6.0_play_2.6		b3c8a6b62e311eb820c885a68f4a8aed68991151
com.codacy	foundation-json_2.12	10.6.0_play_2.7		5f3de9139bbf66c39c2bfe00c1b999495f8f56ca
com.codacy	foundation-json_2.12	10.7.0_play_2.6		8311f87262446de9f91b0dd621d77fac9e0512f4
com.codacy	foundation-json_2.12	10.7.0_play_2.7		97f3285c21a978a89e14eaf5c9062526eed1453e
com.codacy	foundation-json_2.12	11.0.0_play_2.6		4abf618e29a8b20d265de1e4b8e4105aec796b98
com.codacy	foundation-json_2.12	11.0.0_play_2.7		f7410f3058345ad54f1887f23333c5cd0fea97e3
com.codacy	foundation-json_2.12	11.0.1_play_2.6		1038c441bc3bbe2c301af126bf0fc5c33be81638
com.codacy	foundation-json_2.12	11.0.1_play_2.7		a1eafe1ce3e3406ce793a2e637af1db0e6165536
com.codacy	foundation-json_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.6		bdeee7950edf8b77f4b0c6b790d8468c842b7d8a
com.codacy	foundation-json_2.12	11.1.0-scala213supporttest.2.bca0241_play_2.7		7701fed36c2badd86b934827e32ffd7d9a87376a
com.codacy	foundation-json_2.12	12.0.0_play_2.6		d2d8aeac620da82dca239aa16070100cb4515adc
com.codacy	foundation-json_2.12	12.0.0_play_2.7		9e30d743e453321e6fc016c35ced0d4715a29f87
com.codacy	foundation-json_2.12	13.0.0_play_2.6		7f6bebcba2037e873bf6670c7a3b71ccfdf49125
com.codacy	foundation-json_2.12	13.0.0_play_2.7		5e8b1348dff3dfbb04ba9e83c4e94fe597ade953
com.codacy	foundation-json_2.12	13.1.0_play_2.6		0ede65dec9beaa5c6cd4c014d3420b7cc85d478a
com.codacy	foundation-json_2.12	13.1.0_play_2.7		8b125214ea204c345750b7ae7338e1a18443d2ec
com.codacy	foundation-json_2.12	14.0.0_play_2.6		924e4fda69f8474042b4ba4bbad3c6f161e658f2
com.codacy	foundation-json_2.12	14.0.0_play_2.7		056b5122c82776048dd7ce6cbf48a3b491c45448
com.codacy	foundation-json_2.12	14.0.0_play_2.8		089209052f8ec5d288ccbf409c19d30182422b20
com.codacy	foundation-json_2.12	14.0.1_play_2.6		e9ebbf6ad8bffdb660f4b68e9d0eb62064fd4288
com.codacy	foundation-json_2.12	14.0.1_play_2.7		9b48e6951bbbe13ed592e11c25031bdbfd3b9d84
com.codacy	foundation-json_2.12	14.0.1_play_2.8		0616ccb9dcc79e5832f58fc0f8f4d35a3721b7cb
com.codacy	foundation-json_2.12	14.0.2_play_2.6		545ffe2ce7a08bc02299a6bd0cae37584e80344a
com.codacy	foundation-json_2.12	14.0.2_play_2.7		e118bcd2aecb792072d5acc472f024ea1d72b3b2
com.codacy	foundation-json_2.12	14.0.2_play_2.8		5704fcc95225d520a8b6499687532418d0c7393a
com.codacy	foundation-json_2.12	14.0.3_play_2.6		9f7cdf4077789a344276f54354cb04f7f51b1fd6
com.codacy	foundation-json_2.12	14.0.3_play_2.7		763ca92eea630a91cc77e15f422ef183084d17ae
com.codacy	foundation-json_2.12	14.0.3_play_2.8		769ff727c41c2bb8e237a60abb20f7ac0478b95b
com.codacy	foundation-json_2.12	14.0.4_play_2.6		c6d404b025f508578c646b8aa92c37fe6ca62a16
com.codacy	foundation-json_2.12	14.0.4_play_2.7		dbb2c007992a56d1cab734aefb69d47758eebc32
com.codacy	foundation-json_2.12	14.0.4_play_2.8		54b08293fee41987b20457b7e5f380b6a20d9798
com.codacy	foundation-json_2.12	15.0.0_play_2.6		5ff832dfb6ca35c8090e95c9be5fe07fbc8d4569
com.codacy	foundation-json_2.12	15.0.0_play_2.7		941b8b59a0b3cf54076d2170bba73d69fe0d1135
com.codacy	foundation-json_2.12	15.0.0_play_2.8		ad8df228ec0afdb4a1faf77eb6a1f5a2356f0fde
com.codacy	foundation-json_2.12	15.1.0_play_2.6		46f4fc673ebe0d4bc105985b8c0392f8aab148a8
com.codacy	foundation-json_2.12	15.1.0_play_2.7		060fadedbd5335f9e1399689ba847d7e64e30a4d
com.codacy	foundation-json_2.12	15.1.0_play_2.8		73895744ea12565857667b73345a1bbe4eb052d0
com.codacy	foundation-json_2.12	15.1.1_play_2.6		f6a7a2b04251274ce027e81d4f409d479e61e79e
