at.released.cassettes	cassettes-base-androidnativex86	0.1-alpha01		N/A
cl.emilym.compose	mediacontrol-iosarm64	0.1.0		N/A
cl.emilym.compose	mediacontrol-iosarm64	0.1.0	metadata	ce3fca0cd00a35b073c7f405b233234159a87652
cn.dailystudio	devbricksx	1.4.1		N/A
cn.dailystudio	devbricksx	1.4.2		N/A
cn.dailystudio	devbricksx	1.4.3		N/A
cn.dailystudio	devbricksx	1.4.4		N/A
cn.dailystudio	devbricksx	1.4.5		N/A
cn.dailystudio	devbricksx	1.4.6		N/A
cn.dailystudio	devbricksx	1.4.7		N/A
cn.dailystudio	devbricksx	1.4.8		N/A
cn.dailystudio	devbricksx	1.4.9		N/A
cn.dailystudio	devbricksx	1.5.0		N/A
cn.dailystudio	devbricksx	1.5.1		N/A
cn.dailystudio	devbricksx	1.5.2		N/A
cn.dailystudio	devbricksx	1.5.3		N/A
cn.dailystudio	devbricksx	1.5.4		N/A
cn.dailystudio	devbricksx	1.5.5		N/A
cn.dailystudio	devbricksx	1.5.6		N/A
cn.dailystudio	devbricksx	1.5.7		N/A
cn.dailystudio	devbricksx	1.5.8		N/A
cn.dailystudio	devbricksx	1.5.9		N/A
cn.dailystudio	devbricksx	1.6.0		N/A
cn.dailystudio	devbricksx	1.6.1		N/A
cn.dailystudio	devbricksx	1.6.2		N/A
cn.dailystudio	devbricksx	1.6.3		N/A
cn.dailystudio	devbricksx	1.6.4		N/A
cn.dailystudio	devbricksx	1.6.5		N/A
cn.dailystudio	devbricksx	1.6.6		N/A
cn.dailystudio	devbricksx	1.6.7		N/A
cn.dailystudio	devbricksx	1.6.8		N/A
cn.dailystudio	devbricksx	1.6.9		N/A
cn.dailystudio	devbricksx	1.7.0		N/A
cn.dailystudio	devbricksx	1.7.1		N/A
cn.dailystudio	devbricksx	1.7.2		N/A
cn.dailystudio	devbricksx	1.7.3		N/A
cn.dailystudio	devbricksx	1.7.4		N/A
cn.dailystudio	devbricksx	1.7.5		N/A
cn.dailystudio	devbricksx	1.7.6		N/A
cn.dailystudio	devbricksx	1.8.0		N/A
cn.dailystudio	devbricksx	1.8.1		N/A
cn.dailystudio	devbricksx	1.8.2		N/A
cn.dailystudio	devbricksx	1.8.3		N/A
cn.dailystudio	devbricksx	1.8.4		N/A
cn.dailystudio	devbricksx	1.8.5		N/A
cn.dailystudio	devbricksx	1.8.6		N/A
cn.dailystudio	devbricksx	1.8.7		N/A
cn.dailystudio	devbricksx	1.8.8		N/A
cn.dailystudio	devbricksx	1.8.9		N/A
cn.dailystudio	devbricksx	1.9.0		N/A
cn.dailystudio	devbricksx	1.9.1		N/A
cn.dailystudio	devbricksx	1.9.2		N/A
cn.dailystudio	devbricksx	1.9.3		N/A
cn.dailystudio	devbricksx	1.9.4		N/A
cn.dailystudio	devbricksx	1.9.5		N/A
cn.dailystudio	devbricksx	2.0.0		N/A
cn.dailystudio	devbricksx	2.0.1		N/A
cn.toutatis	void-kotlin-runtime-support	1.9.20		N/A
cn.toutatis	void-kotlin-runtime-support	1.9.20-1		N/A
com.antonchernyshov.integrations.appinsights.aws.ec2	spring-boot-configuration	0.1		e2a209da37b7a874bf084d2cf08e257d61e73cf5
com.apollographql.apollo3	deprecated-apollo-idling-resource	3.0.0-alpha01		N/A
com.apollographql.apollo3	deprecated-apollo-idling-resource	3.0.0-alpha02		N/A
com.apollographql.apollo3	deprecated-apollo-idling-resource	3.0.0-alpha03		N/A
com.apollographql.apollo3	deprecated-apollo-idling-resource	3.0.0-dev13		N/A
com.apollographql.apollo3	deprecated-apollo-idling-resource	3.0.0-dev14		N/A
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.0		bf136c1be7226945868f81334b577080b4351b2f
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.0-M1		0e10b4b44c83787c7d721aeba2db6fd0cae203b8
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.0-RC1		52a52c77f7510ebcc3e6ffd64a14bb1fd47798b8
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.0-RC2		16ab41760ee9ba2544ed5377f93a90f59eaaa178
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.0-RC3		3d349c034531c93fc906014a289fe0067d7a07ca
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.0-RC4		b1e959da1928322a32181c9b43a1c344c741c7fc
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.1		97af26576c6ae7b27271d85aeed00ee6c257090c
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.2		8c1d35566c96e766662372fde24ee6dcb145e4c3
com.azavea.geotrellis	geotrellis-spark_2.10	0.10.3		b2204e8d859e8b4ace6134c279d5450167e2cdd4
com.codemettle	stream-util_2.13	1.0.2		f63edf85aa4e5e6c606371a01057eeae051fbcc0
com.codeminders	javadrone-api	1.3		21aebbba6c7c26a950fc5de0adac255aa279d33e
com.flipboard.goldengate	compiler	1.1.0		2e71b4e8eb1ac32012135fe86ad5edb00aed67ac
com.flipboard.goldengate	compiler	1.2.0		621e50d824a1dcf93ff995876387fbbadb6030df
com.flipboard.goldengate	compiler	1.3.0		8bf238d35bf87c8924f437bb91991fdef59329b6
com.flipboard.goldengate	compiler	1.4.0		2c1233ac8642c5ba31ba76051fd1cbf8ca7c603a
com.github.housepower	clickhouse-native-jdbc-shaded	2.3-stable		3d6c192498e433cacc192b4716f2cccc05c01bcd
com.github.housepower	clickhouse-native-jdbc-shaded	2.4.0		3b656ec5d9271caee3b0d63e902b97943457951f
com.github.housepower	clickhouse-native-jdbc-shaded	2.4.1		a0f06ab708c3ce8d0e1f4ebf78f56527103c402a
com.github.housepower	clickhouse-native-jdbc-shaded	2.4.2		b7f1a52bda10f49d649146edef11ee3aa3bbdb1c
com.github.housepower	clickhouse-native-jdbc-shaded	2.4.3		c92317e779c75bce7d41e139d553973da26f303f
com.github.housepower	clickhouse-native-jdbc-shaded	2.4.4		95cf458ce52d3ea235acbeaa5a2deca8bb1cbf0b
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.0		f92252c4595433ff362100b3d1db970cf5141371
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.1		2ef3ad8f6f5d964ff3c39292877fae4c22a3a024
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.2		32268b69e6b193793b585acc30864886dee26c98
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.3		beea05106c05e1eab42ee8ea52390d5d3b6dcac3
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.4		3113c0555c9ef99ee8955e7a44fbbbe62b0e313a
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.5		9e6045157a5c1ded54687f2318e97b2aa04f0b25
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.6		e8ef30f334ffbf769fcf6a17f2c72326731f6a7a
com.github.housepower	clickhouse-native-jdbc-shaded	2.5.7		8ad455061cfbac2e2a18fc1880b6ad0c9e41d777
com.github.housepower	clickhouse-native-jdbc-shaded	2.6.0		19486b965f44c828c2dad44f4c10016dace69826
com.github.housepower	clickhouse-native-jdbc-shaded	2.6.1		06b96c108da2c6059a92f7a039bacdf029b1fa15
com.github.housepower	clickhouse-native-jdbc-shaded	2.6.2		f5b92ee317277f1af9ed583ac9c9ebcc6ca98668
com.github.housepower	clickhouse-native-jdbc-shaded	2.6.3		3fea640cba7122e9df75e2bbadbf0bb71649ba2e
com.github.housepower	clickhouse-native-jdbc-shaded	2.6.4		9d6121c02e8d4d5c938076cc23e16ad3b8e8b00d
com.github.housepower	clickhouse-native-jdbc-shaded	2.6.5		425aae7676127848d07926c68452cc52d965ad4c
com.github.housepower	clickhouse-native-jdbc-shaded	2.7.0		e4b6bb52ca8669eab24fe4df623a92ebc7b11f36
com.github.housepower	clickhouse-native-jdbc-shaded	2.7.1		db17b1053501676ecc9fbc0bfade41aaa5ee5475
com.github.jakimli.pandaria	pandaria-graphql	0.3.0		e4d71b1ea6138b1fb91553f71ee4f91efeff6f0c
com.github.jakimli.pandaria	pandaria-graphql	0.3.1		2b81cd62e4db8ec49224cdc42118bee8cba47a31
com.github.jakimli.pandaria	pandaria-graphql	0.3.2		ab976f2625bb33cc6a018ef15f00ed498d3d355d
com.github.jakimli.pandaria	pandaria-graphql	0.3.3		62256b6dee076946d73dd3a723add7605aaedb86
com.github.jakimli.pandaria	pandaria-graphql	0.3.4		2242a93c0c989a92ddb27e5f40d9d74b1aa3d8ac
com.github.jakimli.pandaria	pandaria-graphql	0.3.5		0ade9c1f6388b4eb31a83d746345ba5ef2bc9309
com.github.japgolly.microlibs	stdlib-ext_3.0.0-RC1	2.6-RC1		17e703b18e4fe7386fe73297afd957c639fe2196
com.github.japgolly.microlibs	stdlib-ext_3.0.0-RC1	2.6-RC2		86b838a9081afc8413ba35b44f27a8fbd76ed039
com.github.linyuzai	concept-download-source-okhttp	1.0.0		f1b8a6f4c12344fe93ad23a89e45b53c72532df8
com.github.linyuzai	concept-download-source-okhttp	1.0.1		d6812f594aeaa71bf5430cd56066a30bbb13339b
com.github.linyuzai	concept-download-source-okhttp	1.0.2		4a7b295627797ffdb26da434629ab5c2e107eb2a
com.github.linyuzai	concept-download-source-okhttp	1.0.3		605f9eca80a375c6b6f9f39e026d1ed9597a4a71
com.github.linyuzai	concept-download-source-okhttp	1.1.1		553e2d4a62f798ec6c05468c1a006df3ce78742c
com.github.linyuzai	concept-download-source-okhttp	1.1.2		439c5fc75d6bb2f3be10af2ee64521f9889cf218
com.github.linyuzai	concept-download-source-okhttp	1.1.3		a1e2cdd53823997cfa56778bc7efe195f9b951d2
com.github.linyuzai	concept-download-source-okhttp	1.2.0		5d70e39411109e17f00e5507511b013f6e24ee3b
com.homeaway.streamingplatform	stream-registry-core	0.3.1		6ed8a496adae375176de175a6fcc697023d138f0
com.homeaway.streamingplatform	stream-registry-core	0.3.2		8f13bc330069014de790b90a14f8e897971b9a53
com.homeaway.streamingplatform	stream-registry-core	0.4.0		3ef10ebb024d28d0bebb02d18905e8eda4a52681
com.homeaway.streamingplatform	stream-registry-core	0.4.1		5328c8ed7e16ddf42c5ce78b2044b92361c2d2c8
com.ing.baker	bakery-interaction-spring_2.12	3.0.7		c49a5c5ed7cc3501fd8f3885cc941efc7fc1bc05
com.ing.baker	bakery-interaction-spring_2.12	3.1.0		218061b519ceda4b496ce1b29bfa2da40201aadc
com.ing.baker	bakery-interaction-spring_2.12	3.3.0		265dba70137ea71272e1a5477ba173dd9d9fbbde
com.ing.baker	bakery-interaction-spring_2.12	3.3.1		17c13438afd28958fb3ed9deb93e5d7625aa1f28
com.ing.baker	bakery-interaction-spring_2.12	3.3.2		7e7e498fec70a35eaee7fe39968f40f3b23715a9
com.ing.baker	bakery-interaction-spring_2.12	3.3.3		2533950e1c846a9f499120a910db4d1efe2a5d66
com.ing.baker	bakery-interaction-spring_2.12	3.5.0		a332425a21c164cb3be02b1cbc73801b9289f42a
com.ing.baker	bakery-interaction-spring_2.12	3.6.0		8591eeaae49fa7063b5c8b295fce0586540cc2c7
com.ing.baker	bakery-interaction-spring_2.12	3.6.2		10925e73a75984c1fd180e8e96f78e785436f431
com.ing.baker	bakery-interaction-spring_2.12	3.6.3		b566d986df8fe5d9419ea3075ef7b108dd13b110
com.inthecheesefactory.thecheeselibrary	stated-fragment	0.9.2		N/A
com.io7m.abstand	com.io7m.abstand.core	1.0.0		f9b2e92c0069da32ed61f848d43b9f5d17588da1
com.io7m.abstand	com.io7m.abstand.core	1.0.0-beta0001		ddcab6f92cfbbc6e5af6d27d9ab344ceb1dfff07
com.io7m.abstand	com.io7m.abstand.core	1.0.0-beta0002		44ba826c6024a2e1274db40db7d43724af725eb1
com.io7m.abstand	com.io7m.abstand.core	1.1.0		d31ab4efadba752fb4ce2b627b9ac823b431609b
com.ioki.result	result-macosarm64	0.2.0		N/A
com.ioki.result	result-macosarm64	0.2.0	metadata	6cc520538b572d61f0d4113f85892d1bf3fa34de
com.ioki.result	result-macosarm64	0.3.0		N/A
com.ioki.result	result-macosarm64	0.3.0	metadata	0028c66cdfce93bbe062e623b9bc799eb2561bff
com.jamshedalamqaderi.kmp	appwrite-kmp-jvm	0.0.2		12fd28a83f5299b58fde0cf0cecb6563b2ef99b2
com.kenai.nbpwr	org-apache-commons-io	1.3.1-201002241208		869f946bb23fe2be506e7c5e8fb62842894af57a
com.liferay	com.liferay.headless.delivery.api	1.0.0		96755da5d8573eb90a3af2171045b531d974c75c
com.liferay	com.liferay.headless.delivery.api	1.0.1		65717eb6d9658e722f787d4638ef66acab160b75
com.liferay	com.liferay.headless.delivery.api	1.0.2		9ea66ed2e98cee06902f87a2292ef4ef4107fb6a
com.liferay	com.liferay.headless.delivery.api	1.1.0		5130f86edfabdf494be95dd90e21981f340f3571
com.liferay	com.liferay.headless.delivery.api	1.2.0		d61dc9bae62acb8d4b55af3e92c54df991090871
com.liferay	com.liferay.headless.delivery.api	1.2.1		4b9351ae52a9f501685d60a551f1835f00ed738d
com.liferay	com.liferay.headless.delivery.api	1.2.2		12faf60f36c4693df2af4c112aecb44f9ea3e003
com.liferay	com.liferay.headless.delivery.api	10.0.0		179f137f04404bfaa2c5605be758fbb93db5ba0a
com.liferay	com.liferay.headless.delivery.api	10.1.0		f6c3772506e5796cc78cf4f92fb55bf2ec066e16
com.liferay	com.liferay.headless.delivery.api	10.1.1		a796e0abb7bab519cd0a403814bd061b57bf6f66
com.liferay	com.liferay.headless.delivery.api	10.10.0		80d1bfbe5346fed7bcc32d0ef492403e7acfaaa4
com.liferay	com.liferay.headless.delivery.api	10.11.0		ab0abf1a5f01a2fe7703b7a36e900bb3b33ea6d5
com.liferay	com.liferay.headless.delivery.api	10.11.1		403975d8e046de2cefc8594b56491553cbfa3d58
com.liferay	com.liferay.headless.delivery.api	10.12.0		cd7f36deb3d4a8ac40f2dbd9af44d93f4895eb43
com.liferay	com.liferay.headless.delivery.api	10.2.0		89998074d99fb12530e91e7657c6f1723c772f93
com.liferay	com.liferay.headless.delivery.api	10.3.0		b42c095d28132c600680aa59a6fc315886b3f58e
com.liferay	com.liferay.headless.delivery.api	10.4.0		b41174dc853a8138cb2b4a734a07aef5b9d8229d
com.liferay	com.liferay.headless.delivery.api	10.4.1		16466039d6a442a37255ad8025db1989389b5297
com.liferay	com.liferay.headless.delivery.api	10.5.0		a5238001b0ef12589b43d5e50a948787a01f4b94
com.liferay	com.liferay.headless.delivery.api	10.6.0		7279806f8bb0ebbe82b43e81da5148f78210bf64
com.liferay	com.liferay.headless.delivery.api	10.7.0		e197561b604731bd341c994037f0029eb14daa23
com.liferay	com.liferay.headless.delivery.api	10.8.0		7f0aadbd64544b2942aa858deab916c9c4c4103b
com.liferay	com.liferay.headless.delivery.api	10.8.1		f3eeae078f9f87f89b54660264380942a0aef1c5
com.liferay	com.liferay.headless.delivery.api	10.8.2		7caf96168933877813b03f28a3050f96bce01739
com.liferay	com.liferay.headless.delivery.api	10.9.0		cdee22a06670d46d80b2b204d76dc79dfb9ed4d4
com.liferay	com.liferay.headless.delivery.api	11.0.0		a523cfa947e90aaf1cde4906f8934ac81647428c
com.liferay	com.liferay.headless.delivery.api	11.1.0		f786e51466cbd0304c30942240481f0856989f6f
com.liferay	com.liferay.headless.delivery.api	11.1.1		302e4b16f250ef8800f72d6b69d5dab0e7765503
com.liferay	com.liferay.headless.delivery.api	11.10.0		e133c9b86eae3e5ba9ab54829d52fac09e9cb439
com.liferay	com.liferay.headless.delivery.api	11.11.0		b35ec54eca465ebea10b490569a84beb4175d577
com.liferay	com.liferay.headless.delivery.api	11.11.1		0fde4668e527d9b311f52640ae8055a83f5ed01d
