church.i18n	spring.webmvc.platform	0.3.0		N/A
com.0opslab	opslabJutil	1.0.8		305b190b2b8063bb47b15ba9f055350ecc74dade
com.aliyun	aliyun-java-sdk-aiworkspace	2020-08-14		4bf9d5f3f37c1129c2e045884827644d8180d34b
com.aliyun	linkcard20210520	1.0.0		2b67fe2a59241453ba513b8c17be6e83c72c872d
com.aliyun	linkcard20210520	1.0.0	shaded	2a9c3f868c0a04a05ff4556263b2a2f9ae7974a0
com.aliyun	linkcard20210520	1.0.1		642170860a95dba5571e7de1516049c9e160c3c7
com.aliyun	linkcard20210520	1.0.1	shaded	2d231979f8844d81b0f27f2adb70b3ab503d00fe
com.aliyun	linkcard20210520	1.0.2		4fd4f0d17d9c4432142f8f7c1e085a48685d32e5
com.aliyun	linkcard20210520	1.0.2	shaded	453493068e97f5cee16ab0219d138257730a305c
com.aliyun	linkcard20210520	1.0.3		1b65d43db4d38f6b5693068df48aeb8c97cd6d25
com.aliyun	linkcard20210520	1.0.3	shaded	27fed93b9cce5683e27ed8e90190055c87e8ef01
com.aliyun	linkcard20210520	1.0.4		8e636e5ab8596b9cf4f1540bbeb8842fb07be329
com.aliyun	linkcard20210520	1.0.4	shaded	31b4e61cb7d660a885d7a34038f13026068e9117
com.aliyun	linkcard20210520	2.0.20		ecd30a4a5c9f5962ceaa49f80467c347beed603b
com.aliyun	linkcard20210520	2.0.20	shaded	fb455cff3fe8c6baafd8e8bf8571013f693956d6
com.aliyun	linkcard20210520	2.0.21		3e9fff07ea9685efee8ec921dd25212b57288e69
com.aliyun	linkcard20210520	2.0.21	shaded	f7b33b7475d5c2b90e45ae264d44acdebee8475b
com.aliyun	linkcard20210520	2.0.22		8646e32f565037f8df52763d387b1e887bed9942
com.aliyun	linkcard20210520	2.0.22	shaded	b2898b16ee26adb2da67baa9a8e8b332f636c09b
com.aliyun	linkcard20210520	2.0.23		b2542f74cf5b4699895fcbb87e216b9a1b63196c
com.aliyun	linkcard20210520	2.0.23	shaded	65c2f76e4ecc1398fd66d52d21fdd2a8c4aef69c
com.aliyun	linkcard20210520	2.0.24		f557799c96fae1062ef7ba6ea6b4f37f35776d30
com.aliyun	linkcard20210520	2.0.24	shaded	5b848db2e5d2edff5a2e2b70c6ab2744849cb681
com.aliyun	linkcard20210520	2.0.25		02798cf39104ad62280cacf53e85bfb0000c0bd7
com.aliyun	linkcard20210520	2.0.25	shaded	ea3a48308b964521e8a3caa707b5a3ad73ba3df9
com.aliyun	linkcard20210520	2.0.26		c4cc7a288c49a344cd6948b478133eefb3390c59
com.aliyun	linkcard20210520	2.0.26	shaded	3773ee0a05f90014cc8c80b17fa24b9cc7cfd339
com.aliyun	linkcard20210520	2.1.0		ba654df784d67be638dab979d31456ea68ca3c6a
com.aliyun	linkcard20210520	2.1.0	shaded	9b3755b783e09b37664532ca11671fe6fba65287
com.aliyun	linkcard20210520	2.1.1		52c4335047fb0be50157a485b6a9b6fcd2b0d693
com.aliyun	linkcard20210520	2.1.1	shaded	9698d5461d2ddd1109f1f6adb5ebd4ef5c458187
com.antonyudin.filters.pdf	ay-filters-pdf-itextpdf	1.0		8c1077d8df829b25ce185678cfc726f3f51aadf6
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.0.0		ad5101837b102f520d4f9ee734475b4ca207b6e4
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.1.0		f8d6265d28281c809543a6116bac423d43252d38
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.1.1		882740dcf3c71d3bf16bc25f7ba7ec44928dda6d
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.1.3		1a8b78d4b1dc4119af6d4cd8bb543908f9458e90
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.1.4		0c2578bc273824808953dc082d3fa546e1ddf19d
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.1.5		4355bb2874ebb7c1ad7947af819e8044ef7c7e98
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.2.0		6a550330226700db87e0ee4e107c217f93ae46ea
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.2.2		f28ceb3fff11140a530b83526ad4f27ce5a8ecb8
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.3.0		95310f407be6d3d39d754c6018867dbde5c86858
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.3.1		fd710dfa7efc5d897edba81ed5c7538554291588
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	5.3.2		02b1bd98f1f14022a606504c0015048957576c34
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	6.0.0		1c832a58c4583d68853d243c8b63c4da9ce43a7e
com.c4-soft.springaddons	spring-addons-archetypes-webflux-multimodule	6.0.1		2d32111480a124cae9d8e3b138c16c3a18595b33
com.disneystreaming.smithy	aws-ssm-quicksetup-spec	2025.03.31		14d020d62d402b00855325c11adbfbb320513593
com.disneystreaming.smithy	aws-ssm-quicksetup-spec	2025.04.08		3b712923d8f4e43976b45138889a55e12ca4911c
com.exactpro.th2	codec-oracle-log-miner	0.2.0-dev		64da0112acdf962380495b304ee3c11c8c0794c8
com.exactpro.th2	codec-oracle-log-miner	0.2.1-dev		f017ced399d0e6fc85af347d917cda8d9e4223a9
com.github.developframework	toolkit-base	0.1		e3857d8899b076e069b34a07e6d6a825339b28ae
com.github.developframework	toolkit-base	0.2		c71233855e205517fc131909cd54a670b4df1ef4
com.github.jingshouyan	j-rpc-forward-starter	0.2.0		610b7231c6e430e293739c26850c5a587b4ef89d
com.github.kyleroush	cucumber-generator-plugin-parent	1.4		N/A
com.github.miemiedev	mybatis-callable	1.0		ec3885a2292401eb7fa9ef7eacbc42510e81a794
com.github.rssh	scala-gopher_sjs1_3.0.0-RC3	2.0.0-RC3		52bbfb683f748190d05f0b584fc10c2e6de03af5
com.github.rssh	scala-gopher_sjs1_3.0.0-RC3	2.0.1-RC3		cad8be122cf608bd0518130cecac724eb58c721f
com.github.seregamorph	jvm-arch-maven-plugin	0.1		fd7c2f8096f52fd38fbecdfde78c59fc1181815f
com.github.seregamorph	jvm-arch-maven-plugin	0.2		e707222c0e260a9a020370b3426b2c69284cc859
com.github.soartech	soar-language-server	0.0.10		ead1ac7f6f72c40f14a478869f511c5242864606
com.github.soartech	soar-language-server	0.0.10	all	ead1ac7f6f72c40f14a478869f511c5242864606
com.github.soartech	soar-language-server	0.0.3		32a3050c012742d4ff70fc3121b2fdafe14beae4
com.github.soartech	soar-language-server	0.0.3	all	32a3050c012742d4ff70fc3121b2fdafe14beae4
com.github.soartech	soar-language-server	0.0.5		495156637d78e7a4d70995dd4367b626ef3caf23
com.github.soartech	soar-language-server	0.0.5	all	495156637d78e7a4d70995dd4367b626ef3caf23
com.github.soartech	soar-language-server	0.0.6		c3a503f795fe1c7484e830bbaef4f8944844b66a
com.github.soartech	soar-language-server	0.0.6	all	c3a503f795fe1c7484e830bbaef4f8944844b66a
com.github.soartech	soar-language-server	0.0.7		0fb40fd93ac63c25c3372b83974e32e8d5709cc0
com.github.soartech	soar-language-server	0.0.7	all	0fb40fd93ac63c25c3372b83974e32e8d5709cc0
com.github.soartech	soar-language-server	0.0.8		ae5ab1bf08e7b6b563f9b49b313bc892226ff0d6
com.github.soartech	soar-language-server	0.0.8	all	ae5ab1bf08e7b6b563f9b49b313bc892226ff0d6
com.github.soartech	soar-language-server	0.0.9		9b794a82c58ff8827603303cd79f7856ecbbf44b
com.github.soartech	soar-language-server	0.0.9	all	9b794a82c58ff8827603303cd79f7856ecbbf44b
com.github.soartech	soar-language-server	0.9.0		54bc99369116fed931072a3687111152f34d2853
com.github.soartech	soar-language-server	0.9.0	all	908574d326c8edeee061a377a86cc35cfbf5ebdb
