at.crea-doo.flexdock	flexdock	1.3		N/A
bg.codexio.ai	openai-api	0.8.0.BETA		N/A
bg.codexio.ai	openai-api	0.8.0.BETA-JDK11		N/A
bg.codexio.ai	openai-api	0.8.0.BETA-JDK17		N/A
bg.codexio.ai	openai-api	0.8.1.BETA		N/A
bg.codexio.ai	openai-api	0.8.1.BETA-JDK11		N/A
bg.codexio.ai	openai-api	0.8.1.BETA-JDK17		N/A
bg.codexio.ai	openai-api	0.9.0.BETA		N/A
bg.codexio.ai	openai-api	0.9.0.BETA-JDK17		N/A
cn.itlym	shoulder-starter-web	0.1		44e6b6808e9ca602a95df1587239f3e4976ff420
cn.itlym	shoulder-starter-web	0.3		d22156ae8925d29fb3bbd16b0cd620d56cf0a8b2
cn.itlym	shoulder-starter-web	0.4		2737c236a51882dbc7c3f488006b8adda283795f
cn.itlym	shoulder-starter-web	0.5		ae6fdad698b76ca2b8a48bcb0828d424cfff2733
cn.itlym	shoulder-starter-web	0.6		e45522a6a100c1cae8d5fc5c4a27bc10bfea548f
cn.itlym	shoulder-starter-web	0.7		e2d27c1b1819bf5debbe07a244c9920cec5f8440
cn.itlym	shoulder-starter-web	0.7.1		92fcafa8a205d849842c0e40e03a8ed36b3d0f06
cn.itlym	shoulder-starter-web	0.8		f91ed73fb2b18f44e74af75f9fe9e7b8743efe12
cn.itlym	shoulder-starter-web	0.8.1		e89329647c7574ba1c99ab4eb8fe8c2554af5f74
cn.itlym	shoulder-starter-web	1.0.0		f161979061b0f0f25c188d0bd0d54a8d1331a572
cn.itlym	shoulder-starter-web	1.0.0-M1		1c10faf578e790739e1378ca1ec9b16d6e2678a6
cn.itlym	shoulder-starter-web	1.0.0-M1.1		21b1abf53809c31e3fadd27c0078758d559d1e03
cn.itlym	shoulder-starter-web	1.0.0-M1.2		e244c7dfcab0ac131d7b20097e9baacaf84e617f
cn.itlym	shoulder-starter-web	1.0.0-M2		03856a46b92541c46dc1c3baa92c1e4c3dacd55a
cn.itlym	shoulder-starter-web	1.0.0-M2.1		dff561eddc170bd034615c6b852584ee25e5da86
cn.itlym	shoulder-starter-web	1.0.0-M2.2		8592a32196e7e950fab5492370bc7eb28b9647b0
cn.itlym	shoulder-starter-web	1.0.0-M3		8d98a7af16cd93b2d4128c5d93c4af00d1e23978
cn.itlym	shoulder-starter-web	1.0.0-M3.1		d636015c02cc46834d28b57b7014f4867832ee2e
cn.itlym	shoulder-starter-web	1.0.0-M3.2		cd06e50285f06814142d0271f682f57ed6875f98
cn.itlym	shoulder-starter-web	1.0.0-M3.3		a1a98074136a4ae3fadc5a9f9bc5c206f2c4f051
cn.itlym	shoulder-starter-web	1.0.0-M4		c84d6719d0a2ad5e80b57e200977106ef3189ac7
cn.itlym	shoulder-starter-web	1.0.0-M4.1		65da066c5bad930a50d7bad180b8b8657b30f097
cn.itlym	shoulder-starter-web	1.1.0		4836c25063e64c896d78ed4104154eae0dd66872
com.dexmatech.styx	environment	1.0.0		39b6dadd20f02e9ea7f8c0be44f7ad8318b12de0
com.dexmatech.styx	environment	1.0.10		1918ae068253029498ffd318106d47e260636bad
com.dexmatech.styx	environment	1.0.11		dc8e70d4402c3b26afc3ad40262c631fa4104ec7
com.dexmatech.styx	environment	1.0.12		cde8e8240de63e2423b3b101f251935c37a000e2
com.dexmatech.styx	environment	1.0.17		042cd32ca595a96c7875d94f953ebc6337bb6588
com.dexmatech.styx	environment	1.0.18		b1ce2fad9670b6ce78fcd465e969cfe776ef92fa
com.dexmatech.styx	environment	1.0.19		c6dbd690ebafadff783aaf48dd18ccec77e0f8ef
com.dexmatech.styx	environment	1.0.20		a0b26ed6cb701b4c59a970b414d6e3c4e40d69c9
com.dexmatech.styx	environment	1.0.21		5f53cf6d0c32e4ced3cec67b9156940cbd110402
com.dexmatech.styx	environment	1.0.22		4fd7a2cda95e939db7ecf265737d20e4e963bb57
com.dexmatech.styx	environment	1.0.4		51106a0914b94c7225ba57e7d3e12e12e1f7b83a
com.dexmatech.styx	environment	1.0.6		8670355282cf513e0a0f2b572e94adb7727d03ad
com.dexmatech.styx	environment	1.0.8		e051b06b9eca40ec7445b4b44334847e16a2fbb5
com.dexmatech.styx	environment	1.0.9		6b303154fcdef108ee38b83ab1aebb85325809f8
com.dinstone.clutch	clutch	1.0.0		N/A
com.dinstone.clutch	clutch	1.1.0		N/A
com.dinstone.clutch	clutch	1.2.1		N/A
com.focframework	focAPI	1.7.2		02b03eb62e6d1223447ebfc08b1cad51f1d841f6
com.focframework	focAPI	1.7.3		c3d525f617a08704df88d95f29bd2b4aaa96bc0e
com.github.datastax-oss	commons-io	2.1.0		599fe6a1959bdc3c9824fb7ec96869f1743e7098
com.github.datastax-oss	commons-io	2.2.0		624196e2fe6a09328cf6a4a3b073cc6316e86aa3
com.github.datastax-oss	commons-io	2.2.2		a74f02032149e1f51c78a00b13461e3d1ad528e9
com.github.fomkin	levsha-core_sjs0.6_2.11	0.1.0		2cbf0767af44f356c5977c59f2e8f64f907d25ac
com.github.fomkin	levsha-core_sjs0.6_2.11	0.1.1		7dae96dbac299428fee072e005ce8085a74a23e0
