at.released.cassettes	cassettes-base-linuxarm64	0.1-alpha01		N/A
cloud.altemista.fwk.integration	cloud-altemistafwk-core-integration-jmx-conf	3.0.0.RELEASE		599389ca6969acc5181562d4d10e170fcf9f1ab1
cloud.altemista.fwk.integration	cloud-altemistafwk-core-integration-jmx-conf	3.0.1.RELEASE		624c630bbedf1b8eb52c93aa93d0c4ac80ab5b6c
cloud.altemista.fwk.integration	cloud-altemistafwk-core-integration-jmx-conf	3.1.0.RELEASE		090d4466747a26515db87e458dc187bb74e08cdd
com.adidas.mvi	mvi-watchossimulatorarm64	1.8.1-alpha01		N/A
com.adidas.mvi	mvi-watchossimulatorarm64	1.8.1-alpha01	metadata	14e7c257686d99d3efd5e34d3463836a2a3c2e73
com.adidas.mvi	mvi-watchossimulatorarm64	1.8.2-alpha01		N/A
com.adidas.mvi	mvi-watchossimulatorarm64	1.8.2-alpha01	metadata	14e7c257686d99d3efd5e34d3463836a2a3c2e73
com.aliyun	aliyun-http-okhttp	0.0.1-beta		cf619208d44372f8768c7cc66bec25a5b43b1088
com.aliyun	aliyun-http-okhttp	0.0.2-beta		7b37abb5b790798c7c8f9d1d90d88df611da77a2
com.aliyun	aliyun-http-okhttp	0.0.3-beta		1b11074e34f4ab71262f860fd399e20550e320a3
com.aliyun	aliyun-http-okhttp	0.0.4-beta		f4a040cef1864c791ce085a949fdcc688be016de
com.aliyun	aliyun-http-okhttp	0.0.5-beta		4ca6edc8afa40ae0a41af718601095d092381109
com.aliyun	aliyun-http-okhttp	0.0.6-beta		8d136ee17980218425b62578b964b419f2bfc530
com.aliyun	aliyun-http-okhttp	0.0.7-beta		36ffe0fd95418a0ac7f1634daf281b185461ff8e
com.aliyun	aliyun-http-okhttp	0.1.0-beta		5972fcdbb79d703dca3e7256c773c67af9dba9ed
com.aliyun	aliyun-http-okhttp	0.1.1-beta		a3f0215358ff0a48ae4404199f271a0c45ba718a
com.aliyun	aliyun-http-okhttp	0.1.10-beta		4ff67117cedb359b292b35ce740158992c995bb0
com.aliyun	aliyun-http-okhttp	0.1.11-beta		570bf3253212d01301c325b35ae15cd4d06c3c81
com.aliyun	aliyun-http-okhttp	0.1.12-beta		1660a0138a8006695ec0f3d2d28dfc03ebdc1d3c
com.aliyun	aliyun-http-okhttp	0.1.13-beta		d1794918fd2903c8d613805fbcd7603a41e1c701
com.aliyun	aliyun-http-okhttp	0.1.2-beta		2f5288f97bf94757cd07e3be24275470b4119207
com.aliyun	aliyun-http-okhttp	0.1.3-beta		02d97211248cf23348ce628ecdaeebe4fdfbf14a
com.aliyun	aliyun-http-okhttp	0.1.4-beta		9fcfeef2bc86840a8fb8498ca86c1e90ce35bae8
com.aliyun	aliyun-http-okhttp	0.1.5-beta		b55519d67ec043e6feb17c1487b13d24b07bb35b
com.aliyun	aliyun-http-okhttp	0.1.6-beta		dba85eca490b9287286c66c49e50627f5615e1f4
com.aliyun	aliyun-http-okhttp	0.1.7-beta		c980f112a98e69c57706ee2f0b9af0b3b5d3e845
com.aliyun	aliyun-http-okhttp	0.1.8-beta		33038128bc27aa0e45760a31a7ae46530df7466d
com.aliyun	aliyun-http-okhttp	0.1.9-beta		a8e38ef49339eb96b03419eac7f63d03ce0271ac
com.aliyun	aliyun-http-okhttp	0.2.0-beta		c6256ac06e0d61866d89044199cebd38ed44c22b
com.aliyun	aliyun-http-okhttp	0.2.1-beta		3b95764e56aff8b7d28e3f650cacd0da900452e3
com.aliyun	aliyun-http-okhttp	0.2.10-beta		55b0cfb801c80169e9c067dce8c6b77c55ad4485
com.aliyun	aliyun-http-okhttp	0.2.11-beta		fd6092bf15d40879d8d0c84f1e17f7aeb8f53e91
com.aliyun	aliyun-http-okhttp	0.2.12-beta		93dc73749a5f814d375b3f0820d002f057764fdf
com.aliyun	aliyun-http-okhttp	0.2.13-beta		8f929288e1af68f642c60733f1a5c0fc5ade7e0e
com.aliyun	aliyun-http-okhttp	0.2.14-beta		142fa8ef45ce829c9d5b3662abe67b61ff43472e
com.aliyun	aliyun-http-okhttp	0.2.15-beta		68a81ac0304099e718c7e486ade7f474c8d760e7
com.aliyun	aliyun-http-okhttp	0.2.16-beta		80279fda64f3c595b99a548e147c8312ead14350
com.aliyun	aliyun-http-okhttp	0.2.2-beta		40b356a3ada71532b706f0b3b370675e832b14d2
com.aliyun	aliyun-http-okhttp	0.2.3-beta		3da7bfa1b20f58a931f34a06906224d3ff52cbdb
com.aliyun	aliyun-http-okhttp	0.2.4-beta		f4725471063ba6f16ddc504584fe3c683edcc03d
com.aliyun	aliyun-http-okhttp	0.2.5-beta		35bdd0658ca65893b229e404fde6c91af606efd6
com.aliyun	aliyun-http-okhttp	0.2.6-beta		776d73f08a4fcf73a6192a0ace33919068b7b492
com.aliyun	aliyun-http-okhttp	0.2.7-beta		91d990cb9aed694f9a02458a51c7c8a16231b76b
com.aliyun	aliyun-http-okhttp	0.2.8-beta		0bef80d6cfc23bab124168bb6b9e638362e45f07
com.aliyun	aliyun-http-okhttp	0.2.9-beta		0c790573b2ab7b77af75c042fb583b936fd21746
com.aliyun	aliyun-http-okhttp	0.3.0-beta		c22799668cdb492d07ae8ca2d40cb39fa2698902
com.aoindustries	ao-appcluster-book	1.0.2		b5de8765c1e21eb37a0c358435a9d9e729a2dbb4
com.aoindustries	ao-appcluster-book	1.0.3		e2a2df55a58a5a37afc060ce8e32d6f4d96415c4
com.aoindustries	ao-appcluster-book	1.1.0		999fbef55896e8823cd22c0c6235d5cd0d32c16e
com.aoindustries	ao-appcluster-book	1.1.1		3b76f9989cca058ef0be77c4008ecb2c142d2c54
com.aoindustries	ao-appcluster-book	1.1.2		71e936db2780a886f18f439abfc0297d752e00f7
com.aoindustries	ao-appcluster-book	1.1.3		cfcd72794fead7c0599b88f7fd34d11b09329da6
com.aoindustries	ao-appcluster-book	2.0.0		N/A
com.avito.android	robolectric	2021.10		ea55c4f59eab79e6cdddea03a5911627fe7a2428
com.avito.android	robolectric	2021.11		06ce11ad0cc73bed957fa1b4318bf6ac0fcf5181
com.avito.android	robolectric	2021.12		3ed141d35671674079ef397b8bd170ec6b9f0c51
com.avito.android	robolectric	2021.13		f9ae66ce282a80822cd16e28278e84fde5be3c6c
com.avito.android	robolectric	2021.14		38ddcf36ed120395f678cf30d845cd1b01e2a389
com.avito.android	robolectric	2021.14.1		f07017f5a533a51957246ed7acc4fbe76e942fd8
com.avito.android	robolectric	2021.15		f9a209825ead006b3d4bd355e6f9efbecaf3b962
com.avito.android	robolectric	2021.15.1		4099ecf3b29ecc3d4c7f02d4de03ed143069d5c3
com.avito.android	robolectric	2021.16		4c4edeb68b2abb937518629976a110670a97e8c2
com.avito.android	robolectric	2021.17		0203785a453cd3af444c9b77d535a4777f860d2e
com.avito.android	robolectric	2021.18		1f111dd9e45670a21e3d2e7b773ddee63617e26a
com.avito.android	robolectric	2021.19		e4a28267139b229ba5ef55294e772dc01412e0eb
com.avito.android	robolectric	2021.20		cad904f520c2443b47fa5c2dc3202e52270087f6
com.avito.android	robolectric	2021.21		b3a4f49d4aae4654af10cd5ca02daf4d55dc2468
com.avito.android	robolectric	2021.22		67e6cd1a51f7664ed4157188f3125ab704aabc0c
com.avito.android	robolectric	2021.23		c11f453dd4e1cd328fc8976fdc540be21850031c
com.avito.android	robolectric	2021.24		cd85e5e210e05c0368800c0ef6240f4ff16b7d5f
com.avito.android	robolectric	2021.25		c95bb9f87c616c174e71dfa2201253c3ec4e40b8
com.avito.android	robolectric	2021.26		57229f9519fac155d167fcd866d4c3ff90437b40
com.avito.android	robolectric	2021.27		f7cf32af3db23df091c81d0bb2b939c3f2488129
com.avito.android	robolectric	2021.28		1e013994066caf2bd3da57ad8af3b5b86c1d0c3b
com.avito.android	robolectric	2021.29		9d6724779334dab3192ba07cf4cd3e34c3e80441
com.avito.android	robolectric	2021.30		6c24d8003a37a4683279e654f18af2ee17ba37b1
com.avito.android	robolectric	2021.31		08ac2fa37f8824bd306313745e443858205ce56d
com.avito.android	robolectric	2021.31-agp7		0aa39674fcaa56c2e44cebc3dbb74ebade78d15e
com.avito.android	robolectric	2021.32-agp7		e0d0b5e0953842896bcb7bd6b005449e87789c3a
com.avito.android	robolectric	2021.7		837f4f5096f784105571419729f1482c7a86d49d
com.avito.android	robolectric	2021.8		310142f0f301abea08dfed93d2469388fdfb000e
com.avito.android	robolectric	2021.9		0f35fbc02f84b61246bdc5052725c13696ed0bb1
com.avito.android	robolectric	2021.9.1		816cd8cbb4b607736978b12f976f7f2b4068cc84
com.beirtipol	date-converters-excel	1.1		15688b8676361115a5b917ced097924da04cd757
com.beirtipol	date-converters-excel	1.2		7bb8548c1d9364cd686dd961bc6781ea7f84b932
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240119.12605.0.vaa5f01df		911f195f9c2c2371f32c67d0f081d8887268a71a
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240122.12612.0.v3b5dce66		ea1f2cfef12879276e956477720e154b04d4b954
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240123.12622.0.vc5c43abe		1869300cbb379944406fbbb677d1118289cf0b25
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240124.12628.0.v318e1d38		c15c0adb1fe242840992a8ae2b6f6695f0afc21b
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240125.12640.0.vf0b61ae5		e20afd5b6a2ed398266e03f09fc83c01bcf09efc
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240126.12648.0.va9dc2d63		340e125f9f4866bc2399a031778434e8c1cf35bf
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240129.12655.0.v90d90ea7		96a255a7483f7fb2c58b78ff584c2b8e4e02a4e8
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240130.12664.0.va195d0f6		337a0f706a44f3aa1cc21a6a226fbf6d65799347
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240131.12677.0.v910a4a9e		41ba1051b49d8508956c09d03f539a810acb0488
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240201.12683.0.v3b292d00		85643d4f73e91ede9fba4a8f818fbc3dbb37136c
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240202.12694.0.vd4b0dbc1		c60ad3c94e4152c91a679bd21a4fa5087bbf3eab
com.daml	test-common-semantic-tests-java-2.1	3.0.0-snapshot.20240206.12702.0.v3b408892		eed0d4f76b38d2ea29dea46f32ede7a5817f71cc
com.epam.deltix	orderbook-core	1.0.16		dd50358af23860e9013e087c5d64918377f50d76
com.epam.deltix	orderbook-core	1.0.18		50b546cbbf40505117e501d27f26f4c96c6ce19f
com.epam.deltix	orderbook-core	1.0.20		2fc9e13339b069a01a0e1ee1448cbbe75b00c466
com.firework.core	diAndroid	7.0.1		N/A
com.gitee.archermind-ti	fastscroll	1.0.0		N/A
