avalon-http	avalon-http	1.3		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.1.2		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.1.3		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.0		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.0-RC1		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.0-RC2		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.0-RC3		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.1		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.2		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.3		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.4		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.5		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.6		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.7		N/A
br.gov.frameworkdemoiselle.component	demoiselle-certificate-parent	1.2.8		N/A
cc.allio.uno	uno-protocol	1.2.1		N/A
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M10		1a918b9e4810834cd8602898bf55224b3322fa4e
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M11		5245af5b22d6ebd4cd6694793b03278cbf2a0ce3
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M12		31e61b76f7fbf6b49dc4e4ae6296bb48c8271ce9
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M14		4692c38023508e673860199c4794d62dd66b5cb8
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M15		e7c5517a0ea41ac75b5a398a90b956097bea88c8
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M16		501b8d1300ebc6c7475427794e4c756c12f629c9
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M17		7689d7aa7c38ad73651fe01f2b599fd13a3e7a65
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M18		27f1e745a7ee547506614da36a716cee451978fd
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M19		34fc326ae9d4e423dde86d9b213506aa77ac00b5
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M20		2bbd3c401bb98d88ce15c250f9f320967fb20d29
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M8		3ebaf2890fcc86bde7c8d4853462a6b38de41c47
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-M9		97b3bab01df3c5a9ed76ca53a75b4ff808b2276f
ch.epfl.scala	scalafix-cli_2.12.6	0.6.0-RC1		fb5988da4d3337700f2f801f3dd94a6bc04fc7e2
ch.epfl.scala	scalafix-cli_2.12.6	0.7.0-RC1		80a401817a5c6c4fd11d05da8e84bcd99c2a4540
ch.epfl.scala	scalafix-cli_2.12.6	0.8.0-M21		3bce30525cb941af85d6ac2d5fb4361868caa136
ch.epfl.scala	scalafix-cli_2.12.6	0.8.0-RC1		03472e41df2130311405d892cf3d57e555c0d0e7
