br.com.jbugbrasil.bot	welcome-message-plugin	1.0-Beta		ce6352a1f45523170e100b421ff02688e41cab52
city.smartb.f2	f2-dsl-event-js	0.1.0		N/A
city.smartb.f2	f2-dsl-event-js	0.10.0		N/A
city.smartb.f2	f2-dsl-event-js	0.11.0		N/A
city.smartb.f2	f2-dsl-event-js	0.12.0		N/A
city.smartb.f2	f2-dsl-event-js	0.13.0		N/A
city.smartb.f2	f2-dsl-event-js	0.14.0		N/A
city.smartb.f2	f2-dsl-event-js	0.15.0		N/A
city.smartb.f2	f2-dsl-event-js	0.16.0		N/A
city.smartb.f2	f2-dsl-event-js	0.2.1		N/A
city.smartb.f2	f2-dsl-event-js	0.2.2		N/A
city.smartb.f2	f2-dsl-event-js	0.2.3		N/A
city.smartb.f2	f2-dsl-event-js	0.2.4		N/A
city.smartb.f2	f2-dsl-event-js	0.3.1		N/A
city.smartb.f2	f2-dsl-event-js	0.4.1		N/A
city.smartb.f2	f2-dsl-event-js	0.5.0		N/A
city.smartb.f2	f2-dsl-event-js	0.6.0		N/A
city.smartb.f2	f2-dsl-event-js	0.7.0		N/A
city.smartb.f2	f2-dsl-event-js	0.8.0		N/A
city.smartb.f2	f2-dsl-event-js	0.9.0		N/A
cn.loyom.boot	loyom-boot-plugin-danmaku-douyin	1.0.0-JDK21		60e364d65b03131bfc9598f675076d62ab21d5a1
cn.loyom.boot	loyom-boot-plugin-danmaku-douyin	1.0.0-JDK21	jdk21	60e364d65b03131bfc9598f675076d62ab21d5a1
cn.loyom.boot	loyom-boot-plugin-danmaku-douyin	1.0.1-JDK21		4300e191a2a06fb71db1cfde401ab9d25ecfd118
cn.loyom.boot	loyom-boot-plugin-danmaku-douyin	1.0.1-JDK21	jdk21	4300e191a2a06fb71db1cfde401ab9d25ecfd118
cn.loyom.boot	loyom-boot-plugin-danmaku-douyin	1.0.3-JDK21		9530d211d55fa6449287c70541d3cc1e79b1268a
cn.loyom.boot	loyom-boot-plugin-danmaku-douyin	1.0.3-JDK21	jdk21	9530d211d55fa6449287c70541d3cc1e79b1268a
cn.twelvet	xss-spring-boot-starter	1.0.0		8aa321186811331e09bed05a0cd5356371f39a80
cn.twelvet	xss-spring-boot-starter	3.0.0		b95c238bd038612e7eb7387de09460987e4af2b5
com.bytedance.tools.lancet	lancet-weaver-asm9	1.0.1		a3436115567bbbfb747ac5766dd4ef9b68203bbc
com.c332030	c-web-servlet	0.0.1		cbbd1caabd375ac69fb52379d439de8bb9a8f2e6
com.c332030	c-web-servlet	1.0.0		621dc27f6f182df5a8bb759f4c226dcd8c1e1ba1
com.datadoghq	dd-sdk-android-coil	1.10.0		N/A
com.datadoghq	dd-sdk-android-coil	1.10.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.10.0-beta2		N/A
com.datadoghq	dd-sdk-android-coil	1.10.0-rc1		N/A
com.datadoghq	dd-sdk-android-coil	1.11.0		N/A
com.datadoghq	dd-sdk-android-coil	1.11.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.11.0-rc1		N/A
com.datadoghq	dd-sdk-android-coil	1.11.1		N/A
com.datadoghq	dd-sdk-android-coil	1.12.0		N/A
com.datadoghq	dd-sdk-android-coil	1.12.0-alpha1		N/A
com.datadoghq	dd-sdk-android-coil	1.12.0-alpha2		N/A
com.datadoghq	dd-sdk-android-coil	1.12.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.12.0-rc1		N/A
com.datadoghq	dd-sdk-android-coil	1.13.0		N/A
com.datadoghq	dd-sdk-android-coil	1.13.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.13.0-no-nav		N/A
com.datadoghq	dd-sdk-android-coil	1.13.0-rc1		N/A
com.datadoghq	dd-sdk-android-coil	1.14.0		N/A
com.datadoghq	dd-sdk-android-coil	1.14.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.14.0-beta2		N/A
com.datadoghq	dd-sdk-android-coil	1.14.1		N/A
com.datadoghq	dd-sdk-android-coil	1.15.0		N/A
com.datadoghq	dd-sdk-android-coil	1.16.0		N/A
com.datadoghq	dd-sdk-android-coil	1.16.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.17.0		N/A
com.datadoghq	dd-sdk-android-coil	1.17.1		N/A
com.datadoghq	dd-sdk-android-coil	1.17.2		N/A
com.datadoghq	dd-sdk-android-coil	1.18.0		N/A
com.datadoghq	dd-sdk-android-coil	1.18.1		N/A
com.datadoghq	dd-sdk-android-coil	1.19.0		N/A
com.datadoghq	dd-sdk-android-coil	1.19.1		N/A
com.datadoghq	dd-sdk-android-coil	1.19.2		N/A
com.datadoghq	dd-sdk-android-coil	1.19.3		N/A
com.datadoghq	dd-sdk-android-coil	1.8.1		N/A
com.datadoghq	dd-sdk-android-coil	1.9.0		N/A
com.datadoghq	dd-sdk-android-coil	1.9.0-alpha1		N/A
com.datadoghq	dd-sdk-android-coil	1.9.0-alpha2		N/A
com.datadoghq	dd-sdk-android-coil	1.9.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	1.9.0-rc1		N/A
com.datadoghq	dd-sdk-android-coil	1.9.1		N/A
com.datadoghq	dd-sdk-android-coil	2.0.0		N/A
com.datadoghq	dd-sdk-android-coil	2.0.0-beta1		N/A
com.datadoghq	dd-sdk-android-coil	2.0.0-beta2		N/A
com.datadoghq	dd-sdk-android-coil	2.0.0-beta3		N/A
com.datadoghq	dd-sdk-android-coil	2.1.0		N/A
com.datadoghq	dd-sdk-android-coil	2.10.0		N/A
com.datadoghq	dd-sdk-android-coil	2.10.1		N/A
com.datadoghq	dd-sdk-android-coil	2.11.0		N/A
com.datadoghq	dd-sdk-android-coil	2.11.0-debug		N/A
com.datadoghq	dd-sdk-android-coil	2.12.0		N/A
com.datadoghq	dd-sdk-android-coil	2.12.1		N/A
com.datadoghq	dd-sdk-android-coil	2.13.0		N/A
com.datadoghq	dd-sdk-android-coil	2.13.0-debug		N/A
com.datadoghq	dd-sdk-android-coil	2.13.1		N/A
com.datadoghq	dd-sdk-android-coil	2.13.1-debug		N/A
com.datadoghq	dd-sdk-android-coil	2.14.0		N/A
com.datadoghq	dd-sdk-android-coil	2.15.0		N/A
com.datadoghq	dd-sdk-android-coil	2.15.1		N/A
com.datadoghq	dd-sdk-android-coil	2.16.0		N/A
com.datadoghq	dd-sdk-android-coil	2.16.1		N/A
com.datadoghq	dd-sdk-android-coil	2.17.0		N/A
com.datadoghq	dd-sdk-android-coil	2.18.0		N/A
com.datadoghq	dd-sdk-android-coil	2.19.0		N/A
com.datadoghq	dd-sdk-android-coil	2.19.1		N/A
com.datadoghq	dd-sdk-android-coil	2.19.2		N/A
com.datadoghq	dd-sdk-android-coil	2.2.0		N/A
com.datadoghq	dd-sdk-android-coil	2.20.0		N/A
com.datadoghq	dd-sdk-android-coil	2.3.0		N/A
com.datadoghq	dd-sdk-android-coil	2.4.0		N/A
com.datadoghq	dd-sdk-android-coil	2.5.0		N/A
com.datadoghq	dd-sdk-android-coil	2.5.1		N/A
com.datadoghq	dd-sdk-android-coil	2.6.0		N/A
com.datadoghq	dd-sdk-android-coil	2.6.1		N/A
com.datadoghq	dd-sdk-android-coil	2.6.2		N/A
com.datadoghq	dd-sdk-android-coil	2.7.0		N/A
com.datadoghq	dd-sdk-android-coil	2.7.1		N/A
com.datadoghq	dd-sdk-android-coil	2.8.0		N/A
com.datadoghq	dd-sdk-android-coil	2.9.0		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.0		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.0	metadata	da86d60a1f26647e55fc7ae0d153e439ac5c08c4
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.0-alpha.5		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.0-alpha.5	metadata	d106132b2f5d3e62ff72d23268b58784ee16cc28
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.0-dev.3		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.0-dev.3	metadata	65b9b99727e8c0d90d5e3d40cec298246d3f61ec
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.1-alpha		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.1-alpha	metadata	b4afad11373bd0678c3e2e7999091783e115b706
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.2		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.2	metadata	d4beddb9a98fcba72b4bfe683e458d4975ba7972
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.3		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.3	metadata	689670366bbacb4cd85e495113832ea9d7c18668
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.5		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.5	metadata	926b5dbe516cc864dc43545a77d314de2b9cdd4f
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.6		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.6	metadata	4afe966e51b2dbe55d4130891e28b4a4df289fb6
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.7		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.7	metadata	1a6233088fcc6ffba5bc40717e09c835b3e28500
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.7-alpha		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.7-alpha	metadata	3f63cc7e87f100d0690d7fe10f94a6a356476ad4
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.8		N/A
com.divpundir.mavlink	adapter-coroutines-macosarm64	1.2.8	metadata	985e28ef37d10fe85dc067c2ce3210e45815ff97
com.gitee.chinasoft_ohos	justified	1.0.0		N/A
com.github.code2358	jcdk-wrapper	0.0.1		8eed9dca239732abb5b09748842254c093424757
com.github.code2358	jcdk-wrapper	0.0.2		aba3a9190f01a430479f22648353e1860de76b3c
com.github.code2358	jcdk-wrapper	0.1.0		98929b20890bd15f5837942adae45ca9980141d1
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.0.5		ff45cd2296f58e05a6cf3c6594e2c2581640b4be
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.0.7		d97322906f17381c7b18eb514a541eb69868ebba
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.0.8		70453fea97cdffcdcb714dc2e94e8b789ca89c2e
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.1.2		0479a23962b349234533573bb5781eb26c9a5679
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.1.5		f71ea111b0512ad303d81c5687f1d62ca71f0939
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.1.6		59407dbf5615f0df2cf09e24337a6229873fc2fb
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.1.7		f3bb50a0983e680f473d5fb5c8536c9d00c6a375
com.github.ddphin	ddphin-base-common-spring-boot-samples	1.1.8		7cc0221ab667bb7df9ea6ea141bca2fd66a84937
com.github.jmkgreen.morphia	morphia-logging-slf4j	1.00		80d8457632056bfe9d12724533aa5bcb7c7222d0
com.github.jmkgreen.morphia	morphia-logging-slf4j	1.2.2		5040ea0abb64311e9a1481768479cc45e33bdca7
com.github.jmkgreen.morphia	morphia-logging-slf4j	1.2.3		ffcd9bc4d225746c54d98368f099bbbc18566f3c
com.github.jwt-scala	jwt-spray-json_2.13	6.0.0		c277bd95e88901f6aeb69fd479d0fcb37912e3e2
com.github.jwt-scala	jwt-spray-json_2.13	7.0.0		1d13abea474bf9d716827eace89e5722ee9775fb
com.github.jwt-scala	jwt-spray-json_2.13	7.1.0		78b8c6113aceccf7de315c33c524eb3406db2514
com.github.jwt-scala	jwt-spray-json_2.13	7.1.1		da3a094407dd876dd0e21ab4de5172e24a091ee8
com.github.jwt-scala	jwt-spray-json_2.13	7.1.2		df7d3f5cd9d6f1f8d3aaf9feb9bdbe60394ff6f1
com.github.jwt-scala	jwt-spray-json_2.13	7.1.3		72f1b5955fd852cede54bf0f5f843425183188c1
com.github.jwt-scala	jwt-spray-json_2.13	7.1.4		68c5d7ae85afa0b718181913fc6a266b7646601b
com.github.jwt-scala	jwt-spray-json_2.13	7.1.5		a8d1374c2ec605cfc8126d7c8514c3418a0a7298
com.github.jwt-scala	jwt-spray-json_2.13	8.0.0		c3ae88976f9c0a9175a490dc2e4c1492d7609994
com.github.jwt-scala	jwt-spray-json_2.13	8.0.1		a1bcd3a07816c2132320d7d61d47f6fffaa4eb8e
com.github.jwt-scala	jwt-spray-json_2.13	8.0.2		675efb5e23095ab8bd515c04c92b4a2a9e2db137
com.github.jwt-scala	jwt-spray-json_2.13	8.0.3		b6490b571c5b4bc8022a7f3d821e12604c3c2b12
com.github.jwt-scala	jwt-spray-json_2.13	9.0.0		78cba8526f119596f3249da6795067c62c0def91
com.github.jwt-scala	jwt-spray-json_2.13	9.0.1		8032111a7476daf64d9137ff529d2ec14764b6ce
com.github.jwt-scala	jwt-spray-json_2.13	9.0.2		9caeb6b82d3fcf3f114ce7849d2f03dc0a47444d
com.github.lltyk	dojo-shrinksafe	1.7.2		21beb7ec670715bde98ae4114b48792f9b3309d2
com.github.seratch	sadamasashi-compiler_2.12	0.2		453e6efc3e8b81976c0382a42a3b769dcee65257
com.guizmaii	zio-temporal-core_3	0.6.2		da026be73c963cc77647d56b560133068aeef2e7
com.guizmaii	zio-temporal-core_3	0.6.3		7376ea27d97c68de78b3de754a70e01ca9542bef
com.guizmaii	zio-temporal-core_3	0.6.4		f294a8c5760f949c62869953be1626a9afc6186c
com.iabtcf	iabtcf-gvl-jackson	2.0.5-alpha.0		d93c37ed7d73b1f8f792a4061871e3870023df64
com.interactuamovil.apps.contactosms	im-contactosms-sdk-java	3.1.0		15879115367a626ab355576590f4b965f37b7e5a
com.io7m.jcoronado	com.io7m.jcoronado.extensions.ext_debug_utils.api	0.0.1		69df4d669e7975a6d91730d819ee4991cb4c4f8a
com.mayakapps.kache	file-kache-iossimulatorarm64	2.0.0-rc01		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.0.0-rc01	metadata	fd14772a8ec7db82d78c52ad99a2c576cc8488a9
com.mayakapps.kache	file-kache-iossimulatorarm64	2.0.0-rc02		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.0.0-rc02	metadata	a82f9efb916748401b34061bbdc151f6404c1560
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0	metadata	b7909c2fe7a93820f1f3d96348a75b4e8d4d3236
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta01		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta01	metadata	f832646ea4121c9db5b8a3e6b42b1d00ea05b802
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta02		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta02	metadata	62751f3af397977f5bb949bee2140ec177ceac62
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta03		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta03	metadata	cdd20c52431b8ae882dbdcfc85ab97385589fd1f
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta04		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta04	metadata	560a15feaadcbb0eb803a3e1c2a912fd6a13fcc4
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta05		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.0-beta05	metadata	ba66e92252cff55e7180aea4873e102253c8c42f
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.1		N/A
com.mayakapps.kache	file-kache-iossimulatorarm64	2.1.1	metadata	056fdfd4d8d90ae0896bca4faede2c4aadeebb3e
