avalon-phoenix	avalon-phoenix-loader	4.0.4		d22f2fd3e0277552af4e8b737cfa7ae6d3ea6eb5
city.smartb.im	im-privilege-lib	0.15.0		18f64fa99c1158a8d58366e1d01e3be6a4580bb9
city.smartb.im	im-privilege-lib	0.15.0-RC1		207d5a0b5985d3cc539084dffa2325c232cd4eff
city.smartb.im	im-privilege-lib	0.15.0-RC2		9aeb33b99f56f1e795a63f597ce07474e84a161f
co.touchlab	testhelp-mingwx86	0.5.3-hmpp		N/A
co.touchlab	testhelp-mingwx86	0.5.3-hmpp	metadata	498d126fd6087f7b5ec80f21e568f3acc7668731
co.touchlab	testhelp-mingwx86	0.5.4		N/A
co.touchlab	testhelp-mingwx86	0.5.4	metadata	575dbaf1f09671321be1c99e7711833eb94e9e1a
co.touchlab	testhelp-mingwx86	0.5.5		N/A
co.touchlab	testhelp-mingwx86	0.5.5	metadata	e929cf6c2a3162b133bd251ae0103b42ab22581c
co.touchlab	testhelp-mingwx86	0.6.0		N/A
co.touchlab	testhelp-mingwx86	0.6.1		N/A
co.touchlab	testhelp-mingwx86	0.6.3		N/A
co.touchlab	testhelp-mingwx86	0.6.4		N/A
co.touchlab	testhelp-mingwx86	0.6.5		N/A
com.alibaba.cloud.ai	spring-ai-alibaba-starter-function-calling-weather	1.0.0-M3.3		9bdac01918c69ff737d6a6657055bfea9c7e8c36
com.alibaba.cloud.ai	spring-ai-alibaba-starter-function-calling-weather	1.0.0-M5.1		2c010953dc1e8ad73aefafad11d34ac0f8f54ae1
com.antgroup.antchain.openapi	openapi-testdjbouttr	1.0.1		a590d38c47d18759e34cab5b468631f0f7b25b87
com.apzda.cloud	captcha-provider	1.0.2		c08d3b8a3a8a271c8caae7ca374170709592776a
com.apzda.cloud	captcha-provider	1.0.3		a41e50cdc73699f2ab118c23695fb534cb39166b
com.apzda.cloud	captcha-provider	1.0.4		873b0755354ab686fb5b89bdd7263cfedca288ef
com.apzda.cloud	captcha-provider	1.0.5		0ccf68f8d5f82c54187eacfa6c7ff92813885300
com.apzda.cloud	captcha-provider	1.0.6		e3c09c0f4d6a1fdb3d03e96669756c2760f2571e
com.apzda.cloud	captcha-provider	1.0.7		424baee9d53caab7a3b7c1d4783cdab8328621a1
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200403.3814.0.47541e70		967e3176a1f528512a89977e82c0ff1647cc2a91
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200404.3816.0.30f2c742		967e3176a1f528512a89977e82c0ff1647cc2a91
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200407.3843.0.10bac143		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200407.3859.0.b488b353		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200408.3871.0.b3ccacc0		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200408.3877.0.1ddcd3c0		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	0.13.56-snapshot.20200411.3905.0.f050da78		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.0.0		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.0.1		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.0.1-snapshot.20200417.3908.1.722bac90		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.0.1-snapshot.20200424.3917.0.16093690		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.1.0		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.1.0-snapshot.20200422.3991.0.6391ee9f		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.1.0-snapshot.20200430.4057.0.681c862d		b6bdf1d88eea46c5e2dec3fa271b76e714553767
com.daml	ledger-api-scalapb_2.12	1.1.0-snapshot.20200506.4107.0.7e448d81		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.1.1		87fa6abe52f00ed2aeede59e92243dea93e5347d
com.daml	ledger-api-scalapb_2.12	1.10.0		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.10.0-snapshot.20210120.6106.0.58ef725a		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.10.0-snapshot.20210125.6143.0.550aa48f		4799660d26458572bc9b713195694a441f33c773
com.daml	ledger-api-scalapb_2.12	1.10.0-snapshot.20210201.6207.0.7cf1914d		aa489489c0da34fb0ae665ea84116188c558b0da
com.daml	ledger-api-scalapb_2.12	1.10.0-snapshot.20210202.6218.0.c0573678		aa489489c0da34fb0ae665ea84116188c558b0da
