am.ik.tsng	tsng	0.1.0		73ba4e1b65c13440b14ac1082e69b7e710c2271c
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.18.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.19.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.19.1		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.19.2		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.20.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.21.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.22.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.23.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.23.1		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.7.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.7.2		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.8.0		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.8.1		N/A
com.freeletics.gradle.multiplatform	com.freeletics.gradle.multiplatform.gradle.plugin	0.9.0		N/A
com.github.i-javan	movebrick-redis	1.0		e4d7dd0da057dbd69acc198764e08d05af622c6b
com.github.mengxianun	air-data-result-word	1.0.0		af7ccc11dbea2129dae34775a0a3221a6089f82a
com.github.mengxianun	air-data-result-word	1.0.1		54ffe5b473565f6ff9823008f1bdda27a9dcbb17
com.github.mengxianun	air-data-result-word	1.0.3		3b9af8095bba7acc323c928b323fac6a20e3909c
com.github.naoghuman	lib-tag-core	0.1.0		e13a1d5c3b24de6e56e548c39f28072269788978
com.github.naoghuman	lib-tag-core	0.2.0		9b03336c191254878bbda019e2c9d66d2eedcf39
com.github.naoghuman	lib-tag-core	0.3.0		ce879b72221ce7dc6b39e855a65e686a7f763047
com.github.neothemachine	glge-gwt	0.1.0		88c18a6ab04f18c86c052f8964d1b6a5a5466335
com.github.neothemachine	glge-gwt	0.1.1		a4272b8c2b6a6d3966e9e98881f9602f9bf6bdf5
com.google.cloud	google-cloud-cloudquotas-parent	0.1.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.10.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.11.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.12.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.13.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.14.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.15.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.16.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.17.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.19.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.2.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.20.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.21.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.22.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.23.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.24.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.25.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.26.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.27.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.28.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.29.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.3.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.4.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.5.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.6.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.7.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.8.0		N/A
com.google.cloud	google-cloud-cloudquotas-parent	0.9.0		N/A
com.gu	pekko-stream-brotli_2.13	0.13		58a28214f3807184c251e0d1e375291b37184368
com.gu	pekko-stream-brotli_2.13	0.14		956a1b88d61e0eebd074f58852aa4ac2084aac42
com.gu	pekko-stream-brotli_2.13	0.15		f08d8dcc5a17182c4f45c2417e5ae91e36196dd8
com.gu	pekko-stream-brotli_2.13	0.15.1		91ddffee491aea67a7bfc8c96f90ea450df0a0af
com.gu	pekko-stream-brotli_2.13	0.15.2		f9dd52132f9e57c57a26592aa997bb8a304a94f9
com.gu	pekko-stream-brotli_2.13	0.16		b552f0d8a4b5876d9d62a49961a2bbc4b54c4e25
com.gu	pekko-stream-brotli_2.13	0.16.1		be6150dee4a986bb3a463e9cb792737ee1e0052f
com.gu	pekko-stream-brotli_2.13	0.17.0		f25e4beba75ae59dc51e2a7d5451d625e320191d
com.gu	pekko-stream-brotli_2.13	0.18.0		42bd804aae1df8d867654df444ccf47d739206c4
com.holon-platform.vaadin	holon-vaadin-flow-test	5.2.0-rc1		561f4354927775f5ac282cb1b676385c2b40b10b
com.iamincendium.common	enum-utils	0.1.0		c2413a2929166ccaaa6922ceca5724eef77f4750
com.ibm.cloud	zone-rate-limits	0.21.3		3842166212e1390c7bdaa7cb1dbc47583b45f15a
com.ibm.cloud	zone-rate-limits	0.22.3		7bbcc435e5a7e8d9e868b4dcf80413298d0fbe54
com.ibm.cloud	zone-rate-limits	0.24.0		60840922b2d20d3c229fa346c3ca51d1a8a1839c
com.ibm.cloud	zone-rate-limits	0.24.1		562dc22c64e3aedbb2f757cd6ca6e8da7e00d148
com.ibm.cloud	zone-rate-limits	0.25.0		d7a3ad4ab1397f3392898d33b6371fc92a55d41a
com.ibm.cloud	zone-rate-limits	0.26.0		b45db0886d57096012cc04baf4661db88d26ca3f
com.ibm.cloud	zone-rate-limits	0.27.0		75493481411f01666fcc5b2e620505ff770fd3f1
com.ibm.cloud	zone-rate-limits	0.28.0		12084859feade5f82c3dd554490e13f34ac70d9a
com.ibm.cloud	zone-rate-limits	0.29.0		f61e60045ee8bd041a73d92e88ddc7e0d11859d5
com.ibm.cloud	zone-rate-limits	0.30.0		3694b026f815359f1cc1eefa3b05be1083197148
com.ibm.cloud	zone-rate-limits	0.31.0		526558c08b22132cc2f6a739da68364286c85b60
com.ibm.cloud	zone-rate-limits	0.31.1		a1bafc6abb3b4a0b827c42cafababffcc8accebb
com.ibm.cloud	zone-rate-limits	0.32.0		4553b423a7edd801c49cd6342d517d117fa7ff21
com.ibm.cloud	zone-rate-limits	0.32.1		f8ed862da19e47467dcc436ceeba5ce682e99c9c
com.ibm.cloud	zone-rate-limits	0.33.0		69f4c1379a1667a252469197b5e36582849aa022
com.liferay	org.apache.cxf.jaxrs.json.basic	3.2.14.LIFERAY-PATCHED-1		beb7240a0023d7f2d07f36c169e0c6fcb6d20d0c
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0		656c90912d446a61d2ad00d6cf44e090e808dff7
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-104-076678		7d3557e51179f3cf0db3b640bd94cf659e4b0501
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-174-bdd60a		35ffc040255ebf82bd683a719cf357707099ed43
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-178-c36697		42d95b33365bc8b0ac4df4624d85a954c56b3545
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-222-c61593		feb71ba56ff56e5db1e38e790b7123a8ed3eb3ec
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-228-2dc2a6		c22429d31a65e0397bcd7ea97a415c2db4fb6a23
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-93-a6992e		37bbe2deb4907fd683bf28deea5f40931bd9a508
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M0-95-606de3		1d0bf007712e8acd86721a0abef1b90596101248
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M1		ebfbeb1fdfbf45bfafea70d4734d5ff24619e604
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M1-17-0d25d2		d1bd870bf465ea7d1f1e72bf2f060963f7698c72
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M1-2-c0b707		01efca433647b70daf88d2b4889de371f6783cca
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M1-42-12ae00-DIRTYb430af9		fe8dbb9c8f0bd6b6c1a5fff8ead427e2136e68c1
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M1-43-b217bc		ad5577abc9a610795bde50fbf49c86982c8ee839
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2		ad9d68874bff506c153895b1f4ee4cf60726be34
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-19-7fbdc2		07ab1589dfee1b9399f91f9f86796d45460854fe
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-27-fce393		a54f483b668b415189217d1bb10004f80997bdc7
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-28-ba2985		b18e97767710397636a1b37bea38b509c5937469
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-29-d4e08d		8070c760068c32d6ff273ca28ec2fbd7815d28af
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-33-c98221		c2fbef3061baf5deae0248af65775222fd487bd9
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-39-4c3eb7		a0c5213424dc1dae96ac5a9ea8e0d9a7ddd84338
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-41-b39ce4		d12eb9c6e9ef48b941c1d97ada5a6bc3a518d8f9
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-42-a720c3		ae49e6135eb8457013e290ca00b1914f079fb2e2
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-51-773072		f62b162c9dc2ac3325eda817d66c5a867b194c9b
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-56-51ca83		639621d724f8aca5b2a456f21450f1430fe5f23e
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-57-7578c2		7d0d52bafcfb503989269bcefc5b37e06e7da628
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-59-17fa7b		cf9a354e5f05a77ce19df76984b7e3cae8445386
com.lihaoyi	mill-contrib-twirllib_3	0.13.0-M2-74-132761		855fae27e0e2990d6e2709af88160ca6443fba0c
com.microsoft.playwright	driver	0.129.0-test-1		633c3bf10c585324c6cf44a266b35c68f7473080
com.microsoft.playwright	driver	0.129.0-test-2		de324cb08585cedaad9ef8384360fa2d542879dc
com.microsoft.playwright	driver	0.129.0-test-3		39a1ea8aaa9a091515a977ed0896cd85aa6444b2
com.microsoft.playwright	driver	0.144.0		f93efcaf67105cf061d1df21e3ef0e8f441d054c
com.microsoft.playwright	driver	0.151.0		b433eaddf9a8bbda745e7654c3b30f59c5e672c9
com.microsoft.playwright	driver	0.162.0		b4411f776b5302359c2554f9d6c34138b462ac14
com.microsoft.playwright	driver	0.162.1		2cf030aa747552d2e4e62fea9482edf2c23dbf66
com.microsoft.playwright	driver	0.162.2		2d364779100b92426a3b0b0c4afe0096d0a5a680
com.microsoft.playwright	driver	0.162.3		c7407e951f3b25d6f486087c3d4a40cc42568bc0
com.microsoft.playwright	driver	0.170.0		a91a7148324d58cd531a4ebb4258e6bcde0d062b
com.microsoft.playwright	driver	0.170.2		9d9b191d9a90c428af8e7fbcb5e9fe6be2abc31c
com.microsoft.playwright	driver	0.170.3		43467a80062dd4fa3da3afe6a048212531b7f2e6
com.microsoft.playwright	driver	0.171.0		df2110f5a75cb81f54b1e0ebf812fa118551a77b
com.microsoft.playwright	driver	0.172.3		f45bc4abef82c6ced98d02b21c446a41545c87e9
com.microsoft.playwright	driver	0.180.0		f7d39710fefe03959ab51900afcf5b68b7445db5
com.microsoft.playwright	driver	0.181.0		43fc84a59d0f4cbff6d4ef424654a7d78b71c747
com.microsoft.playwright	driver	1.10.0		db91f3897950231027b1b1e2eb544a111754efb9
com.microsoft.playwright	driver	1.11.0		6708d550537b4bfaef607586696274835b85f106
com.microsoft.playwright	driver	1.11.1		881c9fb1e7ad3052c38f6a86074143cd60791af3
com.microsoft.playwright	driver	1.12.0		f6feb6f398f9aaadf6e95ff0a85c71ce9759d853
com.microsoft.playwright	driver	1.12.1		353b13f67e4340b3b1ee0fd4d9e6fe73fcff8f3c
com.microsoft.playwright	driver	1.13.0		a321aff3c949631ce2723737b375b87505e06436
com.microsoft.playwright	driver	1.14.0		9293669279ea400898e000428317ad722ec42349
com.microsoft.playwright	driver	1.14.1		aa5f343d6731ba83baa07ec2ba6fdce81b80fbba
com.microsoft.playwright	driver	1.15.0		24765f9129ff82e8ed7e4327b15b575f8191936f
com.microsoft.playwright	driver	1.15.1		84ec5541607776bcb0a0d10584accbb629d16b60
com.microsoft.playwright	driver	1.15.2		f36c02598b00178aad9f12a1ac882551acff8e64
com.microsoft.playwright	driver	1.16.0		b17650d5f1c2e37a3f83feed6ea25a3074d30c59
com.microsoft.playwright	driver	1.16.1		985072efdda79718432aef739e23f2f57c427f85
com.microsoft.playwright	driver	1.17.0		c626b57b9701c4bedad1b1f86a2b5e890d792d77
com.microsoft.playwright	driver	1.17.1		662978364fd55b9e7ca1217dd86387df1361f9f8
com.microsoft.playwright	driver	1.17.2		c465b46caff15d7cf82c4d405b40f5eadf8495fa
com.microsoft.playwright	driver	1.18.0		100db362ebbc1020c0b78f61fe7994c87c78e5ef
com.microsoft.playwright	driver	1.19.0		a45d748d5545e4cc15ca6d8a3ad9cba68f92e5ff
com.microsoft.playwright	driver	1.20.0		a0b8e84844e6b121e66d63fe91e10d34f54b86de
com.microsoft.playwright	driver	1.20.1		0bdd004428bf86e8a698d3bfd161da5797bb3cb4
com.microsoft.playwright	driver	1.21.0		de1ea80d3e1113534382707936f710de74467a70
com.microsoft.playwright	driver	1.22.0		022f69a0098c3e16836a3ae54e6cb61ec84d911a
com.microsoft.playwright	driver	1.23.0		4ece51655b56a34affafe6ecd4d170c8c34531a2
com.microsoft.playwright	driver	1.24.0		ad0ef115d3401b60ec0ab2564924e42f44a49ca6
com.microsoft.playwright	driver	1.24.1		55baa420d4d4b01e3e70d99d3cf030453094271a
com.microsoft.playwright	driver	1.25.0		53a036d9b30b6ca58159f03d06ca987fb18ada8f
com.microsoft.playwright	driver	1.26.0		31195f1c4834832311fea90991339263c3fcec96
com.microsoft.playwright	driver	1.26.1		5f42d423fa50684d7c554a99bcd4e4c0690c8d18
com.microsoft.playwright	driver	1.27.0		0ec5024ddbcb001e884151efda5549755020aebb
com.microsoft.playwright	driver	1.27.1		bb5330d0e39a7c589ed6d006feeb75bceaff3efa
com.microsoft.playwright	driver	1.28.0		aa41c9b31b431ebb3968ed20796a8465a8144ad6
com.microsoft.playwright	driver	1.28.1		14b8053417281d84aa7fcd7971edad744a34d41a
com.microsoft.playwright	driver	1.29.0		55e136819c50d3dca77db7368ebe9fbb82687057
com.microsoft.playwright	driver	1.30.0		40d47e13c6275ab3500b4a2c052b48ad594f1e0f
com.microsoft.playwright	driver	1.31.0		3bb0c96425ec2842710875462ed7797c4795ce56
com.microsoft.playwright	driver	1.32.0		8e128affe6eddcd9a38928b9ee60025de3d8a32d
com.microsoft.playwright	driver	1.33.0		8338a2eb0406284ea80f163a6b41f01dd7ccc8f8
com.microsoft.playwright	driver	1.34.0		62b9ec0611466e3e7855b1793c8ddd49a5739095
com.microsoft.playwright	driver	1.35.0		70dc141c9e61c695e0a2c8e0349a4571e9333eb3
com.microsoft.playwright	driver	1.35.1		5b26be516372606cfc55a03442707511b2e82301
com.microsoft.playwright	driver	1.36.0		c8eb781542c7b9fb7aa63853097e97e487a7af6e
com.microsoft.playwright	driver	1.37.0		e212f454023bc3f2d6791ffab9809c6b746cfb83
