ai.wanaku	core-runtime-camel	0.0.4		ac44d7cabd200008b8d23fdd833cf78f223e3a21
cn.rtast.rob	ronebot-onebot-v11-macosarm64	2.9.2		N/A
cn.rtast.rob	ronebot-onebot-v11-macosarm64	2.9.2	metadata	7bc128b49f2a555655a423cf6c58ad1d7b4bac13
cn.rtast.rob	ronebot-onebot-v11-macosarm64	2.9.3		N/A
cn.rtast.rob	ronebot-onebot-v11-macosarm64	2.9.3	metadata	55dc256c252e9021aed59f9e3c6ac2404c52e928
cn.rtast.rob	ronebot-onebot-v11-macosarm64	3.0.2		N/A
cn.rtast.rob	ronebot-onebot-v11-macosarm64	3.0.2	metadata	1c6b665d565f288de891a1f2b856bd282a3271e0
cn.rtast.rob	ronebot-onebot-v11-macosarm64	3.0.3		N/A
cn.rtast.rob	ronebot-onebot-v11-macosarm64	3.0.3	metadata	8341945af7b1816ef22963cfeb4085acd7844491
cn.spatiotemporal	spatiotemporal-web-core	1.0.0-RELEASE		80913179ffb60bdb05185c0bb044915cbc272979
cn.spatiotemporal	spatiotemporal-web-core	1.0.1-RELEASE		aceb7bf8333f00b2e1f38351f1c4de0b0ce98df5
co.aurasphere.botmill	kik-botmill	1.0.0		c6cbe66466a9a5a7fc8e07128d38787da4b489aa
co.aurasphere.botmill	kik-botmill	1.0.1		29b0047f95850aeacabd984eb2e5ab8d8942865a
co.aurasphere.botmill	kik-botmill	1.0.2		79cbf808d7c70ae1acf0a9ecfe98951e54a3a473
co.aurasphere.botmill	kik-botmill	1.1.0		7830e0ad0420052fbbd964b4d1d74ebd3c8fbf97
co.aurasphere.botmill	kik-botmill	1.2.0		21e19d588ee706330d1904424a069118f5f614f4
co.aurasphere.botmill	kik-botmill	1.2.1		38f1d980dd057bd106c5971290efae118a0f740e
co.aurasphere.botmill	kik-botmill	2.0.0-RC1		e366bc3842195cf8455f9922e976b72ba63d04da
co.fs2	fs2-io_3.0.0-M1	2.4-16b3ea4		6bfe11791cac4d2f2cab05e40a4a417773438dc4
co.fs2	fs2-io_3.0.0-M1	2.4-30a57b9		88414aba4a960660f3598ac3897633e8dd002695
co.fs2	fs2-io_3.0.0-M1	2.5-089f71a		9940f43e060ced782f90c233b930fde43fa5bce7
co.fs2	fs2-io_3.0.0-M1	2.5-10-d69e62c		1426ad0a38d5a2b6a6b085b0dabb4e4e5bf20ec7
co.fs2	fs2-io_3.0.0-M1	2.5-18-8b53db4		ab2bc3155ee74bf591c87bed8c8533ea2df16b06
co.fs2	fs2-io_3.0.0-M1	2.5-2-6687023		656c83ad678650730ec9e3baa7a03d26b4131d40
