at.released.cassettes	cassettes-common-xdg-wasm-js	0.1-alpha01		N/A
cc.spray.json	spray-json_2.9.0-1	1.0.0		ebc0fdf9798a8eb5067993a807b010dd3fa0f72f
cloud.latitude	validator	1.0.RELEASE		N/A
cn.com.antcloud.api	antcloud-api-provider-abcdjb1	1.0.0		fccbb616ea4fe7a7a3c080180451746e64796ec5
cn.iisme	iisme-starter-redis	1.0.0		87f0ba47cc8ca5057ac5318871e02f4476dc5839
cn.org.expect	modest-expression	1.0.0		43e3165ab7ec868a9fefe4dfcfdebf454f031d76
cn.org.expect	modest-expression	1.0.1		69746702b9c87abc5e87739726035210eb885c53
cn.org.expect	modest-expression	1.0.2		ab750be76f2612380a7b22af2cca64114769dc72
com.agilistanbul	darklord-server	0.1.1		703e73081327b55a325aa63d24bcc389683cbef5
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.1		N/A
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.1	metadata	51aad0deec409b4be2d35fb62707871f8174a227
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.2		N/A
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.2	metadata	6aa36c4be022e184916b6aecb69a9ac2285e83b1
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.3		N/A
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.3	metadata	66190ea390d10649159c724c82b62f0791124ee2
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.4		N/A
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.4	metadata	9e01eeb2e3f16a60f1eac1bba3b40086f2d5ff17
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.5		N/A
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.5	metadata	50b16f37f72fe11ba8724f90b064d874f6cc3a1b
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.6		N/A
com.apollographql.adapters	apollo-adapters-core-iossimulatorarm64	0.0.6	metadata	fcf043523dd13a71b6932c03c3904bb58e7d293a
com.carrotsearch	jsuffixarrays	0.1.0		4550e9fa538d82ae78d1eaa8aaa028babf3d97b9
com.dimajix.flowman	flowman-client	0.21.0		d5738495166ef8ad195eda19ff2eac6ae0ed84ef
com.dimajix.flowman	flowman-client	0.21.0-cdh6-spark2.4-hadoop3.0		7bd1d8aa33df3e5e6ea7462e5c8bd1fce190e9c2
com.dimajix.flowman	flowman-client	0.21.0-cdp7-spark2.4-hadoop3.1		f64242a6bf10320647749da4c4a2a07b55c9ac77
com.dimajix.flowman	flowman-client	0.21.0-oss-spark2.4-hadoop2.6		4843374a02e912ce151505f7772077451c52652a
com.dimajix.flowman	flowman-client	0.21.0-oss-spark2.4-hadoop2.7		019cbfec4dd8fd14ab086f06376c1f3c0a33f230
com.dimajix.flowman	flowman-client	0.21.0-oss-spark3.0-hadoop2.7		274333c69c6dae1d63f8a2034e5487ec8bfde1f3
com.dimajix.flowman	flowman-client	0.21.0-oss-spark3.0-hadoop3.2		d076f6d2f54686873fe1ca58c21a8bdc7cb37e83
com.dimajix.flowman	flowman-client	0.21.0-oss-spark3.1-hadoop2.7		a0e158ba19fe56fdd1b9f231a8c43c19261c3f2b
com.dimajix.flowman	flowman-client	0.21.0-oss-spark3.1-hadoop3.2		293c08eab92db633d44816f9fc5a499827e8dab9
com.dimajix.flowman	flowman-client	0.21.0-oss-spark3.2-hadoop2.7		c661645bf2c78639a23c3047f8eac93ec58b98e9
