au.net.causal.shoelaces	shoelaces-assorted-integration-tests-container	2.0		44a0e2813586047b264e16fdb63ecfa7366d40b9
ch.ubique.gradle	ubdiag-android	4.2.0		15fc2d5f8dc98f8f9d817786d9c4fa180a0cd3ea
ch.ubique.gradle	ubdiag-android	7.0.0		3bea1bf10f0311a4882bb1b7083796b390632fba
ch.ubique.gradle	ubdiag-android	7.0.1		78353f6aaeb325bd1a0fb6f8658d4d76934adf46
ch.ubique.gradle	ubdiag-android	7.0.2		fd17d8314d35d4b4094ded61e3326b1f8fc84851
ch.ubique.gradle	ubdiag-android	7.0.2-rc01		eb8f13dafdf4ba9ab16adf674eb4c99706a97adf
ch.ubique.gradle	ubdiag-android	7.1.0		19c2a586cf0c9eff038cb984b554cb4f934aabe6
ch.ubique.gradle	ubdiag-android	7.1.0-rc01		cbcfdca915ee34e7cfbaad01f984262245fed428
ch.ubique.gradle	ubdiag-android	7.1.1		5819c5274492d30166dd285b1e7fba3850469222
ch.ubique.gradle	ubdiag-android	7.3.1		c3a05781e5d45e223fc271a459a6fced35054d8c
ch.ubique.gradle	ubdiag-android	7.4.0		153bb39f7af8a53d7b7441c06d88f86de19ccc58
ch.ubique.gradle	ubdiag-android	7.4.1		60549dfcef767dfe28195e0cef02fc490ba9bf97
ch.ubique.gradle	ubdiag-android	8.0.0		bfc02eceb5e54f01dc8392de2f00efd1700d9a69
ch.ubique.gradle	ubdiag-android	8.1.0		2a4e2dd68f166ba951fccb04c002b9eeaef7f875
ch.ubique.gradle	ubdiag-android	8.2.0		9566312bcdce9c53a4c3d58b872f00e93f1b7995
ch.ubique.gradle	ubdiag-android	8.2.1		2724e2e7924ca7c12c67e7b2c0ff98dcd4b1892c
ch.ubique.gradle	ubdiag-android	8.3.0		a9d3324d0a6a57aac26807e76a42ed16da66a576
ch.ubique.gradle	ubdiag-android	8.4.0		82c7d5b29484c6868203352fdbe7b755dc2e51d4
ch.ubique.gradle	ubdiag-android	8.5.0		a137660e1c1ccfc84b2a0fc5349b5ba847ff75e3
ch.ubique.gradle	ubdiag-android	8.6.0		286839945291d3ff1ed274bb284a7cd2bae8417a
