city.smartb.i2	i2-user-f2-set-attributes	0.11.0		d06d3c9a5dfe044027e7368a0fcfa6082e1aa278
co.touchlab	kmmworker-watchosarm32	0.1.1		N/A
com.47deg.xef	tokenizer	0.0.1-alpha.1		d6e82c0be155041deb5443429d15491a85417e66
com.47deg.xef	tokenizer	0.0.1-alpha.2		d6e82c0be155041deb5443429d15491a85417e66
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0		a0f7b0a867f6be8db5662de894c5aa9f81402552
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-19acfb2		fd12cd96787ee46df55fc4f7a7e7101426ea7a72
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-5a26ba3		95e3e64a1740d489bd046b2dc2d066e17539dbad
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-8d943ab		74e8be439be20d0e899e656512fb4aa9543c0d54
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-b0aa866		ab476587e36cc7779b944f6975fc87a6f7b77583
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-ec140e5		d0dd57262bf57df9540976181135f2cd080b6995
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-ef34282		c2f583cedbcc8cd2d70ce304f6792b476f270176
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1-f733cc5		01a947d434e0918871ed9db5159590aebe1db1b2
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1007-cc332a3		c4c82cd47a70de29b37ec9c4869e2601dc734dcc
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1056-7b21e56		9402b12d91d451bc6a8a8ee31285549eb321ad72
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-1084-518675f		d1e4b506dfa0bb3287a7741cd0c5cf44bb8abad0
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-12-4e76a36		f44f02fb43899a3187a0763bcbc1cf820ccc3cfe
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-12-5588515		81b227dbe3c510fb4bc8aec76a870a303590a515
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-12-da4b23a		a31dc124108b95c66f5c7586b1c5a779aac93e16
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-13-5480e8e		992ebbb90895d33501076d646b7acc100a2d498b
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-13-59c8a14		599e974a603a4daffc938cbd793825c5f6df3d31
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-13-aaf8b1f		d277c08509699ade2014f0083836475df15dd660
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-13-d40e0f5		a327241f60414f97f1272ca0eb66b319f37beb3f
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-14-3d1d226		a93988891e9df97a9ea3afa49145028bbdd81a0c
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-14-9775358		afdc7d740d17a9b41dad3e496a99feed45126f29
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-14-b67abe6		63ed96215e0fcedcaf72c22d6d5aaa2d68e72c5d
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-17-b35e401		7bbe20d52e1d92fb528a78950266d1d1ff3e0248
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-18-95c295d		793544289b09cdfb35f55aa161644a6a4e36c228
com.disneystreaming.smithy4s	smithy4s-cats_2.13	0.18.0-19-eb68d3f		e8bc01e1a2c518225e454c700cbb54a3b0856f8c
