ba.sake	kalem-core_2.12	0.0.1		9cc2848bfa1f804a422726c70ab5fef31abe446e
co.cask.cdap	WikipediaPipeline	3.1.0		0cd30896cedb86014f38083123697f2f806363cd
co.cask.cdap	WikipediaPipeline	3.1.1		eed3c3d83c47c59195ff9b259c9fa4449da538df
co.cask.cdap	WikipediaPipeline	3.1.2		d6f155ab1bbaea5cacec03baa3b3db0f6c639e72
co.cask.cdap	WikipediaPipeline	3.2.0		1078def848231e00508c81aa62f677d3964b6a5c
co.cask.cdap	WikipediaPipeline	3.2.1		e2507d80d810795569ed9fa5c472324aba7dde03
co.cask.cdap	WikipediaPipeline	3.2.2		fdbd896c015ad97f9933d03d3a26d52d0d074c31
co.cask.cdap	WikipediaPipeline	3.3.0		b960db8dd323fa64b2f66701e5c316cb416166f8
co.cask.cdap	WikipediaPipeline	3.3.1		2bda4f617904ef2ae7b0ac07b1c1cbc2966e3dda
co.cask.cdap	WikipediaPipeline	3.3.2		303c6f326d8b0961dd1bcd8ac313e6ac83d8b3f9
co.cask.cdap	WikipediaPipeline	3.3.3		5b9b2780f69ad781fc8f9caeb644305dec803203
co.cask.cdap	WikipediaPipeline	3.3.4		5379072ea42e941ff109d47d1c53a01c7d4543c9
co.cask.cdap	WikipediaPipeline	3.3.5		9c76cbd298e60076085472bc029e8b356f095d7f
co.cask.cdap	WikipediaPipeline	3.3.6		8c8a625176fe0b995d9ca4454438a9708d825fea
co.cask.cdap	WikipediaPipeline	3.3.7		2312673900b73a0b9efea74d5d52385aa1ca20cf
co.cask.cdap	WikipediaPipeline	3.4.0		1220c9a4380bfde31bd9c99f8498c750a0e3b480
co.cask.cdap	WikipediaPipeline	3.4.1		c99a76dd2662b3c849895d027175402e303def98
co.cask.cdap	WikipediaPipeline	3.4.2		ebceb0a4eadb954a472cdc2da7b16c4410815f89
co.cask.cdap	WikipediaPipeline	3.4.3		7eb6dbef1f423e872bcafe503beef287cc4b0d33
co.cask.cdap	WikipediaPipeline	3.5.0		20857427aa6ca11772888ac4f9c52d9d8c96d332
co.cask.cdap	WikipediaPipeline	3.5.1		11d6fa66ef8a88e29ef510a682adabf0347ecec1
co.cask.cdap	WikipediaPipeline	3.5.3		7b2f4af3a3c55108ba534f5ec66319df48a36a54
co.cask.cdap	WikipediaPipeline	3.5.4		558c5482357e72e86696661b123e264e94cf3bcd
co.cask.cdap	WikipediaPipeline	3.5.5		46fdb5ffb03640ee52e0cf0aabce9f1bf1864e09
co.cask.cdap	WikipediaPipeline	3.6.0		8543c37611ea4a9acd9df09a9126eb8fabdd2a92
co.cask.cdap	WikipediaPipeline	4.0.0		58482e76095375dcc4d259008c99e8a53e110213
co.cask.cdap	WikipediaPipeline	4.0.1		de7b431dd2d3bde8b32d5435690fa8a93dce4dd7
co.cask.cdap	WikipediaPipeline	4.1.0		489fe02459bc88b1b2217ad4701f94840c84c45c
co.cask.cdap	WikipediaPipeline	4.1.1		76a015fe67160ddb8e77c494848c104be6e9c2fc
co.cask.cdap	WikipediaPipeline	4.1.2		e536ea33c55a7b46dbfdda718ec6682f0fc65693
co.cask.cdap	WikipediaPipeline	4.1.3		e7dd792c2c17cab18524423f738e4c78e8b050ce
co.cask.cdap	WikipediaPipeline	4.2.0		d8371dbf0010e1322386831cf104170ddbe1c15f
co.cask.cdap	WikipediaPipeline	4.3.0		97dbc5f5de81ca98dc4a2f2afc0298e923679ccf
co.cask.cdap	WikipediaPipeline	4.3.1		d20c76d5a6d0116c60f8e59789450080a8575d04
co.cask.cdap	WikipediaPipeline	4.3.2		c060ea2b41ac34021b0277e3acd8670f8f25b7b8
co.cask.cdap	WikipediaPipeline	4.3.3		904cc7f043550859aafb06b96d23713a82945cdf
co.cask.cdap	WikipediaPipeline	4.3.4		11e6aa6dd43b7a5c62bd8a6f51c01fb8ac7d192a
co.cask.cdap	WikipediaPipeline	4.3.5		80b5fa0db8bf8ea61a3c8f11ccf46964dbbd8064
