br.com.objectos	aws-rds-maven-plugin-it	0.1.0		02e28fb8201c46c8764c6ceda30f7b343c25ffbc
ca.dvgi	periodic-core_3	0.3.0		84f46a22a53b5bc1e7326a29919860d0a592fc35
ca.dvgi	periodic-core_3	0.4.0		13374d0124d3c6ff82f98082a1facab673727431
ca.dvgi	periodic-core_3	0.5.0		6e284f9dbb1a01775cd7b123c0bfccb274b3428b
ca.dvgi	periodic-core_3	0.6.0		69f9ea3987eb0a92dd7e15b6303adaf091505a30
ca.dvgi	periodic-core_3	0.7.0		9ba8209e44bfc288f926fe30e3e84c627f244076
cn.herodotus.engine	nosql-core	2.7.10.0		8370386076db0865d91163a4333df32a6efe83b4
cn.herodotus.engine	nosql-core	2.7.10.1		a54bf6ebb753aeecec9ad81616267dc87e90cdd2
cn.herodotus.engine	nosql-core	2.7.10.2		8bc34aa8eb828c6487c16fd7aaa4fb115434286d
cn.herodotus.engine	nosql-core	2.7.11.0		5d3ec60b06c0823082bf3246ca0f4988160f9d02
cn.herodotus.engine	nosql-core	2.7.11.1		cad8a3c4f0373c91c692d7d7bb9f1dfd09c1ea8a
cn.herodotus.engine	nosql-core	2.7.12.0		fa74d7833087f739e41a53d650cf8ecbbde9acd6
cn.herodotus.engine	nosql-core	2.7.12.1		d0167b34c57df935a3552d2b30a47f916c92a73f
cn.herodotus.engine	nosql-core	2.7.13.0		fc8e73946e885f1292613060972581970e4f62c7
cn.herodotus.engine	nosql-core	2.7.14.0		3b8026bb511edd1461030a44eb309ae9217c79e1
cn.herodotus.engine	nosql-core	2.7.15.0		fd488c8e1e409ceb65acaf33283b274542205f6a
cn.herodotus.engine	nosql-core	2.7.16.Final		94cb88d777e2f108581ecdbbb7f58c8e2e77e074
cn.herodotus.engine	nosql-core	2.7.18.Final		936ec4e82f64b82e6d1f7d17b7f8645170695346
cn.herodotus.engine	nosql-core	2.7.3.2		2343e117e1188d0421f1cc2873738d54d736219c
cn.herodotus.engine	nosql-core	2.7.3.3		c60c97803a9b398d40e2cdf92e952787782fad24
cn.herodotus.engine	nosql-core	2.7.3.4		5bc3b51edd3ffac96fddbfab9b58a3da230cedee
cn.herodotus.engine	nosql-core	2.7.3.5		b276fa4ef4cbf310d9026f0112213809fd57578b
cn.herodotus.engine	nosql-core	2.7.3.6		45f4fc9e04a40b67a771b90510b61bd07beb9110
cn.herodotus.engine	nosql-core	2.7.4.0		f496d738fc6d28f0ea04ea65513598a73b32fc66
cn.herodotus.engine	nosql-core	2.7.4.1		8de307644dbd68c9179637d9969169b997b3c65e
cn.herodotus.engine	nosql-core	2.7.4.2		3f6a2f82ff6edecee59a59201952cd828cd55252
cn.herodotus.engine	nosql-core	2.7.4.3		a11f6ae36348554018d2d50837d082687c69a24f
cn.herodotus.engine	nosql-core	2.7.4.4		4869798a03453fa669f1a3d899653c6eb4f5da5e
cn.herodotus.engine	nosql-core	2.7.4.5		d6d3584f786064209e0ef88f129919c8d62e4865
