ch.dvbern.oss.commons-logging-mdc	dvb-commons-logging-mdc-parent	0.0.2		N/A
ch.epfl.scala	bsp-testkit_2.13	2.0.0		e268c9ea28e743d1620f9f2aa2ccb48293d52e60
ch.epfl.scala	bsp-testkit_2.13	2.0.0-M12		8e5430d5004db62caef458ab17bcfba286f26f79
ch.epfl.scala	bsp-testkit_2.13	2.0.0-M13		abef12d1122f53fcbbf6c3dfbc1389a61813c22e
ch.epfl.scala	bsp-testkit_2.13	2.0.0-M14		1f616e595e964150b563fa8972f19026d2bb5521
ch.epfl.scala	bsp-testkit_2.13	2.0.0-M15		e0bdfada6bf416488d853a66fd4f67b57f56ccaa
ch.epfl.scala	bsp-testkit_2.13	2.0.0-M16		6d9325e1132cf24ebb7e8f87298d1fc5d806557a
ch.epfl.scala	bsp-testkit_2.13	2.1.0		3e6b9b1607e1a635de02e7ab01a2237ac4065bb8
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M1		2effebc7cb92d085027bc3af1db086052ea2ba69
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M2		29747f4f578d34fe754793ae7d8bcdba55df0c87
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M3		54f4035a6f5e17170da63ea97f4d111c7110c9a1
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M4		d0caa418bff0df17e4d037d07e62a76c433992d9
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M5		1466907afe23622355521cb7e71480e7087e2d31
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M6		d1af27034f61f5ff00e27998dbb2ba9718463a6e
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M6-alpha		7fda455e9d4bfd639781f1e077665b7d34788a2d
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M6.alpha		0c9282059f828da1bab2389643b8b3805d620e6d
ch.epfl.scala	bsp-testkit_2.13	2.1.0-M7		380966e694991eb23f43351c36acd0ead330c106
ch.epfl.scala	bsp-testkit_2.13	2.1.1		7842a23a1bef0cfad42e82c02864b3b26684cd8c
ch.epfl.scala	bsp-testkit_2.13	2.2.0-M1		9069a90c834788920fa69d58ec0974b2b9ffb6b7
ch.epfl.scala	bsp-testkit_2.13	2.2.0-M1.alpha		5590ceb4b6bbd108e0bb0cbb4b39c054ed292339
ch.epfl.scala	bsp-testkit_2.13	2.2.0-M2		8b4209906d31103dfbd979e06ee9bc24a8954c14
co.pango	sdk-ucr-config	4.9.3		N/A
co.pango	sdk-ucr-config	4.9.3-RC1		N/A
co.pango	sdk-ucr-config	4.9.3-RC2		N/A
co.pango	sdk-ucr-config	4.9.3-RC3		N/A
co.pango	sdk-ucr-config	4.9.3-RC4		N/A
co.pango	sdk-ucr-config	4.9.3-RC5		N/A
co.pango	sdk-ucr-config	4.9.3-RC6		N/A
co.pango	sdk-ucr-config	5.0.0		N/A
co.pango	sdk-ucr-config	5.0.0-RC1		N/A
co.pango	sdk-ucr-config	5.0.0-RC2		N/A
co.pango	sdk-ucr-config	5.0.0-RC3		N/A
co.pango	sdk-ucr-config	5.0.0-RC4		N/A
co.pango	sdk-ucr-config	5.0.1		N/A
co.pango	sdk-ucr-config	5.0.1-RC1		N/A
co.pango	sdk-ucr-config	5.0.1-RC2		N/A
co.pango	sdk-ucr-config	5.0.1-RC3		N/A
co.pango	sdk-ucr-config	5.0.10		N/A
co.pango	sdk-ucr-config	5.0.10-RC1		N/A
co.pango	sdk-ucr-config	5.0.2		N/A
co.pango	sdk-ucr-config	5.0.2-RC1		N/A
co.pango	sdk-ucr-config	5.0.2-RC2		N/A
co.pango	sdk-ucr-config	5.0.2-RC3		N/A
co.pango	sdk-ucr-config	5.0.2-RC4		N/A
co.pango	sdk-ucr-config	5.0.2-RC5		N/A
co.pango	sdk-ucr-config	5.0.2-RC6		N/A
co.pango	sdk-ucr-config	5.0.3		N/A
co.pango	sdk-ucr-config	5.0.3-RC1		N/A
co.pango	sdk-ucr-config	5.0.3-RC2		N/A
co.pango	sdk-ucr-config	5.0.3-RC3		N/A
co.pango	sdk-ucr-config	5.0.4		N/A
co.pango	sdk-ucr-config	5.0.4-RC1		N/A
co.pango	sdk-ucr-config	5.0.4-RC2		N/A
co.pango	sdk-ucr-config	5.0.4-RC3		N/A
co.pango	sdk-ucr-config	5.0.4-RC4		N/A
co.pango	sdk-ucr-config	5.0.5		N/A
co.pango	sdk-ucr-config	5.0.5-RC1		N/A
co.pango	sdk-ucr-config	5.0.5-RC2		N/A
co.pango	sdk-ucr-config	5.0.5-RC3		N/A
co.pango	sdk-ucr-config	5.0.5-RC4		N/A
co.pango	sdk-ucr-config	5.0.5-RC5		N/A
co.pango	sdk-ucr-config	5.0.5-RC6		N/A
co.pango	sdk-ucr-config	5.0.6		N/A
co.pango	sdk-ucr-config	5.0.6-RC1		N/A
co.pango	sdk-ucr-config	5.0.6-RC2		N/A
co.pango	sdk-ucr-config	5.0.6-RC3		N/A
co.pango	sdk-ucr-config	5.0.6-RC4		N/A
co.pango	sdk-ucr-config	5.0.7		N/A
co.pango	sdk-ucr-config	5.0.7-RC1		N/A
co.pango	sdk-ucr-config	5.0.7-RC2		N/A
co.pango	sdk-ucr-config	5.0.7-RC3		N/A
co.pango	sdk-ucr-config	5.0.7-RC4		N/A
co.pango	sdk-ucr-config	5.0.7-RC5		N/A
co.pango	sdk-ucr-config	5.0.8		N/A
co.pango	sdk-ucr-config	5.0.8-RC1		N/A
co.pango	sdk-ucr-config	5.0.8-RC2		N/A
co.pango	sdk-ucr-config	5.0.8-RC3		N/A
co.pango	sdk-ucr-config	5.0.9		N/A
co.pango	sdk-ucr-config	5.0.9-RC1		N/A
co.pango	sdk-ucr-config	5.0.9-RC2		N/A
co.pango	sdk-ucr-config	5.1.0		N/A
co.pango	sdk-ucr-config	5.1.0-RC1		N/A
co.pango	sdk-ucr-config	5.1.0-RC2		N/A
co.pango	sdk-ucr-config	5.1.0-RC3		N/A
co.pango	sdk-ucr-config	5.1.0-RC4		N/A
co.pango	sdk-ucr-config	5.1.0-RC5		N/A
com.admc	gradle-ivyxml-plugin	0.1		e3bd9bf4ed260d2b289fa7d25234f432c0178500
com.admc	gradle-ivyxml-plugin	0.2.0		69acf8d6e61275c2d60557be730d7d261cb0644d
com.admc	gradle-ivyxml-plugin	0.2.1		5bfe1fc22af0783759f770163c211f10013f5f8d
com.admc	gradle-ivyxml-plugin	0.3.0		923c641c2208f33a51b4c059f1ab2543e4e307c4
com.admc	gradle-ivyxml-plugin	0.3.1		50030de072ad1cc59517da71040c42f6aebcf5ab
com.admc	gradle-ivyxml-plugin	0.3.2		e518cb1c680f0046189615dd39774af2f3663f68
com.admc	gradle-ivyxml-plugin	0.3.3		00ce4a49e0bc17c2cbbd0e40db3fb3a8f985277e
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.6.0-native-compose		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.6.0-native-compose	metadata	97ff8b9bca2e2f8e2865a5e93fdce83057ca1fc6
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.6.0-native-compose-01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.6.0-native-compose-01	metadata	786e54e3f91f92843ab12b6c97f3f9a84b082f8a
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.7.0-native-compose-01		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.7.0-native-compose-01	metadata	f42e01c4a7c91c69df479ca0e621db9c16776d4c
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.7.0-native-compose-02		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.7.0-native-compose-02	metadata	58bfd2d75dd1bdb66f8408ed8913c268386e7d8e
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.8.0-native-compose-02		N/A
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	0.8.0-native-compose-02	metadata	7bfecf759f4ea2b280e104249495115ac056deff
com.arkivanov.decompose	extensions-compose-jetbrains-iosx64	1.0.0-alpha-01-native-compose		N/A
