at.noahb	smartInvs	1.4.0	-	dbcb07059a13fc0240d2c166b1e2e29b2507f8c2
aws.sdk.kotlin	taxsettings	1.3.33	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.34	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.35	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.36	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.37	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.38	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.39	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.4	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.40	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.41	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.42	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.43	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.44	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.45	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.46	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.47	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.48	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.49	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.5	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.50	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.51	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.52	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.53	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.54	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.55	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.56	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.57	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.58	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.59	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.6	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.60	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.61	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.62	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.63	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.64	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.65	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.66	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.67	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.68	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.69	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.7	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.70	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.71	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.72	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.73	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.74	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.75	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.76	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.77	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.78	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.79	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.8	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.80	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.81	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.82	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.83	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.84	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.85	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.86	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.87	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.88	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.89	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.9	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.90	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.91	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.92	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.93	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.94	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.95	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.96	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.97	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.98	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.3.99	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.0	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.1	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.10	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.11	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.12	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.13	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.14	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.15	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.16	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.17	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.18	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.19	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.2	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.20	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.21	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.22	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.23	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.24	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.25	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.26	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.27	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.28	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.29	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.3	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.30	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.31	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.32	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.33	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.34	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.35	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.36	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.37	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.38	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.39	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.4	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.40	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.41	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.42	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.43	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.44	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.45	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.46	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.47	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.48	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.49	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.5	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.50	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.51	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.52	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.53	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.54	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.55	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.56	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.57	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.58	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.59	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.6	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.60	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.61	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.62	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.63	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.64	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.65	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.66	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.7	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.8	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
aws.sdk.kotlin	taxsettings	1.4.9	-	a4f3606ab94d4513ab9375bc390cd84d5c65af32
biz.aQute	osgi.enroute.google.angular.webresource	1.5.7	-	B8C6AFF2AC1100C29CBA9FCF9036884CA5394C4A
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	0.8	-	1fa3720424f2f0999d4847769ebcaf7df96f0127
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	0.9	-	a91ebcb1d796c27c995536b1bf9154aa79fe5133
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.0	-	638908917c840c364210e4f567ce09464c7079b3
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.1	-	c302021ec8d1454b626e503f3297a9e1a3427d0f
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.2	-	15bef704b14ad78abf1e0e2aff21188787658065
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.3	-	f4d55f3aefce0427ca07c5f9bf2d7f809b2c7ec2
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.4	-	e7f6d335774d2adc8a1f5a31217887e549fed1d1
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.5	-	b2dd6b199d8a41f7ef663eefe2bb424cedc448b1
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	1.6	-	a232e468c99842aa01e50c9fcd43476bf866713f
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	2.0	-	a2139e2d1c51db794cb856a27abf75302ed957a0
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	2.1	-	2d837ff6048b3608014fc2d0b1f20605bab8efc9
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	2.2	-	a600d54a4c3ea95c06cdfa2c348c1bafa77a3df5
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	2.3	-	5838d9bbe7c0b8f388eda61608f4a2668dc8b5ba
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	2.4	-	8f18ea0e8148d27b0c00dad08c0acec7de463e9c
ca.uhn.hapi.fhir	hapi-fhir-structures-dstu	2.5	-	876cf3f918f9b1e596d0696ca71e4b5f6f022704
ch.exense.step	grid-api	3.6.1	-	d3eea7ba4cc4ca2257fd6d89ddd373b957241eae
ch.exense.step	grid-api	3.6.3	-	a0807e879633489e609b3ac0f603781c88c185e3
ch.exense.step	grid-api	3.6.4	-	302d8a3b5301ba2b202ae945b54de3aeeaa9f75a
ch.exense.step	grid-api	3.7.0	-	25927b3711305f616525d5eea63d1783e548858d
ch.exense.step	grid-api	3.7.1	-	f902da421931a4f24a9bf6103aa268f5d2721ca6
ch.exense.step	grid-api	3.7.2	-	dcecf4ed7c70f41cdd0f5b4700bb6764f3b922d9
ch.exense.step	grid-api	3.7.3	-	b24ee81b4afdfd2c339aa8ccbb915e551b1df55b
ch.exense.step	grid-api	3.8.0	-	cd960d75dae37f96c621966bbbb66a793a8df277
ch.exense.step	grid-api	3.8.1	-	03b331f374292ed99f439cfd9d80357f80887a44
ch.exense.step	grid-api	3.8.2	-	8c26c58e5e8ade01a9b4839d1262dd3afa435757
ch.sourcepond.utils	mdcwrapper-impl	0.1.3	-	43787298808b9dc4038a72e21a8ce7ed4f512400
ch.tutteli.atrium	atrium-api-infix-en_GB-android	0.9.0-alpha2	-	f108e75c00bc351a88709e1bdc7c6afab1585905
city.smartb.cccev	cccev-concept-api	0.15.0	-	f65331723440715478f255693ac4c978298235b6
city.smartb.cccev	cccev-concept-api	0.15.0-RC2	-	804d871f18df3d634e342aa5100884f2b0243b69
cloud.altemista.fwk.webapp.modules	cloud-altemistafwk-webapp-common-conf	3.0.0.RELEASE	-	f83668f996821b6c624842e38b36d36cef1cbc45
cloud.altemista.fwk.webapp.modules	cloud-altemistafwk-webapp-common-conf	3.0.1.RELEASE	-	1c637bf370f3724b8f9a89e0fc8112fac76d265e
cloud.altemista.fwk.webapp.modules	cloud-altemistafwk-webapp-common-conf	3.1.0.RELEASE	-	05f209259604ce1c5ea1e7e3aef8497f9c57f0c7
cn.bctools	jvs-starter-dynamic	1.0.0	-	122913f92dfb1d8341950ca930078e707aa90f29
cn.bctools	jvs-starter-dynamic	1.1.0	-	174f6fe45f70f7d8abf3645b63d907646aabeb5d
cn.hippo4j	hippo4j-spring-boot-starter-adapter-spring-cloud-stream-rocketmq	1.3.0	-	c169966d5200bc36c508f32a4bf22d2a0d2ec57f
cn.hippo4j	hippo4j-spring-boot-starter-adapter-spring-cloud-stream-rocketmq	1.3.0-beta	-	89bddbad936cfc5d0ce420c6bea70fc623a8cd0d
cn.hippo4j	hippo4j-spring-boot-starter-adapter-spring-cloud-stream-rocketmq	1.3.0-beta.2	-	03c8c117ecc3a556c11a52e3d769316b05e72d75
cn.hippo4j	hippo4j-spring-boot-starter-adapter-spring-cloud-stream-rocketmq	1.3.0.alpha	-	ccfcefa17ed610a72ed60afc0605613f259bf1c3
cn.hippo4j	hippo4j-spring-boot-starter-adapter-spring-cloud-stream-rocketmq	1.3.1	-	a337df3ac43107ecd7ffbc39611f19e870d60a27
