app.cash.trifle	cash-security-s2dk	0.1.1		N/A
cn.sliew	build-tools	1.0.1		25fbe0a42ef9769c6a2df9e24abc807b8ab51768
cn.sliew	build-tools	1.0.10		93e5692f6b2947bbb9011a394723b6e98d2ce337
cn.sliew	build-tools	1.0.12		b92b383b6b078b22f80db02643632c64700f0e4a
cn.sliew	build-tools	1.0.13		3fa5e40e572ddc273398e8947913b10abdf13ca3
cn.sliew	build-tools	1.0.14		393142828c69f9e0df1da12b58e2828ead54db90
cn.sliew	build-tools	1.0.15		0a663ba38b5e8cc5d4ba281a6b308cb400e937fa
cn.sliew	build-tools	1.0.16		794adb38b056bb3ac1d0ca204d1b18763815f3d1
cn.sliew	build-tools	1.0.2		68882db5072fc8b06075c7357eb33df2c4200995
cn.sliew	build-tools	1.0.6_8		19a47fd0d8f50ddbe0e89fb99ba81698c04f5df9
cn.sliew	build-tools	1.0.7		7d77a46809f5e7da227e24aacb1c0f6b9e49e614
cn.sliew	build-tools	1.0.9		8134fa109b6acca036d9ae9b0e24862ad5ff349c
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.10.0		0a7727cfb2b6acfb215f34b03922d4694f405370
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.11.0		fa00832a9f90e3bec8fb53a1d244978c0f8c3d3f
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.12.0		36a08bc5da4ab4f813ed27ca0d5fda5527c53545
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.12.1		36ee124140cb370bab2882f2d524d9296b1739b2
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.13.0		25abe6cf49e34de5bc105bb22b822b9047b2d88a
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.14.0		40c87865fc127de8e5bee47658f54633f3d4a879
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.15.0		c6e40783fe483fa9ede6c692975dbf832efe4513
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.16.0		724956be88e1699d722d75f15a81d76067358a44
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.16.1		afd3a29ea1027d046c449eabc5fccb4d82132e03
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.17.0		03cac8df980cb91f74db328189fc1d8589dd6641
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.17.1		336e9e5cc1afaf8bb94e3b3578833bcf073d3cdc
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.18.0		3434287dc0bba183c5f0cbee290b49eaa427ed22
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.5.0		f88cc0c90741afa87b7257220f3584f32913aab4
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.6.0		52d106a9fe3a399e0d38e6f714365e73ea4a4891
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.7.0		4e29cb8b03a2881de943d1532cfa8bd27d6db297
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.7.1		15a969284cd6aa99b1386d431cabea3e08e31bed
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.7.2		8c2bf8a89d8668c7361bec54725acb5ab3f7fae0
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.8.0		f60601861e7ddfb308a56527b4bb0ab69e6564d9
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.8.1		2dab51adce78af0b221a6304821ecbc6f29566c1
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.8.2		fc4065044c45db0a3a0ce9f6bbb2decfde8d0f97
com.aerospike	spring-boot-starter-data-aerospike-reactive	0.9.0		9bf3d5ad01f13724eacff4767775ff538f954030
com.alibaba.edas	edas-sc-migration-starter	1.0.1		ff9d68c4a569d978ec4627975d072df714a51978
com.alibaba.edas	edas-sc-migration-starter	1.0.2		5ceeb533f6b1442e6956edd4b4dd7fd5b79e70d0
com.alibaba.edas	edas-sc-migration-starter	1.0.3		863cba9cd64273ce9258973dd64418d62d31b937
com.alibaba.edas	edas-sc-migration-starter	1.0.4		ed488b96b0a5dfc6f668624d0209a60d8194bfa8
com.alibaba.edas	edas-sc-migration-starter	1.0.5		1d9c717048d2b2fb81a53c6ea6b200c583fcb0e5
com.aliyun	alibabacloud-waf_openapi20190910-async	0.0.1-beta		23dc420031c16c84017b40acd215ddf3bee3de1a
com.amazonaws	aws-java-sdk-panorama	1.12.100		3b81c1b38a14bff8fc27bf74fcd570c72779dcfa
