at.released.wasm-sqlite-driver	sqlite-android-wasm-emscripten-icu-aot-349-jvm	0.7		ba0c7a460057d9f5485d225025dd4b782ac15cc2
club.zhcs	axe-validation	1.2		86c3d7ecad5b9e6c9f93ef872ccedc55b315272d
club.zhcs	axe-validation	1.3		0081a1b1546856284a24ba65357d1b505f9769e7
club.zhcs	axe-validation	1.4		24f079ad254915439173f46b29bc3d1393809663
club.zhcs	axe-validation	1.5		2425bb7c1863961f1911bf2fb14d070c84168fbc
club.zhcs	axe-validation	1.5.13		d90ee9c76c39bf4089deb9c32a4df597e5ad3075
club.zhcs	axe-validation	1.5.13.1		3dca06828673c6880f5dd05098f1c11ab3fa142d
club.zhcs	axe-validation	1.5.13.2		edd06121da7a396a3fc36dd36293dd5a56786f7f
club.zhcs	axe-validation	1.5.14		d962603a14676b171e833ce528f93a2328b13cd7
club.zhcs	axe-validation	1.5.14.1		63669f011c7defd4362674e967766ef8802b7392
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.371		857c47102d6b23c75474aacedf9332a165a7dc4c
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.372		dd90f5a9da741faaf657d4ef0a1a4aa2ca35dc75
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.458		a00a187f5f52fc24fa9a1b909b344e087ba2488c
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.465		727347b1fca0b4ec2af5c8ad04bc8e0c69c06df3
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.472		c43ce65cec07f0ad5d4dec9eba34f28ff26439ce
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.487		6bc39e2be9f5126ef9bdebaab2b6058073a1e5f1
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.503		2582da89ca9530fd27e020dc81dce62c393eb33e
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.516		f06999adf08780fb34002dac69b0b8552d02cfb8
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.535		4e3c9cd74520f702287df0045556cfc8e858c0ed
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.536		db595378dbcbdbbaa1802d88c8e7dcecf92d72fe
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.545.2		b6b51c10997329961b1045a28194471bc4cb360b
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.549		eaede70ba79066306d4a25a9ab9ad1c246b64cc4
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.550		d228f2470903c7797a18eb589de173264768f3e8
cn.ibizlab.plugin	ibiz-psmodel-core	8.1.0.557		92ef0a2adbe34ead48d3f8335e5fb70c08ee9853
