br.com.zup.beagle	beagle-yoga-proguard	1.19.0		ffb299a6a971c38706814ff7a283ee322d2d68b2
ch.admin.bit.jeap.messagetype._shared	shared-archived-artifact-version-created-event	2.0.0		02c2bd9bf252fb706ad0a15b3db2a2ea994868aa
ch.admin.bit.jeap.messagetype._shared	shared-archived-artifact-version-created-event	2.0.1		60296d4b0fbf748dd7fe8301c3d0b47106aac06d
cn.hangsman.operatelog	operate-log-spring-boot-starter	1.0.0		ee07011f1f395e2e7d82677a1cc5d7ff941544c1
cn.hangsman.operatelog	operate-log-spring-boot-starter	1.0.1		ed2fc188a670739947d95ca8789ad236f65b33f3
cn.hangsman.operatelog	operate-log-spring-boot-starter	1.1.0		c622de8aa9650059bcec2e3db56404b62611ee93
cn.hangsman.operatelog	operate-log-spring-boot-starter	1.1.1		0d2e92d8d91a7b62d8d108ff0261f64eb9ab501a
cn.myafx	myafx-rabbitmq	1.0.0		a18d107c4836c140f65420e6488100617c4afadb
cn.myafx	myafx-rabbitmq	1.1.0		27eb10b1c3764d4c335172cecc801224ccf9be1f
cn.myafx	myafx-rabbitmq	1.2.0		48b5871d1a5caf9226aa8269bf470392a169b85c
cn.myafx	myafx-rabbitmq	1.3.0		36f1f8230c62c044c19a9388f264e19574030a94
cn.myafx	myafx-rabbitmq	1.5.0		7c1b779fe11d8ea258121aa83241c0848d26d1f4
cn.myafx	myafx-rabbitmq	1.6.0		0487fbed990beba202f9124e8d987745a68a7c5f
cn.ucloud	ucloud-sdk-java-ucdn	0.8.4.0-release		a390c767da9b18fe39bc5831dc4da1636e27cceb
cn.ucloud	ucloud-sdk-java-ucdn	0.8.4.1-release		020296b013bec0e770d72eb34df5b81bebf5114d
cn.ucloud	ucloud-sdk-java-ucdn	0.8.4.2-release		a8ba5fa640acc6583eab4f1312f8f9837d471463
cn.ucloud	ucloud-sdk-java-ucdn	0.8.4.3-release		094b7354606cd5b209f4e5009785a62a45c472f3
cn.ucloud	ucloud-sdk-java-ucdn	0.8.4.4-release		4449c543c180051b78f1f32951c504146c175a01
cn.ucloud	ucloud-sdk-java-ucdn	1.0.0-release		14470ad2fb8b98b0b57929283f4cec0f72dc26af
cn.ucloud	ucloud-sdk-java-ucdn	1.0.1-release		96389f75b4b15fee34fbd2fb1e3adebcdd524677
cn.ucloud	ucloud-sdk-java-ucdn	1.0.2-release		06158028173d13e0de3e4d5a1f92ec91a98cdf90
cn.ucloud	ucloud-sdk-java-ucdn	1.0.4-release		d42e202d7a7633d5b4131c8bc6ce01085b277916
cn.ucloud	ucloud-sdk-java-ucdn	1.0.5-release		71b3839970518af681d022998f1b6a27b83cc490
cn.ucloud	ucloud-sdk-java-ucdn	1.0.6-release		f6151bafb85fda3a3f98e163c3dc08f3a02b9ab2
cn.ucloud	ucloud-sdk-java-ucdn	1.0.7-release		0849401108a8d21600fa35a4366201c902981d1c
cn.ucloud	ucloud-sdk-java-ucdn	1.0.8-release		eb3707a48d26c0303a0f9bb9e0f9659f997ea428
cn.ucloud	ucloud-sdk-java-ucdn	1.0.9-release		728fd70b825636472f53e1cafd35e283aa4a3550
cn.ucloud	ucloud-sdk-java-ucdn	1.1.0-release		4ae368287403fad51251a4826a41feac37976aaf
cn.ucloud	ucloud-sdk-java-ucdn	1.1.1-release		0feb6a8465180c05258ab6808b18b612773c028f
cn.ucloud	ucloud-sdk-java-ucdn	1.1.2-release		b2b9f0f593289a46d43f2a1be9881fd0ef59181c
cn.ucloud	ucloud-sdk-java-ucdn	1.2.0-release		54c4387777e252928df2010502c57a46dd7d7588
cn.ucloud	ucloud-sdk-java-ucdn	1.2.1-release		19a4399f101f6180bec49903c376b3fc6e3f9244
cn.ucloud	ucloud-sdk-java-ucdn	1.2.10-release		a2385da342de57746886c452faf511bdfeabaa79
cn.ucloud	ucloud-sdk-java-ucdn	1.2.11-release		48713ea79c2b375e42a459d6141f9679d419c055
cn.ucloud	ucloud-sdk-java-ucdn	1.2.12-release		cfec25439f285b6259cb825889eec8b2dd624244
cn.ucloud	ucloud-sdk-java-ucdn	1.2.14-release		e709d978dfff76dec9e936b45233d04fd5fa8363
cn.ucloud	ucloud-sdk-java-ucdn	1.2.15-release		8bfd44535ccb3fd467ca904b36054d1b7a8b4ae4
cn.ucloud	ucloud-sdk-java-ucdn	1.2.16-release		250de94bf0a4dad069ad493adaeb42d0f3a6023b
cn.ucloud	ucloud-sdk-java-ucdn	1.2.17-release		1ad0b0634c36b81c848fde153115b3c4d521cae8
cn.ucloud	ucloud-sdk-java-ucdn	1.2.18-release		71589f6af9ab3767a9e539aa97348275e506a5df
cn.ucloud	ucloud-sdk-java-ucdn	1.2.19-release		b889560ed51c67c4fccb189a33eea45dfc9f9f81
cn.ucloud	ucloud-sdk-java-ucdn	1.2.2-release		56510f112bdd2a43d9de406610fd3e8323b4945c
cn.ucloud	ucloud-sdk-java-ucdn	1.2.20-release		e9bb70ab2509a0549ee0f4e38cf81aa87377abdb
cn.ucloud	ucloud-sdk-java-ucdn	1.2.21-release		234dac92809afca4c6ac00fa2f4bfd5d368d937d
cn.ucloud	ucloud-sdk-java-ucdn	1.2.22-release		92f543db5caca8ca4dcc22bcd5f758806cdb059b
cn.ucloud	ucloud-sdk-java-ucdn	1.2.23-release		c3cdd2c1bf8ae82758dc1b48467dfd43b5f274af
cn.ucloud	ucloud-sdk-java-ucdn	1.2.24-release		e7a6d56e43360d6d52dd4f0c8fabb05d27286103
cn.ucloud	ucloud-sdk-java-ucdn	1.2.25-release		4b74b35b8db9dd788b220b3f51506b6b51b44a86
cn.ucloud	ucloud-sdk-java-ucdn	1.2.26-release		8e63197475608a45beface78df7371362d57d206
cn.ucloud	ucloud-sdk-java-ucdn	1.2.27-release		76e89a2d13473838bd47b897e2c28e8c7b6fb524
cn.ucloud	ucloud-sdk-java-ucdn	1.2.28-release		efbab1261da59f6e6968fe6fab12427f642e407c
cn.ucloud	ucloud-sdk-java-ucdn	1.2.3-release		2ff314d1cc4973f8cb3ec5a8488772a4244cbd08
cn.ucloud	ucloud-sdk-java-ucdn	1.2.30-release		0e36ff305a02a66499c76d051eba7ff8f70d2ed6
cn.ucloud	ucloud-sdk-java-ucdn	1.2.31-release		1d570fceb275b95811594f2f02cdff5788f3d6ea
cn.ucloud	ucloud-sdk-java-ucdn	1.2.32-release		b8b5785d823bb66e0c1be76b6c4792dd67be5089
cn.ucloud	ucloud-sdk-java-ucdn	1.2.33-release		2e8abafb2d8f7aae2c1c6ec209f2a9513cacd862
cn.ucloud	ucloud-sdk-java-ucdn	1.2.34-release		e3e28545391749afd12f13d808e205d23c57d889
cn.ucloud	ucloud-sdk-java-ucdn	1.2.35-release		863b560200076c287690b4852095e4d0fee644b3
cn.ucloud	ucloud-sdk-java-ucdn	1.2.36-release		c1c410ab0c5dab4ad38509b637905d999062bb13
