au.net.causal.shoelaces	shoelaces-jdbc-integration-tests-customcredentials	2.0		66728a12021d02454b08f4341636dbc5de976670
ch.epfl.scala	apply-macro	0.13.17-sourcedeps		fbe8ef7722ea0d7c2c97eeb8af20ea3160d38493
cn.vertxup	zero-ifx-excel	0.5.4		4961746c0d1b6c3b45214dad55a3c2c09be3a7c4
cn.vertxup	zero-ifx-excel	0.6.0		f5e24f82eb3ddd2a9ccda6e619a3d5eecf25e202
cn.vertxup	zero-ifx-excel	0.6.1		87e23fbc39596bfeb557da19ec8e43d237b6964c
cn.vertxup	zero-ifx-excel	0.6.2		1352cefde1ee16f136f7f25adaf26f2741475459
cn.vertxup	zero-ifx-excel	0.7.0		956e8205ee6487de344da51861453714f7f0488b
cn.vertxup	zero-ifx-excel	0.8.0		0dbb42e602169d0e0d4b732545bcada77597aedb
cn.vertxup	zero-ifx-excel	0.8.1		891d47584b3cade5af7a24aa328be45b682f452e
cn.vertxup	zero-ifx-excel	0.9.0		eb1471e12d64c5f1a51f5c404ebfd89f6159cda4
com.47deg	github4s_2.11	0.11.0		7ee34873ecb55f88905932380fe23f540211658e
com.47deg	github4s_2.11	0.11.1		3f169faced7efb37b67ff8a12728426e3af45def
com.47deg	github4s_2.11	0.12.0		d458c8e9897e3e3ca902b3e080fb3f1b14115194
com.47deg	github4s_2.11	0.12.1		4d4e676d829243e98bf85d01230023c04b26d756
com.47deg	github4s_2.11	0.13.0		34c4f8ea1ba38a9e598e24c850f28de6e7e7212d
com.47deg	github4s_2.11	0.14.0		0eedc73087655eeaeebe18d372ad4de6bca41243
com.47deg	github4s_2.11	0.14.1		f49adb25015cb48ba6a87a6373b397dac75e00fb
com.47deg	github4s_2.11	0.14.2		abf3f9e39497832ab05771f3c8ec90781b85b6d9
com.47deg	github4s_2.11	0.14.3		b4bf388313c861c97f4b39f9b91125a5eed93b19
com.47deg	github4s_2.11	0.14.4		8bc3929f3ca80713bb07541a4f7f4e90c8f332a3
com.47deg	github4s_2.11	0.14.5		a8bc1576755087ae1ffb2a391e2af9af1de29811
com.47deg	github4s_2.11	0.14.6		2061d1f8470b0db424f04ad44c3f216fa2d09ab5
com.47deg	github4s_2.11	0.14.7		35eba4f033122c3430c080d420801a830d517a88
com.47deg	github4s_2.11	0.15.0		11dd357f1b6e582595795422c3ed11bf2b0bf269
com.47deg	github4s_2.11	0.16.0		1af9fd2a9d2aa3840618a67b0945323a267f6501
com.47deg	github4s_2.11	0.17.0		30baaa991dbb77118308bca6a8fdcede0f95cc5f
com.47deg	github4s_2.11	0.18.0		90ebee3092af0333853a02838c8932465e2c7a0d
com.47deg	github4s_2.11	0.18.1		47f121b4c3d23d8f622943c3c905630d0fec444f
com.47deg	github4s_2.11	0.18.2		12d406336150173687d1b118b059109f888f7d48
com.47deg	github4s_2.11	0.18.3		8458c3f53bf3f375f58f8ac7e07dd4a36743c510
com.47deg	github4s_2.11	0.18.4		97343d88dca50a6fee89596cffb317b94effb10a
com.47deg	github4s_2.11	0.18.5		1bfdd04ca736642cf8cd285de0614d335831c2db
com.47deg	github4s_2.11	0.18.6		681fa5599b53b759b2565bef49747090596f49c0
com.47deg	github4s_2.11	0.18.8		29182397e649d97b42c7a25db44db9402025c562
com.47deg	github4s_2.11	0.19.0		2301082e32bbc17cb4db2abd8ea517492f7a6587
com.47deg	github4s_2.11	0.20.0		61438df9dd1fb9a0fd473767c62a4ebd135daf1f
