br.com.bluesoft.guardian	guardian-faker	1.8		b935911d0ef1d9e0f1884a3018a1a717a1f6777c
br.com.objectos.auto	pojo-plugin	0.9.0		c1c30e5b343280e533e53c7f06d1c0be7261ab98
city.smartb.cccev	cccev-certification-f2-domain-jvm	0.15.0		aa8a5ab120f5aab91cb4ea78259ca5ff0b823333
city.smartb.cccev	cccev-certification-f2-domain-jvm	0.15.0-RC2		829299b91de4dfba647606e7cf1829f2a7f04075
cn.godmao	redis	1.0.0		5a03bd80cde5ffdcad7e38eb62715b5479cbab92
cn.godmao	redis	1.1.1		0430532d67ee81084290cf551676c374c9e17ab4
cn.godmao	redis	1.1.2		67c038b7a85bcffe454cb52c5ef041b63c3e8f60
cn.godmao	redis	1.1.3		e4722d7fef1b8e45e6e487dd508c6ae356bd6306
cn.godmao	redis	1.1.4		95327f718126af190f98a478890ca00acb943493
cn.godmao	redis	1.1.4.1		a4428870b76e8c20f063023662defc107c4d7c8d
cn.godmao	redis	1.1.4.2		d8b02b375c2b7e4b39af12a2d824a4d80bd70b58
cn.godmao	redis	1.1.4.3		4ac0460b3a7533746e707566578bf28cd861b63b
cn.godmao	redis	1.1.5.1.Beat		318ce8dcdbb5a40aff3b1cdffe20d91f5d8558b5
cn.godmao	redis	1.1.5.2.Beat		c87a5ca389bb90bf2b6a110abd1788eb9e0c06f6
cn.godmao	redis	1.1.5.Beat		38198c46286dfc0b4368b8f992a21f1b7af833d5
cn.godmao	redis	2.0.0		5514fe36d019607f6167f7d24f9d10739830b216
cn.godmao	redis	2.2.11		9bc1fe1a6060dace401629e4e8e5f0a7537a95a3
cn.godmao	redis	2.2.12		d6892ccf8258ace7d15878a7c63bdd9a501778cd
cn.godmao	redis	2.2.2		f175cac7580ededfcfcc7ce25046ca4796adc05e
cn.godmao	redis	2.2.20		cfd1e2508505e97646418ae61bff86eac4c21c70
cn.godmao	redis	2.2.21		865d0d6e0f8e3dac2fc15438dac388578ff2735d
cn.godmao	redis	2.2.22		431a1ae6123f8a2899343bf6b4d187b3227880a4
cn.godmao	redis	2.2.23		15e5f5cf4c3656c277a9f94b6555c606132003fe
cn.godmao	redis	2.2.24		08d68c1f2f407f202c5587e9be9a535e9f128ee3
cn.godmao	redis	2.2.25		fabc60c82d2e28291e61202c54ec103a3f384dc3
