ca.uhn.hapi.example	restful-server-example	0.7		N/A
cn.com.chinarecrm	rop	2.2.0.RELEASE		N/A
cn.dreampie	resty-server	1.3.0.RELEASE		20490fea6d705bc3b5193087b301e2ce8c328c8a
cn.jdevelops	jdevelops-aops	2.0.1		N/A
cn.jdevelops	jdevelops-aops	2.0.2		N/A
cn.jdevelops	jdevelops-aops	2.0.3		N/A
cn.jdevelops	jdevelops-aops	2.0.4		N/A
cn.jdevelops	jdevelops-aops	2.0.5		N/A
cn.jdevelops	jdevelops-aops	2.0.6		N/A
cn.jdevelops	jdevelops-aops	2.0.7		N/A
com.acgist	snail.parent	1.17.0		N/A
com.acgist	snail.parent	1.17.1		N/A
com.acgist	snail.parent	1.4.1		N/A
com.acgist	snail.parent	1.5.0		N/A
com.acgist	snail.parent	1.6.0		N/A
com.acgist	snail.parent	1.7.11		N/A
com.acgist	snail.parent	2.17.0		N/A
com.alachisoft	nc-execution-service	5.3.3		9171acd4247522ba51ed77c5ceeeffa7b4facdaa
com.alibaba	tac-infrastructure	0.0.4		3c68672755e42f064cc3c43e75c5a71edb331f19
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1000		9d8361e1fc2a51dc34fd11160b1df1dbc2a9a635
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1001		09b161d3db3cb0beab2ef1877286d6ec17dd6398
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1002		e444bc0f82cad0a926a3d9bb450cd578340ea438
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1003		5e6f04d6b0790f4b1b120423ea85da1b5ced16dc
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1004		7daa96d04c6627ac1753c51c9984bb401cf7cde4
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1005		5b856047cae2a582267d9bf9fbe3ed9c5d345638
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1006		04a4e5dd96c012916cc22f15cf188a949ee645b5
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1007		bd6dbaec11425f80ffd5f2bd66af4145014c8ff5
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1008		43392d1db85813f8018bc8eb977a20b2ff4b8395
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1009		b53ec0b97c5cc92a5dd8f9f993c834a6fb023c65
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1010		2f63b03644fa77a0e310d4a801178bfb3313b1bd
com.amazonaws	aws-java-sdk-migrationhubconfig	1.11.1011		1a384ba0d037e942e5c62baa5d311e97c777891c
