au.net.causal.shoelaces	shoelaces-apphome-integration-tests-custom-apphome	2.0		c91e51a5a05c0de2452b7fa81b11d4288d8cff95
ch.softappeal.yass	yass-transport-ktor	64.0.0		6f6031087d08cfc18490cd56a839065bf130ca31
ch.softappeal.yass	yass-transport-ktor	65.0.1		c1c700d608f451854158cc23d8fa4c8f92d3fd89
ch.softappeal.yass	yass-transport-ktor	65.0.2		a16b1c386557847864de2bab75b876ae2ba8cb32
cn.com.connext.msf	msf-core	2.0.2.RELEASE		N/A
cn.com.connext.msf	msf-core	3.0.0.RELEASE		N/A
cn.fscode.commons	commons-idgenerator-spring-boot-starter	0.0.2		e63339076a374796c0f1f729c5fbb0f43cd4c0b9
cn.fscode.commons	commons-idgenerator-spring-boot-starter	1.0.0		c704ec03ffe2e752e65441f89552885ac2ca6939
cn.fscode.commons	commons-idgenerator-spring-boot-starter	1.0.1		c88359fb0e33a2a16c15153a6769cc733c14a524
cn.lead2success.util	ddlutils	0.0.1_001-RELEASE		250a54cb88da079fad1ca4e87d9281ac6587138a
cn.lead2success.util	ddlutils	0.0.1_002-RELEASE		9c0cf78dc6facc0ae4f762196cb2a8a5a8696421
cn.lead2success.util	ddlutils	0.0.1_003-RELEASE		980b2524be046ccb7a93a47962428644174f4ab2
cn.lead2success.util	ddlutils	0.0.1_004-RELEASE		6d0e222bd985c12ba4d86b367f3142366758b06f
cn.lead2success.util	ddlutils	0.0.1_005-RELEASE		0742d74626853726381cb2faa6af2c985ce720f1
cn.lead2success.util	ddlutils	0.0.1_006-RELEASE		6672ee311dd8db507203b6433ba00dfed494bfd3
cn.lead2success.util	ddlutils	0.0.1_007-RELEASE		901e21e5127fe34448c8a6fd078b3c465444f425
cn.lead2success.util	ddlutils	0.0.1_008-RELEASE		5a537bd072a764aeb7fd03601d05425631b4c275
cn.lead2success.util	ddlutils	0.0.1_009-RELEASE		491780caa981df9196254a4f451b0d5dcc81d43e
cn.lead2success.util	ddlutils	0.0.1_010-RELEASE		37b2e753cd8153192d719bb4cdff93300fa1e072
cn.lead2success.util	ddlutils	0.0.1_011-RELEASE		ebd86de94e27cf988d0668204f3256fed962c823
cn.lead2success.util	ddlutils	1.0.0_21053101		5795ab61bc67f0221c2def2b6c3cb77fd4fc4542
cn.lead2success.util	ddlutils	1.0.0_21071201		6ab2b6229edc6d2185d381baa634a60b43affd20
cn.lead2success.util	ddlutils	1.0.0_21071202		0e3e37d5edbf0d16bec3a3afebb990823e59651c
cn.zhxu	xjsonkit-fastjson	1.4.0		83215cf030527b832913c586d990ec568894dca7
cn.zhxu	xjsonkit-fastjson	1.4.1		cd4af1dbf49a54063c96b07aa15b1c4cc8bfa4ee
cn.zhxu	xjsonkit-fastjson	1.4.2		594ddc1ff4fbabef2a386fca40815f2874f801dc
cn.zhxu	xjsonkit-fastjson	1.4.3		26dd08f4fd3b79e28520f808f65b2605a900ef9c
cn.zhxu	xjsonkit-fastjson	1.5.0		80c37f9630083be90800b342869e0abe6fbc9e1c
cn.zhxu	xjsonkit-fastjson	1.5.1		0c29fa43bbb4e320495a41fed104e6e3d949c6a4
com.avast.metrics	metrics-scala_2.12	2.10.0		338f8d3ae6215db79bc9fadb1ff44601c2584355
com.avast.metrics	metrics-scala_2.12	2.10.1		78cd393613833e81268c08ff7c99c9fe1bb2498d
com.avast.metrics	metrics-scala_2.12	2.10.2		dc4e9586a52cbf57648708f665a8604d53a073ca
com.avast.metrics	metrics-scala_2.12	2.10.3		2c5cda00db95bc85c2fefa7efe07bfbb3a930c7b
com.avast.metrics	metrics-scala_2.12	2.10.4		04b50621773f529c4fbd0fa831b4db6ebe75de8a
com.avast.metrics	metrics-scala_2.12	2.8.5		09a42742f389f6a81ac0de06958a3e5136b51cf2
com.avast.metrics	metrics-scala_2.12	2.8.6		73af92916f25555455eb9df4b550d6f2adbfc44a
com.avast.metrics	metrics-scala_2.12	2.9.0		50503cbb35bf1fd55daa3c29354e82c70b8e526d
com.avast.metrics	metrics-scala_2.12	2.9.1		8fe36b0c71eb1daab2c35088cb4fc36708c2f05f
com.avast.metrics	metrics-scala_2.12	2.9.2		1d2b5b530a8d947aebf7f6e543c068c913f5e4ff
com.avast.metrics	metrics-scala_2.12	2.9.3		262710225e569d99c90645667c66005e31bddc14
com.avast.metrics	metrics-scala_2.12	3.0.1		02a3486954214b5dc2b4e3561f7db0fbfc895fe2
