br.com.colman	simple-password-generator	1.0.0		4f3098c26837882104bb8de34a5e4577ece5cc50
cc.catalysts	metaas	0.9		bd7bee3b160f5052f6f6c0565c8a9f06a0aaf593
cn.hchub	springdoc-swagger3-ui-starter	1.0.0		2699e888a5ca5067bd2cdddff6808243d0ae6eb6
cn.herodotus.engine	event-message-spring-boot-starter	2.7.10.0		aa618d784cefa2010850345a9598667207a0a61f
cn.herodotus.engine	event-message-spring-boot-starter	2.7.10.1		61f0893a537599511b24c5fb11a317b12887b568
cn.herodotus.engine	event-message-spring-boot-starter	2.7.10.2		256182a16dbc7574b1e09440f24805f056d25a1e
cn.herodotus.engine	event-message-spring-boot-starter	2.7.11.0		08c6f329e3918afdd62016a47bb5b7ca0d4e5f12
cn.herodotus.engine	event-message-spring-boot-starter	2.7.11.1		f1e08b983a69cfa0d98ca675af5c554f5c956d35
cn.herodotus.engine	event-message-spring-boot-starter	2.7.12.0		1ef0d7bd25e0728ef319b0ea9c12549b164b6461
cn.herodotus.engine	event-message-spring-boot-starter	2.7.12.1		b992cb6958018621fe85113bf1959e1cc28a74c4
cn.herodotus.engine	event-message-spring-boot-starter	2.7.13.0		1460088d6dd178c8ddaa5c9ebd045d67d26cc9cc
cn.herodotus.engine	event-message-spring-boot-starter	2.7.14.0		2ac69512153406270e5fe64546566d5f5a2b7ef3
cn.herodotus.engine	event-message-spring-boot-starter	2.7.15.0		5cc43d34694baffc8f61933afad421283f3dd4b0
cn.herodotus.engine	event-message-spring-boot-starter	2.7.16.Final		83f60a1a7b03d1148028c17e199e2fdc9d328172
cn.herodotus.engine	event-message-spring-boot-starter	2.7.18.Final		61cc141da1a7f22367116ca7b288b0da9f7310cc
cn.herodotus.engine	event-message-spring-boot-starter	2.7.7.5		2d193bd9da0441609dfe0f140994e41406ec6501
cn.herodotus.engine	event-message-spring-boot-starter	2.7.8.0		225f5d7700e49e77a2893f67b81c082f8994bb99
cn.herodotus.engine	event-message-spring-boot-starter	2.7.8.1		b7917283bd268db6eb40be8de671a975e12907d0
cn.herodotus.engine	event-message-spring-boot-starter	2.7.9.0		6564e5656a29b11e96712f17ae69921fbcd64bea
cn.herodotus.engine	event-message-spring-boot-starter	2.7.9.1		80ba9c036bdc65dedaa5b61957a9677abb9201ac
cn.herodotus.engine	event-message-spring-boot-starter	2.7.9.2		cd0544e0393a2e30948988718106370f01fcdc96
cn.herodotus.engine	event-message-spring-boot-starter	3.0.0-RC3		9099421815708b1d38e2c1450290d16948146b8d
cn.herodotus.engine	event-message-spring-boot-starter	3.0.0.0		4eb9b4f8732b51cbabaa6b804720feac461aed33
cn.herodotus.engine	event-message-spring-boot-starter	3.0.1.0		2450cfb40dec876e2a86a1e25a43df88043253c3
cn.herodotus.engine	event-message-spring-boot-starter	3.0.2.0		f9c9034342c6f4bb531348d3cfbc95f1fd519709
cn.herodotus.engine	event-message-spring-boot-starter	3.0.2.1		9ecadc0de8880d2b990f6759636646ea855b765e
cn.herodotus.engine	event-message-spring-boot-starter	3.0.2.2		4bab8bd41886f9eec4b532c8990d7334da4503ef
cn.herodotus.engine	event-message-spring-boot-starter	3.0.2.3		6479d6105b5b940536e901974a793ae13d5ee266
cn.herodotus.engine	event-message-spring-boot-starter	3.0.3.0		79401a52bd194119c0627e84dd966bbbafd9a6e2
cn.herodotus.engine	event-message-spring-boot-starter	3.0.4.0		d9b6b752420bae8be3c5462732c52a6a5a235a16
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.36		b3995eafb78f666843892ba51fc58ca32e2fb254
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.37		d1e402f314f434f8242af98182be292fd7199e63
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.38		1831bccbdff441a49e8cfd5c3b8324aa65c8b379
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.39		82712179b22094e2abd56cbbddce89d0bc1826b2
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.40		b7e3214e387b317db3cd5358bad2e5818ac5791b
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.41		abbd751be1f24e6ce5b3f73c0467387d15a8fd1a
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.42		fb847825eeb68b9defcc9f135dd89b7e446ee2a4
cn.pivoto.polaris.plugins	properties-maven-plugin	3.1.43		e22a4a1b4dff48540a3a48e0b18bdc178ee601ec
cn.pivoto.polaris.plugins	properties-maven-plugin	3.2.0		a99b3d7f59b04d2b6587a312949579dac8410971
com.admin4j	admin4j-dependencies	0.0.4		N/A
com.admin4j	admin4j-dependencies	0.10.0		N/A
com.admin4j	admin4j-dependencies	0.2		N/A
com.admin4j	admin4j-dependencies	0.5.0		N/A
com.admin4j	admin4j-dependencies	0.8.0		N/A
com.admin4j	admin4j-dependencies	0.9.0		N/A
com.admin4j	admin4j-dependencies	0.9.1		N/A
com.admin4j	admin4j-dependencies	0.9.2		N/A
com.admin4j	admin4j-dependencies	0.9.5		N/A
com.admin4j	admin4j-dependencies	0.9.6		N/A
com.admin4j	admin4j-dependencies	0.9.7		N/A
com.admin4j	admin4j-dependencies	0.9.8		N/A
com.admin4j	admin4j-dependencies	0.9.9		N/A
com.badoo.reaktive	reaktive-testing-tvossim	1.1.22		N/A
com.badoo.reaktive	reaktive-testing-tvossim	1.2.0		N/A
com.blazebit	blaze-query-connector-google-workspace-directory	1.0.2		b51ebb63a3f50334fa5f1c7575bc43d2cdc84424
com.blazebit	blaze-query-connector-google-workspace-directory	1.0.3		05ba80a9ccd801242d3961e4cbff3d4dbcd19d67
com.blazebit	blaze-query-connector-google-workspace-directory	1.0.4		48bf69af4b9a6ebc0f4ba9643144f21d7726135d
com.blazebit	blaze-query-connector-google-workspace-directory	1.0.5		d6c9fd3b64df31c168ea2b658b0d388b6df66c19
com.blazebit	blaze-query-connector-google-workspace-directory	1.0.6		14c52ec0e24b8477e304f39024b1da1be9dfeb27
com.box	json-patch	1.10		84dbebe8ae7f8db6eca6d83a8d0f9b7adac44003
com.box	json-patch	1.11		070f29b2177889d5b087427dddaecb71ce7189de
com.box	json-patch	1.12		ca7b1ef64bb31233a7b570b2bb3cf869bd6acdda
com.box	json-patch	1.13		93b11742d9d7364371566cd670f342496383fd80
com.box	json-patch	1.14		18ba15b4a464fd8c953671ca519d05214851bc53
com.box	json-patch	1.15		9aae3879d95d305e56fd36f4a24893f565f03dbe
com.box	json-patch	1.16		99440621c706e31697421bf5efb357d2c6f7e6cb
com.chavaillaz	automated-browser	1.0.0		ca1e69dbb83a93475941863894f30d45175f60a1
com.chavaillaz	automated-browser	1.0.1		313182a8c6b5e4a2cc2d1b8864fc84355d60b19e
com.chavaillaz	automated-browser	1.1.0		5269f680d49459016bffe165ba07dc2b473d36b4
com.chavaillaz	automated-browser	1.1.1		192276db9abf15e755a844de54d3453477b526f6
com.comcast.money	money-http-client_2.13	0.10.0		7b53f4e0f8719a0fe2f885def385d89420d80300
com.comcast.money	money-http-client_2.13	0.14.1		41beafd58673efed67a19f19c54aa7d8f2ba4334
com.comcast.money	money-http-client_2.13	0.15		6b6dbf08fa7bc516fb35cf8b1c0e1a5ef4e0f443
com.comcast.money	money-http-client_2.13	0.15.1		0f62f5c43d7da9641e9a4a0d185b8d8db6be543d
com.comcast.money	money-http-client_2.13	0.15.2		0f0a6d702dd608ad0a7f1163324b927117fe4ad5
com.comcast.money	money-http-client_2.13	0.9.1		8857e5e6437c577d14ff69fa2cbf0bd872a57532
com.comcast.money	money-http-client_2.13	0.9.1-RC1		99dd86b7589ed44db8f92649e020aad6fb3e6dab
com.coralogix	cosmetic_2.13	0.1		da2ca0945feef12142acb59c05200af4f49dde0f
com.ericsson.bss.cassandra.ecchronos	rest	2.0.0		eacbfbdf457e9a1b0990bc9b4546453de816bab7
com.ericsson.bss.cassandra.ecchronos	rest	2.0.0-beta		9ae65ef5f9f2cad465350735e78c1cfc29721605
com.ericsson.bss.cassandra.ecchronos	rest	2.0.1		a7eaabc1aa0f3e255531682f46c39d42efdd768c
com.ericsson.bss.cassandra.ecchronos	rest	2.0.3		6bc78b975c4d02d438eab2b022ecfeb9c3af8003
com.ericsson.bss.cassandra.ecchronos	rest	2.0.4		0c6404c082a1acc6a80fc4702dd24917b0452cb9
com.ericsson.bss.cassandra.ecchronos	rest	2.0.5		e9dbff1aca3d02005acc73dae1d97e6677582ccd
com.ericsson.bss.cassandra.ecchronos	rest	2.0.6		8de8234146865aea293e551a840b2c8b83f63b79
com.ericsson.bss.cassandra.ecchronos	rest	3.0.0		5a27f729fe9e17a9c94a1f4f4fbdfa224bbe39a6
com.ericsson.bss.cassandra.ecchronos	rest	4.0.2		65ed18f50b05a166732ce8495895d06a54e34c9a
com.ericsson.bss.cassandra.ecchronos	rest	4.0.3		4ad7825d47b6bd6eac37dd5a685f185ab1107480
com.ericsson.bss.cassandra.ecchronos	rest	4.0.4		425ab39fb3633daa8e188a9d3e69f878ded377b0
com.ericsson.bss.cassandra.ecchronos	rest	4.0.5		d27a4cbf2425c958cc330dcf87bc1508702c29af
com.ericsson.bss.cassandra.ecchronos	rest	4.0.6		ef9bb5905b7a2805edcb21edee879dabd3336252
com.ericsson.bss.cassandra.ecchronos	rest	5.0.0		44e6a69f4e22c3a260ac19eea2f69e5fc7248815
com.ericsson.bss.cassandra.ecchronos	rest	5.0.1		7386e9c7a7adcc9491edbc034d9cfd6fd2bbcc58
com.ericsson.bss.cassandra.ecchronos	rest	5.0.2		6f471c8488c54b20762b3a3060f4d846c3ecebb0
com.ericsson.bss.cassandra.ecchronos	rest	5.0.3		be5e2bd7c8172dbafdd716d4bfe834e890878f17
com.ericsson.bss.cassandra.ecchronos	rest	5.0.4		a71f93de4032c05c1d77dfb446536c68c2cfa7d6
com.ericsson.bss.cassandra.ecchronos	rest	5.0.4-ec1		dc8a93ea9e27b37b92ee9ee9174bba6f95341468
com.ericsson.bss.cassandra.ecchronos	rest	5.0.4-ec2		7fd4ba0b692b2f565a42f6edb96b752559bfb85e
com.ericsson.bss.cassandra.ecchronos	rest	5.0.5		0b7fda2fe0b1a40bd18e0b5ff4d0d6d805883f84
com.ericsson.bss.cassandra.ecchronos	rest	6.0.0		b170c2132a3511527233bcf050cf7710f7beedbe
com.ericsson.bss.cassandra.ecchronos	rest	6.0.1		4946912c100ac0525213d9272808019f56207bd5
com.ericsson.bss.cassandra.ecchronos	rest	6.0.2		e090c891da67eaf11b1682fae381d8021f6e8c2d
com.ericsson.bss.cassandra.ecchronos	rest	6.0.3		a0bb7af4f81b755848d985bd7a43499f9593877e
com.ericsson.bss.cassandra.ecchronos	rest	6.0.4		07e04d490c3dd6967685417d3a94e672bdf6533a
com.fraktalio.fmodel	application-arrow-jvm	3.0.0		8a02b7141738c457dde1cdeabb0c8f530f187b94
com.fraktalio.fmodel	application-arrow-jvm	3.1.0		2e8e9e646f3baaece00062aacf6e932e0207cc15
com.fraktalio.fmodel	application-arrow-jvm	3.2.0		d6058481d804cf616f4a9d5f2aa92acf65109271
com.fraktalio.fmodel	application-arrow-jvm	3.3.0		f75dd7e2df2af7164093d7318c600db0de001c99
com.fraktalio.fmodel	application-arrow-jvm	3.4.0		8c9400376db18903dc60347db5729464b86279cd
com.fraktalio.fmodel	application-arrow-jvm	3.5.0		ae1ed8ae16932f8d85d827f7d730259289925c02
com.fraktalio.fmodel	application-arrow-jvm	3.5.1		5b8675c2adec7787f205bec3c7a133dec5588fac
com.fraktalio.fmodel	application-arrow-jvm	3.6.0		b625eacd35f97b1ce1da19699c5c982202369317
com.getbouncer	scan-payment-minimal	2.1.0004		N/A
com.getbouncer	scan-payment-minimal	2.1.0005		N/A
com.getbouncer	scan-payment-minimal	2.1.0006		N/A
com.getbouncer	scan-payment-minimal	2.1.0007		N/A
com.getbouncer	scan-payment-minimal	2.1.0008		N/A
com.getbouncer	scan-payment-minimal	2.1.0009		N/A
com.getbouncer	scan-payment-minimal	2.1.0010		N/A
com.getbouncer	scan-payment-minimal	2.1.0011		N/A
com.getbouncer	scan-payment-minimal	2.1.0012		N/A
com.getbouncer	scan-payment-minimal	2.1.0013		N/A
com.getbouncer	scan-payment-minimal	2.1.0014		N/A
com.getbouncer	scan-payment-minimal	2.1.0014-alpha02		N/A
com.getbouncer	scan-payment-minimal	2.1.0014-downgrade-core-ktx01		N/A
com.getbouncer	scan-payment-minimal	2.1.0015		N/A
com.getbouncer	scan-payment-minimal	2.1.0016		N/A
com.getbouncer	scan-payment-minimal	2.1.0017		N/A
com.getbouncer	scan-payment-minimal	2.1.0018		N/A
com.getbouncer	scan-payment-minimal	2.1.0019		N/A
com.getbouncer	scan-payment-minimal	2.1.0020		N/A
com.getbouncer	scan-payment-minimal	2.1.0021		N/A
com.getbouncer	scan-payment-minimal	2.1.0022		N/A
com.getbouncer	scan-payment-minimal	2.1.0023		N/A
com.getbouncer	scan-payment-minimal	2.2.0001		N/A
com.getbouncer	scan-payment-minimal	2.2.0002		N/A
com.getbouncer	scan-payment-minimal	2.2.0003		N/A
com.github.aselab	scala-activerecord-scalatra_2.11	0.3.0		6f44d67488e181c66b046ea2e5d8fa71f39551ed
com.github.aselab	scala-activerecord-scalatra_2.11	0.3.1		64d0265bca5be13857ae9a4da070c3f06e8fbfe6
com.github.aselab	scala-activerecord-scalatra_2.11	0.3.2		13d2b20a892e170be96960f352c1d323c253dd27
com.github.aselab	scala-activerecord-scalatra_2.11	0.4.0		0d1dad28672e8c90ef75a41520bdd48cb5b1a265
com.github.aselab	scala-activerecord-scalatra_2.11	0.5.1		03f25755703ba17d392033a05b8fcb7ac2a4c6c4
com.github.cwilper.fcrepo-misc	fcrepo-dto	0.0.0		N/A
com.github.cwilper.fcrepo-misc	fcrepo-dto	0.1.0		N/A
com.github.cwilper.fcrepo-misc	fcrepo-dto	0.1.1		N/A
com.github.cwilper.fcrepo-misc	fcrepo-dto	1.0.0		N/A
