app.tulz	tuplez-full-light_sjs1_3.0.0-RC2	0.3.6		23e22a39fe6bda2c7530270b54a02ffe8691167c
aws.sdk.kotlin	wisdom-jvm	0.16.0		d619fe5666e625ebe99ebeb1f079d6bec602611b
aws.sdk.kotlin	wisdom-jvm	0.16.1-beta		9eca5a6a42e3a1e5ebcf73aa5154c6c237dd565c
aws.sdk.kotlin	wisdom-jvm	0.16.2-beta		976b157df0d1200599c77419dec182f6c3b0e2e8
aws.sdk.kotlin	wisdom-jvm	0.16.3-beta		cd3047dae65496fae734018021e8ccfdc79a4c59
aws.sdk.kotlin	wisdom-jvm	0.16.4-beta		ede93b99b42b7eda69d0f94116bf5c2db727991b
aws.sdk.kotlin	wisdom-jvm	0.16.5-beta		f7b12c35f5dafa2861dbf7d7456dd3f205641395
aws.sdk.kotlin	wisdom-jvm	0.16.6-beta		1a28e27544404a9ef9fc59f9edb63536f0e9cf37
aws.sdk.kotlin	wisdom-jvm	0.16.7-beta		0a41ff07abaea63d1775877ba5eaa1d1f9aae4e7
aws.sdk.kotlin	wisdom-jvm	0.17.0-beta		591d478e3f833db84f1b95c0eb41bbfb0b612631
aws.sdk.kotlin	wisdom-jvm	0.17.1-beta		58b2f83c8b1ae204b9ecf14dd25c6f97311d6021
aws.sdk.kotlin	wisdom-jvm	0.17.10-beta		a87703ca755237cb96aae4f5b4e3b331f930007e
aws.sdk.kotlin	wisdom-jvm	0.17.11-beta		1174aa49a8ba4e7311a4713be8c2352a873c5130
aws.sdk.kotlin	wisdom-jvm	0.17.12-beta		64517f5bb373c7cfb3aa013f58242b45cb36b6ea
aws.sdk.kotlin	wisdom-jvm	0.17.2-beta		8e7ae315f9b4f9483ca161076b50d2d012b6af84
aws.sdk.kotlin	wisdom-jvm	0.17.3-beta		02b958e16a53952d077d6bfa0bae936dcd08bf3b
aws.sdk.kotlin	wisdom-jvm	0.17.4-beta		d38f288a0d9e43c71e72b5a388080e1be50b5c6b
aws.sdk.kotlin	wisdom-jvm	0.17.5-beta		8582631a2550b0570d67c5d2cb09b24ad208d900
aws.sdk.kotlin	wisdom-jvm	0.17.6-beta		f7dc9466aa382446e95faf89d52239234d28ac2d
aws.sdk.kotlin	wisdom-jvm	0.17.7-beta		0086ebe5119e9f5823675c695d355fcea6913eaf
aws.sdk.kotlin	wisdom-jvm	0.17.8-beta		bb559594ba9539d8ae7f552d6dc3396c330dea83
aws.sdk.kotlin	wisdom-jvm	0.17.9-beta		ebca8f06809b9511230d8cf14f8709145bad9083
aws.sdk.kotlin	wisdom-jvm	0.18.0-beta		20ea0be48e2842929b8e0d3ceaff193f05fc7b16
aws.sdk.kotlin	wisdom-jvm	0.19.0-beta		935dc691b2bc8ecd5875fe7f191fe37ab08fcedc
aws.sdk.kotlin	wisdom-jvm	0.19.1-beta		ba2a84d2ab1af8ea75dbf7fc75ef154cc79ccf8e
aws.sdk.kotlin	wisdom-jvm	0.19.2-beta		0b0810580089b0ddfb2d465bd81661c6145b6e2c
aws.sdk.kotlin	wisdom-jvm	0.19.3-beta		02ad5b0614f721c6788bd0dfe0193826ba5e0ea5
aws.sdk.kotlin	wisdom-jvm	0.19.4-beta		2fb7b97861b58550a02ac9bd0e7651fd4ee04b76
aws.sdk.kotlin	wisdom-jvm	0.19.5-beta		8015c739d811cea056967e2971344b2556579dec
aws.sdk.kotlin	wisdom-jvm	0.20.0-beta		16b5c4afba5d6573c46352a08760fc7af7b8b260
aws.sdk.kotlin	wisdom-jvm	0.20.1-beta		88d3f47f1d2020dbaed6272c8b8e79b0b07c405f
aws.sdk.kotlin	wisdom-jvm	0.20.2-beta		c1720d9d8ed6feea673f86e05abc1d31892af3a6
aws.sdk.kotlin	wisdom-jvm	0.20.3-beta		607a64ff3305825f69880e070ebc5daecf9a14d4
aws.sdk.kotlin	wisdom-jvm	0.21.0-beta		dbf8fe1ff92595b9dd2506ab1a0cdfc81b2cff62
aws.sdk.kotlin	wisdom-jvm	0.21.1-beta		4051ce6dcd633d9e379fbee9fe5e742287d23ea9
aws.sdk.kotlin	wisdom-jvm	0.21.2-beta		f25bcd7c69a3bb8b2eb9404bc00399d3d82f2f6d
aws.sdk.kotlin	wisdom-jvm	0.21.3-beta		3a64d09e40b601b5c357d6ee9adebb590a8b0d6b
aws.sdk.kotlin	wisdom-jvm	0.21.4-beta		457870b52e5b8b236c41b77d57270e2bf1d61148
aws.sdk.kotlin	wisdom-jvm	0.21.5-beta		dba7760d448b302c23c05bee65f306be96bff515
aws.sdk.kotlin	wisdom-jvm	0.22.0-beta		121ee37824ab22bfa1df0d337bcc851d6dc2bdbc
aws.sdk.kotlin	wisdom-jvm	0.22.1-beta		3ce0940deefe3e6592bff2f5a3bfbd764c17beaa
aws.sdk.kotlin	wisdom-jvm	0.23.0-beta		7f0bc61ccb14212495cd42f5337cc8aaa1c7a7ad
aws.sdk.kotlin	wisdom-jvm	0.24.0-beta		c1995f4bb34ed806c921d2d84121161b4c3a2fb9
aws.sdk.kotlin	wisdom-jvm	0.25.0-beta		2c9261d268c04fa51d0a63699182ca670f3687f7
aws.sdk.kotlin	wisdom-jvm	0.26.0-beta		f43fefb9125291c87a79fb0d9fa69a0b0eaed93f
aws.sdk.kotlin	wisdom-jvm	0.26.1-beta		ff334ee8e32fe291332ee7e31d237938fb3122ad
aws.sdk.kotlin	wisdom-jvm	0.27.0-beta		d7908c146d1ff0d1524020ee9ea83ceb4fb6a08a
aws.sdk.kotlin	wisdom-jvm	0.27.1-beta		14a5bc70064ff3fba14f7eb0e116ceed157ed123
aws.sdk.kotlin	wisdom-jvm	0.27.2-beta		c9fd6ee318820b9a3d8b26e6d80475deaf6b6a97
aws.sdk.kotlin	wisdom-jvm	0.28.0-beta		7565b316f0321821e9923a666bf5b70f8514ca45
aws.sdk.kotlin	wisdom-jvm	0.28.1-beta		ec40bf86406585bc0a489dccedc507ec81346bc4
aws.sdk.kotlin	wisdom-jvm	0.28.2-beta		b89dfab1972b84c5f8ec6515c80b0a087257f89e
aws.sdk.kotlin	wisdom-jvm	0.29.0-beta		e8974797bd6a33adf720b871cd3be6c07e26f906
aws.sdk.kotlin	wisdom-jvm	0.29.1-beta		ce9fd2355af6b6316b1f86d8c284e662621253e1
aws.sdk.kotlin	wisdom-jvm	0.30.0-beta		e5e3dacd50fb4473a6be04ae745a48c33ce2d19c
aws.sdk.kotlin	wisdom-jvm	0.30.1-beta		85950ded740ab91b9ca4f2fd3bcce4b73dff674b
aws.sdk.kotlin	wisdom-jvm	0.31.0-beta		3fa810f2c086ffa6be270bea0864f4372000bfd6
aws.sdk.kotlin	wisdom-jvm	0.32.0-beta		796a504e7228eb5e128c9c30cba5b87c4590118b
aws.sdk.kotlin	wisdom-jvm	0.32.1-beta		3ded4b54b18805d58f3e7693d219211ee95e9a6e
aws.sdk.kotlin	wisdom-jvm	0.32.2-beta		66747cd94dc5407c7c711fe2de46fe5e09fd193f
aws.sdk.kotlin	wisdom-jvm	0.32.3-beta		3bc647ed62011c011df6060cdb230b408b903127
aws.sdk.kotlin	wisdom-jvm	0.32.4-beta		cda4336077a923bb0958b7e3436abc0b4d7adc10
aws.sdk.kotlin	wisdom-jvm	0.32.5-beta		cdbc3dcc48514b762a4b540fe18dac2dd510fbcb
aws.sdk.kotlin	wisdom-jvm	0.33.0-beta		9c82ff085a5a3d0d6b2f959095bc47ddf57ae516
aws.sdk.kotlin	wisdom-jvm	0.33.1-beta		0c9c22ec475816366cb04d0b0a15aa4e37192e63
aws.sdk.kotlin	wisdom-jvm	0.34.0-beta		db0eb17ac448ec4fd3e800e128a6f0b0402ea204
aws.sdk.kotlin	wisdom-jvm	0.34.1-beta		c2da85a05d2745826c69be5a5898acf96e90c3ab
aws.sdk.kotlin	wisdom-jvm	0.34.2-beta		efe92763fc9b65c8c0239e6128760ccb71429520
aws.sdk.kotlin	wisdom-jvm	0.34.3-beta		bf1169e220279ea21720183f781c9c1496fe002e
aws.sdk.kotlin	wisdom-jvm	0.34.4-beta		2fd18353be2400d9578fc21ce210848f06ff9da4
aws.sdk.kotlin	wisdom-jvm	0.34.5-beta		091631f6f943392afddc3b92e033b1f5b41f8d4b
aws.sdk.kotlin	wisdom-jvm	0.34.6-beta		d1b5278e75209dcc66e7428bf28a5fa2e5341b16
aws.sdk.kotlin	wisdom-jvm	0.34.7-beta		ccc668fddf72903db463c66359009771ec0b9a50
aws.sdk.kotlin	wisdom-jvm	0.34.8-beta		98a163ce4432f665a691ec6c254246ded55f5c3e
aws.sdk.kotlin	wisdom-jvm	0.34.9-beta		6890e328f9023fe3f3ea3208db42360cffec06dd
aws.sdk.kotlin	wisdom-jvm	0.35.0-beta		8dd77687527d70278726c999f560abc4d2cf3324
aws.sdk.kotlin	wisdom-jvm	0.35.1-beta		f4cbf190cf3b475e93d50b950f915e6d414eb422
aws.sdk.kotlin	wisdom-jvm	0.36.0-beta		31f03abd6fa4afaaf69f3ab2c4a573ab851c07cb
aws.sdk.kotlin	wisdom-jvm	0.36.1-beta		84e87baa316ea5a3dcff2ec510656f1c34f9119b
